"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",30669,0,126,3988,0,0,43141,697,1340,1948,0,0,1971,108689,0,8019,429,35273,11510,0,0,0,0,0,0,0,25536,0,0,225,0,651,0,0,0,59160,450,511,598,0,0,0,0,0,0,0,0,7,1031,2402,0,0,0,305322,0,3022,17535,43074,29283,4518,0,0,29300,0,112055,0,183,0
"Anyang",0,0,10084,0,3730,0,5798,0,17871,6264,0,840,0,6220,8572,493,0,0,0,0,2223,0,1681,0,1389,0,7978,0,0,4889,0,2560,0,0,1138,0,4173,0,0,0,977,2880,0,1512,0,2205,0,0,34490,0,0,7471,3670,132,1754,988,0,0,0,120,0,0,0,3049,330,736,5965,580
"Asan",126,5000,2334,0,54466,0,0,0,54216,0,182,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,44442,0,0,0,0,0,0,0,0,0,0,0,370,0,461,0,0,0,0,16460,0,0,0,22271,451234,765,81641,0,0,0,0,0,0,0,0,10,0,31835,0
"Bonghwa",4045,0,0,36194,0,0,7720,0,0,0,0,0,0,12332,579,6553,0,796,6167,0,0,0,0,0,0,0,1652,0,0,0,0,0,0,0,0,307,0,0,0,1,0,0,0,0,0,0,0,0,0,2667,0,0,0,15025,0,0,26774,6132,207,77,0,0,1843,0,44264,0,0,0
"Boryeong",0,3223,73977,0,7988,0,0,0,104269,0,423,1440,1,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,34595,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23553,0,0,0,120138,505592,0,107671,0,0,531,0,0,0,0,0,54,0,58464,0
"Bosung",0,0,0,0,0,164129,11696,2237,1920,0,0,0,0,432,3586,0,0,0,0,0,0,193,0,0,250289,2079,0,816,193,0,33746,4508,0,0,614,0,2663,0,1387,0,835,1803,0,1685,0,2554,0,0,0,0,0,1145,0,49781,76567,7915,0,0,0,0,0,0,0,0,0,4644,0,0
"Busan",44477,4980,0,8030,0,11727,2414700,157472,190269,1054,0,518103,146,2900400,843331,4295,5993,11652,11667,0,201642,65098,416984,0,22354,3666,123229,11085,18301,0,1526,0,0,0,0,38185,5499,60,24684,652,1788471,29483,30415,3139,1514,0,9669,27645,63625,2218,24039,108624,0,3210310,17973,476531,14022,320044,18727,2371,14065,0,13100,81361,65972,1453,0,83
"Changwon",697,0,0,0,0,1938,176379,364995,22002,540,288,37280,653,160538,57117,0,360,0,1145,0,17022,78090,23695,0,6413,1981,0,16787,127692,279,554,624,0,0,981,0,559,0,65137,0,88636,7903,313,874,0,701,1053,1080,6135,0,286,9450,0,309638,4848,64273,0,0,0,0,0,0,0,5861,1391,0,292,0
"Cheonan",2140,8883,30350,0,136451,1324,191782,23329,37927,6383,623,4766,1752,127606,390394,105,0,0,0,0,29962,1035,33680,0,41086,199,6297,313,381,134083,79,42957,1416,0,5108,12593,24013,20212,5785,0,6181,20367,0,6197,9022,28442,5281,400,62177,0,0,114774,33184,2071244,23741,127055,0,10785,0,0,0,0,998,15512,4805,12279,95947,0
"Choongju",3215,0,0,0,0,0,2311,540,6606,15016,0,0,58346,0,70722,653,290,417,801,0,0,0,0,0,0,0,431,0,0,0,0,66,0,0,0,127379,1115,0,0,236,0,460,0,0,0,0,0,0,1636,20,0,46307,0,33143,223,4226,6,0,0,0,0,71,0,0,4633,720,0,89
"Chuncheon",0,0,182,0,423,0,0,0,623,726,48057,0,1938,0,1372,0,535,0,0,71994,0,0,0,0,0,0,247,0,0,336,0,377,0,0,720,0,0,0,0,0,0,0,0,0,0,0,535,333,0,0,0,0,90,2016961,0,0,0,0,0,0,0,0,288,0,82,0,715,0
