"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",63249,49,0,3359,0,0,61559,1020,0,12,0,0,3,132795,0,8126,59,36558,12972,0,1,81,0,0,0,0,36147,0,0,0,0,0,0,0,0,62887,0,0,706,0,0,0,0,0,0,0,0,371,634,3242,2,0,0,367355,0,72,22980,64499,29534,3550,5,0,23241,0,124132,0,0,2
"Anyang",49,0,4661,0,4086,0,7045,533,31906,244,0,951,0,10385,19753,0,0,0,0,0,4050,0,2481,0,2235,0,0,0,0,4708,0,5171,0,0,821,1511,7713,191,0,0,655,4314,0,2583,0,4163,1734,0,31888,0,0,9764,3716,64,44,1966,0,0,0,0,0,0,0,4005,0,121,5522,0
"Asan",0,2575,31883,0,53545,0,0,0,72611,140,0,0,0,36,0,0,0,0,0,0,444,0,788,0,0,0,27,0,0,52735,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,8479,0,0,0,25333,537387,0,55296,0,0,0,0,0,0,0,0,0,0,65795,0
"Bonghwa",4574,0,0,90344,0,0,8852,0,482,3,0,0,6,12310,0,9813,0,1163,7226,0,4,0,0,0,0,0,2039,0,0,0,0,0,0,0,0,531,0,0,0,2,0,0,3,0,0,0,0,2,0,4935,0,1,0,22330,0,0,52244,7636,276,114,0,0,1509,0,60313,294,0,6
"Boryeong",0,4021,68896,0,33291,0,0,0,101509,600,1474,0,0,0,0,0,720,0,127,0,0,0,0,0,0,0,165,0,0,71042,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,22318,0,0,0,185149,591178,164,117819,0,0,0,0,0,0,0,359,0,0,63125,0
"Bosung",0,0,0,0,0,210549,13372,2157,1833,1061,0,0,0,0,3545,0,0,0,0,0,0,118,0,0,350850,3116,0,5730,55,0,49397,5426,0,0,904,638,2511,1,1158,0,657,1402,0,857,0,2939,0,0,2123,0,0,1399,0,85782,60338,10394,0,0,0,0,0,0,0,0,0,5040,0,0
"Busan",59727,5405,802,9348,0,13945,3772872,32038,187482,2482,216,507983,471,3552073,905509,5617,3554,17257,15710,0,258475,106421,431446,0,30148,5195,139711,9539,19964,0,2473,1171,0,0,592,69227,2392,1083,24652,281,2160883,37323,20359,4556,0,1429,9520,13846,56264,3548,14845,133557,0,3799839,12922,456223,20744,749702,36645,2892,3534,0,14459,109271,87385,1,249,24
"Changwon",1020,533,152,0,0,2206,33575,566556,27037,2640,492,28851,2226,139880,61282,0,0,734,0,122,20192,132512,23203,0,8964,2393,0,17372,189201,0,743,1278,7,0,0,2551,1532,347,78969,882,100471,10395,1174,1250,285,673,29,1162,3884,0,314,16988,0,408993,4349,71156,0,0,600,82,0,0,0,10173,1187,0,70,0
"Cheonan",0,13926,49595,482,137027,1064,189149,30037,50584,6338,64,1956,1604,161424,433410,0,0,0,0,0,32780,712,37930,0,42669,259,1548,286,410,118546,125,42741,1748,201,3634,11874,26010,17415,7629,0,6865,23018,0,6895,7601,30942,5300,0,24915,0,0,137448,38020,2664214,26247,66556,50,4335,0,0,0,0,205,20101,610,14428,91220,0
"Choongju",13,512,0,0,965,638,9583,1436,8181,36951,803,472,97917,4292,56673,985,792,559,605,0,0,473,0,500,3002,0,2239,0,1881,46,163,568,209,458,425,184066,1025,1206,1899,462,40,1797,0,1064,412,0,0,907,2317,0,0,55982,425,26437,369,5516,289,1732,7,95,0,1307,143,0,117,764,65,38
"Chuncheon",0,0,0,0,1474,0,0,635,80,914,75168,0,2492,33,458,0,27,0,0,94602,971,0,746,0,288,0,0,0,0,1336,0,0,0,536,0,0,370,648,0,0,0,439,826,0,0,712,0,0,0,0,967,0,458,1950123,0,0,0,0,0,0,0,0,360,670,0,220,727,0
"Chungdo",0,1016,0,0,0,0,521303,35910,2727,83,0,75479,0,306081,12751,0,1491,0,0,0,18113,1810,66756,0,0,0,13,2,823,0,0,0,0,0,0,473,660,0,3015,0,59373,0,1942,0,0,0,278,4,1745,0,1848,2489,0,52943,0,8880,0,1,0,0,113,0,18,2282,76,0,0,0
"Chungju",6,0,0,0,0,0,471,2448,2644,102797,2494,0,37192,691,15444,2455,0,1,2834,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1080,360,342220,369,792,0,7,0,7206,0,0,0,72,0,27,729,0,0,29626,0,34524,0,6574,0,0,0,1,0,360,0,0,25,1357,0,38
"Daegu",104664,8804,0,9765,0,0,3524439,146670,159345,908,249,298073,691,7034,630944,13726,1893,49894,49809,0,657469,12658,1254981,0,216,0,55731,0,3339,0,0,495,0,1002,0,23474,709,619,13008,0,424536,1446,26579,0,0,0,10734,22291,73900,9026,19500,77954,0,2813546,129,426528,37034,29586,12499,1719,2003,0,142793,107708,144383,0,36,3
"Daejeon",0,16844,0,0,47,2863,879546,65488,461453,53457,411,9262,16157,643534,61687,0,2175,0,624,24,196116,2017,220105,2958,71758,663,12493,555,987,178,184,142484,2436,640,11493,142196,70383,28112,15078,0,25964,61432,0,11101,15041,279239,258487,424,119003,0,0,351492,14,3088480,56471,653770,0,21232,128,0,0,149,2053,375302,175,36441,0,560
"Donghae",8761,0,0,8078,0,0,5726,0,0,612,0,0,2503,15073,0,2950,0,1770,62831,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,27621,0,0,0,36114,0,0,383,0,0,0,0,0,0,84331,331,1041,0,116294,0,0,47146,4082,7093,1426,0,0,1892,0,36598,0,0,13542
"Euijungbu",59,0,0,0,1200,0,1172,0,0,1165,7,737,0,813,1238,0,2656878,634,0,5,0,0,0,0,1403,0,929,0,0,0,32,96,0,0,0,732,400,0,0,0,579,1899,0,910,24,1050,349,0,0,0,0,0,0,4898,0,0,553,600,10200,5688,210,1293553,2013,1009,935,0,0,0
"Euisung",34512,0,0,735,0,0,14344,734,0,558,0,0,2,68380,0,1556,634,19277,2172,0,0,0,0,0,0,0,19729,0,0,0,0,0,0,0,0,5656,0,0,0,2,0,0,0,0,0,0,0,407,0,561,0,0,0,28675,0,554,3928,18994,2056,294,0,0,33194,0,13993,0,0,11
"Gangneung",12913,0,0,6599,127,0,12041,17,0,2002,0,0,2391,46983,624,67106,0,2217,32116,0,2195,0,0,0,175,0,2320,0,0,93,0,739,72,0,350,13810,657,863,0,29279,0,0,0,0,0,0,0,480,0,55302,0,421,30,83724,1193,0,78430,9719,2002,714,0,0,4755,0,57285,714,0,3660
"Gapyeong",0,2,0,0,0,0,1512,914,0,159,51518,1296,3120,0,98,0,247,0,0,29063,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,26,278,0,0,0,0,170,0,0,0,485,0,0,0,0,0,0,0,646020,0,0,0,0,0,960,0,240,0,0,0,71,0,0
"Gimcheon",0,2580,0,0,0,0,239059,22928,34674,0,971,16432,0,499914,180530,0,0,0,2195,0,30146,588,211771,0,0,0,3066,1,250,0,0,0,0,0,0,526,1383,494,2363,0,8427,4,42786,0,0,0,5465,0,13943,0,80263,23069,0,382321,650,90703,0,5725,0,0,12952,0,1035,45509,13251,0,444,0
"Gimhae",81,0,0,0,0,200,101524,141746,920,2475,0,2292,0,16500,2975,0,120,0,0,0,737,19046,1722,0,309,207,0,1010,4861,0,49,2,0,0,0,473,1147,1,5264,0,45059,329,310,50,1,0,2,76,212,0,0,810,0,16294,233,4055,0,0,0,0,0,0,0,472,0,0,0,0
