"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",418431,0,0,4991,0,1,91072,714,0,13,70,2,164,111457,216,5897,1612,118144,12857,0,128,0,959,0,359,0,43535,0,0,0,0,0,0,372,0,69891,30,118,0,52,714,42,54,0,0,1772,0,1271,0,4242,40,52,0,293201,0,0,31653,42031,25213,1661,182,0,49449,0,283452,0,0,124
"Anyang",0,0,0,0,0,0,0,0,7313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,31070,0,0,0,0,3105,0,1885,0,0,0,0,0,0,0,0,0,0,0,0
"Asan",0,0,158523,0,43645,0,2,0,127786,3,0,0,0,3,853,0,3,0,0,0,5,0,0,0,0,0,0,0,0,56512,0,3067,0,759,0,0,1340,546,0,0,3,0,0,0,0,128,2,0,32930,0,0,679,33155,192472,0,30586,0,0,0,0,0,0,0,1,0,0,219172,0
"Bonghwa",7164,0,0,292450,0,0,13889,0,0,8,0,0,8,5247,20,11137,0,2039,7903,0,170,0,75,0,0,0,3631,0,0,0,0,0,0,0,0,4033,0,0,0,2956,0,0,268,0,0,0,0,19,0,17252,90,2,0,29137,0,0,182827,5823,789,60,116,0,2574,0,157886,0,0,60
"Boryeong",0,16,52276,0,362454,0,334,0,127087,0,118,0,0,476,566,0,1565,0,0,0,0,0,60,0,89,0,0,0,0,245901,0,0,0,2082,0,1,0,0,0,0,32,0,0,44,0,822,0,84,24109,0,0,9,344470,348577,0,53729,0,0,0,0,1,0,0,0,0,0,68856,0
"Bosung",0,7,0,0,0,808379,57339,5651,970,0,960,0,0,57,1129,0,0,0,0,0,0,392,0,11,365032,6431,0,3524,78,0,107899,1630,36,0,170,0,574,144,4054,0,2004,6044,0,2646,417,1224,0,0,29,0,0,554,0,31291,177523,1923,0,0,0,0,0,0,0,0,0,42257,0,0
"Busan",95907,101,0,9925,284,51696,2207452,156755,133501,4,918,486923,0,1781013,395968,8711,4472,46735,28020,0,265427,165976,214035,274,27243,11900,244180,34154,70464,0,3908,3058,40,0,2,65754,8825,833,63765,26,2567341,40500,450,7942,0,3049,11339,28018,16122,3005,100,94223,25,2347995,35281,128468,20622,763931,33324,2244,0,0,37912,96247,88914,0,0,67
"Changwon",0,88,0,0,1,4781,167986,1106808,12419,2,1614,20968,0,35847,15738,0,6068,1601,0,0,14099,259114,9519,0,9395,5195,612,29157,517888,0,573,1295,100,0,0,0,0,1007,140974,0,207088,8451,281,1218,648,4403,14,7719,42,0,615,8361,0,125681,19245,14098,0,114,92,0,0,0,2355,5173,0,88,0,0
"Cheonan",0,8503,126542,0,124537,38,130484,12658,159675,8565,0,208,2374,114195,301817,0,743,0,0,0,28859,0,22057,1,33816,0,30,0,0,131899,0,41969,1020,2208,3496,4638,21639,12493,2759,0,7433,15489,4,7935,5657,32146,2579,0,125269,0,2,190215,31864,930157,13204,132218,1,0,0,0,0,0,0,16249,3,6943,214469,0
"Choongju",610,1,0,13,0,0,329,0,7769,80839,784,0,133606,2,28,12,2304,154,7,0,8,0,1,0,0,0,545,0,0,0,0,0,0,0,0,214896,0,0,0,5585,2,0,0,0,0,1905,7,2,3966,8,0,49277,0,13793,0,7245,231,2779,506,66,1,0,88,6,1763,0,0,4603
"Chuncheon",0,88,0,0,128,0,2,282,76,2760,684763,0,380,0,0,1970,29369,0,0,359550,0,0,0,0,634,0,0,0,0,311,0,2330,0,0,0,0,0,0,0,0,100,0,0,0,0,1080,0,0,240,0,0,0,0,1158931,0,356,0,0,0,5,0,7087,305,0,0,0,0,0
"Chungdo",11,23,0,0,80,1,472981,28643,1402,3,960,165644,0,455545,4068,0,0,9,802,0,6440,5014,30688,6,18,6,1022,14,76,0,0,81,2,0,4,1,33,3,547,0,142699,0,43,1,0,1916,594,7,527,0,6,1115,0,32118,19,3074,0,10,3,0,8,0,799,1416,51,1,0,0
"Chungju",237,8,1,0,0,0,945,5,3263,130311,1083,1,105088,315,433,0,1564,11,16,0,4,0,7,1,823,0,9,0,0,0,0,2,0,60,0,179186,0,30,1,2411,8,311,0,1,7,2679,5,0,3504,1,0,53551,0,56629,5,7558,104,32,251,89,0,0,2,19,659,4,0,2457
"Daegu",94326,0,0,1308,528,0,705846,47970,98449,0,1400,401336,21,962,257971,2492,3017,111376,36106,0,354650,8687,1758738,120,2462,209,146344,204,1945,0,0,1800,0,90,204,24814,2403,404,3439,1,466141,257,93275,104,0,3386,14117,94523,16058,2027,48709,62957,20,1397876,939,138560,13772,14870,12876,475,55449,0,504943,101444,128776,0,24,1
"Daejeon",1,0,305,0,104,91,368108,21871,379522,9,128,1821,1,291323,392314,0,2276,0,2443,0,171384,192,117766,12246,63100,0,4336,429,88,387,2,175326,2994,134,10422,8,74897,23854,4934,0,22125,48727,192,12069,11309,665962,369080,0,57999,0,9,610886,0,1518663,24974,231991,0,6,165,0,7,0,238,236139,131,17149,572,0
"Donghae",5542,0,0,13364,0,0,9736,0,0,0,1352,0,2,3462,0,230638,1090,1281,292433,0,27,0,4,0,0,0,964,0,0,0,0,0,0,0,0,17564,0,0,0,62335,0,0,142,0,0,0,0,1,0,428407,0,1,0,56952,0,0,171123,3593,5513,199,57,0,2697,0,44870,0,0,16464
"Euijungbu",1,0,0,0,219,0,0,0,0,1788,31678,0,0,0,0,1420,1180749,0,903,65637,0,0,0,0,0,0,0,0,0,0,0,0,0,910,0,13,0,0,0,12,0,0,0,0,0,1140,0,0,20,0,0,0,0,616386,0,357,3,0,2654,1057,0,558315,300,0,1,0,0,4
"Euisung",123383,0,0,813,0,0,45804,1877,0,19,0,0,1,124171,4,1826,730,181004,2694,0,2,0,3,0,0,0,38471,0,0,0,0,0,0,0,0,9769,0,0,714,205,3,0,24,0,0,818,0,2153,0,1224,0,0,0,48389,0,0,7794,21529,3225,364,6,0,106585,0,21161,0,0,178
"Gangneung",11831,0,0,7224,0,0,17235,0,0,0,0,802,0,18907,2443,286415,0,2663,231851,0,2579,0,2136,0,0,0,4396,0,0,0,0,0,0,0,0,6914,0,0,0,20104,0,0,1755,0,0,1583,0,388,0,78672,1735,0,0,29021,0,0,96322,6526,3275,532,215,0,5809,0,53043,0,0,4189
"Gapyeong",12,2,0,0,0,0,546,468,0,0,358121,134,0,339,0,0,66518,0,0,589241,0,0,0,0,514,0,1,0,0,0,0,0,0,271,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,635362,0,800,0,0,6,15,0,4191,0,0,0,0,0,4
"Gimcheon",439,23,0,2,2,1,225264,14625,27314,1,0,4823,0,298565,134455,8,1,2,2592,0,181985,491,485798,8,59,0,3154,1,120,1,1,169,0,30,43,263,97,4,917,0,10905,9,111458,4,1,910,14551,133,4682,3,199230,17970,1,290099,8,42754,20,10,4,2,14419,0,126,84670,24231,2,1,0
"Gimhae",0,2,0,0,0,677,184660,260959,584,0,0,4138,0,13434,2003,0,0,0,0,0,645,145664,711,0,369,190,4,2220,13920,0,33,3,0,0,0,0,0,0,7643,0,72568,240,0,27,5,0,0,1,11,0,0,336,0,8499,700,1075,0,63,0,0,0,0,0,112,0,9,0,0
"Gumi",889,19,0,1,0,1,205446,12254,23487,0,0,22762,5,1605362,127623,1,730,1,2136,0,567794,676,839134,1,14,1,2905,6,393,0,0,249,0,0,11,28,9,1,1825,3,20306,0,28663,0,0,1603,9208,190,3517,5,27819,22096,0,245826,138,30033,2,57,11,0,11129,0,165,39707,23191,2,0,0
