"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",4212,0,0,2549,0,0,27323,399,4236,1441,80,0,3246,41396,0,7193,147,12813,11178,0,0,125,0,0,0,0,21413,0,0,0,0,0,0,164,0,50120,0,0,22,665,0,0,0,0,0,21,0,0,1280,1817,0,0,0,282788,0,5658,11518,30877,27379,5703,0,45,22175,0,64516,0,0,0
"Anyang",0,0,6209,0,3867,0,4756,11,11538,47,0,465,0,6240,5688,0,0,0,0,0,1733,0,1921,0,466,0,4914,0,0,5364,0,1215,310,0,559,0,1623,5,0,0,419,2001,0,781,1081,1413,0,0,19963,0,0,6408,2183,5056,0,393,0,0,0,144,0,0,471,1256,0,0,3256,0
"Asan",0,2255,546,0,39897,608,2781,504,14515,0,229,0,0,509,207,379,0,0,0,0,104,103,580,0,1387,0,0,0,0,40795,68,0,0,0,30,263,0,0,522,386,0,302,0,0,145,0,0,130,9110,178,0,103,17921,343482,1051,74479,218,22,617,0,0,0,286,0,0,0,15854,0
"Bonghwa",2797,0,0,5485,0,0,4365,0,0,0,0,0,0,5427,0,3762,0,345,5981,0,92,0,293,0,0,0,1001,0,0,752,0,0,0,0,0,219,0,0,0,921,8,0,19,0,0,0,0,0,0,1275,154,0,0,8061,0,0,12253,3658,81,39,4,0,1425,0,17541,0,0,136
"Boryeong",0,2001,59846,0,5689,0,48,0,109796,0,0,0,0,144,0,0,366,0,0,394,0,0,313,0,0,0,0,0,0,20064,0,0,0,504,0,2,0,0,0,47,0,0,0,0,8,0,0,0,27061,0,0,1086,39246,459889,0,116725,0,0,0,0,0,0,0,0,173,0,45137,0
"Bosung",0,0,608,0,0,82509,10044,1991,2001,0,0,0,0,818,3905,0,0,0,639,0,0,200,0,530,73413,1800,0,732,353,0,45943,3796,0,0,561,0,2288,163,2427,0,715,2699,0,1304,0,804,0,0,1423,0,0,941,0,50446,41001,10529,0,0,0,0,0,0,0,0,0,3162,0,0
"Busan",30223,2797,3024,5092,34,9825,1917478,79038,197022,546,2080,506459,227,2447019,740141,4031,2012,8402,22444,0,147755,41989,404631,0,9856,3004,164720,9248,18309,73,1309,484,535,0,72,24716,1546,0,25712,1377,1177931,20940,31313,1730,239,10548,11318,40957,77752,1354,25441,107816,0,2859115,11477,573206,18385,241913,13648,2155,13617,0,11939,59694,37544,0,172,0
"Changwon",590,11,504,0,0,2174,81660,145086,28670,379,1146,38744,960,138213,64719,1669,707,0,1032,405,15075,26058,26523,0,2988,2777,0,16273,69183,0,297,183,0,0,0,3059,0,341,57796,394,60068,5713,801,377,0,310,775,0,17656,379,79,11658,0,307257,5712,85417,762,0,0,0,687,0,0,4890,986,404,96,1391
"Cheonan",4495,9796,14746,0,156969,1909,201949,29058,10248,2311,169,9884,990,146952,413681,0,18,823,23,0,28139,1543,40648,0,40347,621,8909,229,518,124965,273,43270,1576,0,5084,7901,24765,31553,5801,506,7899,21881,0,5388,8658,42874,7080,8233,39622,163,0,84116,31860,2007280,23481,353234,183,10037,0,0,0,0,2399,16254,5273,14289,75514,0
"Choongju",1822,0,0,0,0,0,841,427,2545,8539,0,0,53030,160,87825,1227,231,0,2827,0,0,0,2,0,906,0,511,0,0,0,20,669,0,509,248,66743,128,443,0,870,165,19,0,139,0,222,0,425,1054,92,0,44259,0,20714,0,2509,10,0,0,0,0,0,360,0,4394,0,0,383
"Chuncheon",0,0,229,0,0,0,1341,1063,208,6976,63006,0,0,507,302,360,0,0,743,155666,71,14,0,0,397,0,0,0,0,0,0,45,0,0,590,0,7,0,0,0,64,0,0,0,158,441,0,0,0,0,0,0,0,2429894,0,73,0,0,6,0,0,0,1080,0,0,225,107,0
"Chungdo",0,71,0,0,0,0,506271,47724,10052,0,216,19705,0,181439,45937,0,144,0,0,0,76718,3360,164526,0,0,0,0,0,84,0,0,72,0,0,72,0,0,0,847,0,49194,0,7658,0,0,0,1160,0,5715,0,8220,8531,0,128948,1218,35064,0,0,0,0,2196,0,18,3931,2142,0,0,0
"Chungju",3097,0,0,0,0,0,374,979,1439,56474,0,0,14670,72,28852,2706,227,0,7932,0,0,0,0,0,74,0,185,0,0,0,0,121,0,360,12,206923,842,137,0,2392,479,2,0,1217,562,54,0,0,785,134,0,22197,0,21734,0,4651,36,0,0,0,0,0,0,0,9327,0,0,691
"Daegu",35116,3809,552,4917,87,818,2477924,129184,144095,150,719,182228,0,2292,541814,14230,871,21992,42023,332,403323,16600,921207,0,384,0,98441,0,3593,3,0,1188,0,0,86,11174,2821,1,13710,1469,272175,0,56612,0,0,1655,10545,352515,75313,3350,57100,68950,0,2242134,1899,498165,18714,16601,8,0,10996,0,242589,53716,32760,0,194,888
"Daejeon",0,3935,207,0,0,2756,744330,72537,410836,71733,1054,42086,28394,536136,6158,2351,8190,0,9158,0,168307,4741,177122,0,89702,506,21281,803,1138,2,287,154754,3942,1,18566,108719,67900,52168,9508,3204,25817,55333,2,10352,21281,140075,58678,14706,166318,278,0,177595,2,2674283,58017,645625,326,19159,217,0,2,0,8230,229723,2273,41857,0,2705
