"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",538613,0,0,8977,0,2,88298,847,0,213,1540,3,107,100845,43,6287,889,141318,8202,113,37,0,801,0,87,0,46794,0,1,0,0,0,0,150,0,83819,0,80,0,445,8,2,42,0,0,1368,0,4187,0,3715,44,29,0,312908,0,1,26017,28079,22330,2123,1242,290,48493,0,355279,0,0,395
"Anyang",0,0,11977,0,7765,0,3757,116,54060,169,0,389,146,3516,16291,0,2,0,0,0,2459,0,660,0,6387,0,0,0,0,22091,1,5688,1484,0,1749,0,6778,2350,0,0,836,3942,1,3107,1385,7049,2026,0,90572,0,2,15638,12507,451,3822,8572,0,0,0,0,0,0,0,2652,0,865,30745,0
"Asan",0,13239,144302,0,30894,0,129,28,119026,7,8,0,2,126,899,0,16,0,0,0,16,0,2,0,9,0,1,0,0,56648,0,17092,0,5709,1,10,11,2,8,136,8,1,0,2,0,1596,14,0,25922,0,0,586,29987,103093,4,25212,0,0,0,0,0,2,0,5,0,18,223333,1
"Bonghwa",10233,0,0,264010,0,0,13044,87,0,83,0,5,77,10449,72,11500,1,4063,7723,0,303,0,128,0,0,1,3989,0,0,0,0,0,0,0,0,6277,0,0,0,523,24,0,382,0,0,0,5,99,0,13759,238,7,0,31718,0,0,185409,3664,1337,198,403,0,4719,6,141624,0,0,133
"Boryeong",0,9087,29518,0,393138,0,218,2,82949,2,68,0,0,105,1362,0,445,0,0,0,0,0,0,0,107,0,0,0,0,273734,0,0,0,2616,0,0,0,0,0,0,0,0,0,84,0,1300,0,41,16969,0,0,151,324098,278585,0,24762,0,0,0,0,0,1,0,0,0,0,61900,0
"Bosung",0,300,0,23,0,981765,62112,8910,582,2,0,1,6,727,552,0,0,0,0,0,0,575,2,22,361815,14408,24,7159,403,0,132659,1194,99,7,82,0,99,514,7607,0,3869,10586,0,2803,1379,421,0,0,918,0,0,1057,0,9777,323037,817,0,0,0,0,0,0,0,0,0,62685,0,0
"Busan",86915,3652,1,9555,0,51854,2110501,118369,111653,31,2480,380161,3,1383498,325517,26534,5929,47468,66083,128,216016,119154,134732,315,23359,13391,272957,21219,48477,0,3861,2994,0,338,44,59283,6434,840,36125,127,2063734,38967,336,5811,7,5919,9111,19542,15209,4045,867,75169,4,1901006,29434,83273,16520,691026,25239,2062,241,0,37638,64779,62768,827,132,100
"Changwon",702,172,0,82,0,7691,130594,1598623,15328,0,1987,23824,0,199915,38545,80,1078,0,459,90,14467,391949,9561,5,12487,4794,371,22324,693578,0,878,715,15,468,0,36,7,1667,111793,0,276611,9095,0,1658,209,4213,67,7225,176,0,0,10040,0,193161,19125,12878,0,1030,90,90,0,285,1801,4624,1,166,1,1
"Cheonan",3,44717,118037,0,80714,0,101985,14026,189587,3048,148,515,2472,94108,243713,0,4,0,0,960,25181,0,13544,9,27011,0,157,35,42,120248,0,25049,877,11257,4092,3234,18937,7390,2702,29,8081,12851,25,6560,4240,23572,1892,9,68069,0,9,158731,31177,677223,10948,97458,0,6,6,0,1,1,1,11525,10,6399,199065,10
"Choongju",785,243,5,82,4,1,712,24,3405,190536,3,1,222062,64,343,11,17,101,38,2,13,2,7,6,11,0,1783,1,0,9,0,57,0,2,3,274123,8,34,2,7708,2,113,0,1,2,81,20,19,1114,20,0,58752,0,31054,7,4070,281,2258,1250,164,0,1,143,64,2148,21,6,8569
"Chuncheon",347,3,5,0,70,0,649,688,129,0,595020,0,0,718,15,1,18560,3,1165,275738,11,0,1,0,2155,0,0,0,0,4,0,22,0,0,0,9,0,275,0,3,2,3,0,0,0,1595,0,0,1,0,0,552,0,1758489,0,25,0,0,533,19,0,2449,466,0,5,0,12,7
"Chungdo",39,514,0,0,0,2,364150,28091,854,1,0,226454,1,474402,2873,6,0,5,526,0,4016,4141,14083,0,22,3,1150,7,10,2,0,157,0,1,10,10,70,1,397,0,144643,23,17,5,2,1335,623,37,424,0,10,642,0,23482,9,1542,0,2,3,0,6,0,1609,894,20,0,0,1
"Chungju",421,290,1,30,4,0,527,11,3975,224246,1094,1,351566,119,917,69,1733,13,2041,102,63,0,16,5,1149,0,464,0,2,2,0,21,2,70,11,185896,2,11,0,3523,3,5,0,5,1,5460,162,3,2322,9,0,61497,3,58704,9,9352,130,39,1212,249,0,168,94,95,1254,1735,2,5082
"Daegu",85837,3399,0,6266,243,0,1330756,217865,90978,52,1558,422721,1,2638,225078,5469,2450,90523,35585,0,259356,12928,1500535,349,3942,1522,129806,1142,4901,3,0,2613,25,203,610,9903,3259,769,18355,71,388894,1737,110654,406,0,6681,12814,91286,16509,1501,56400,55042,1,1107963,6682,96448,9429,13734,3266,235,52430,182,366437,72015,116475,26,0,117
"Daejeon",14,14065,502,3,1054,3,308931,41024,248850,521,650,1916,158,240314,226385,32,1664,0,1852,0,112298,641,76374,16104,57169,0,194,287,554,2458,0,145269,2578,1585,11589,592,74463,15092,5789,3,24681,45571,1015,12472,8928,513272,283635,761,41129,9,582,512357,4,1086122,21321,183577,20,264,73,0,237,0,183,198505,635,16341,2085,9
"Donghae",6620,0,0,12140,0,0,29370,3,0,28,0,0,49,6570,49,343838,0,2552,344898,0,201,0,33,0,2,0,8680,0,0,0,0,0,0,1235,0,14055,1,0,0,45340,1,0,185,0,0,0,0,201,0,383385,96,65,0,52531,0,0,155302,8564,2984,381,186,0,6460,0,36234,0,0,13804
"Euijungbu",115,499,96,12,2516,0,173,5,871,0,16814,1,1,13,1052,4,747291,69,5,24411,0,0,8,0,186,0,481,0,0,135,0,34,6,1631,29,282,74,3,1,34,0,59,0,2,1,825,0,0,203,0,0,4091,116,1486297,6,571,2,4,692,977,0,410431,482,2,143,0,117,53
"Euisung",153109,0,0,1433,0,0,47864,505,0,28,0,10,0,106843,0,2049,0,217501,3133,0,0,1,9,0,0,0,35897,0,0,0,0,3,0,0,0,10258,0,0,0,305,18,0,13,0,0,1348,0,4662,0,889,3,2,0,44051,0,0,7739,15388,4088,503,10,0,113254,0,24482,0,0,263
