"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",342547,0,0,4424,0,0,87892,1,0,15,480,0,58,79874,20,5353,3118,98214,10937,0,70,0,52,0,1117,0,39288,0,0,0,0,1,0,95,0,63893,0,143,0,94,1,0,26,0,0,782,0,850,0,4107,38,0,0,282407,0,0,35563,43930,25156,1713,136,0,45486,0,248376,0,0,211
"Anyang",0,0,0,0,0,0,0,0,7350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29815,0,0,0,0,0,0,26503,0,0,0,0,2140,0,1748,0,0,0,48,0,0,0,0,0,0,0,0
"Asan",0,0,142462,0,44838,0,2,0,117496,1,0,0,2,1,143,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62089,0,2763,0,938,0,0,340,68,0,0,0,1,0,0,0,5,0,0,32538,0,0,162,33012,186749,2,30242,0,0,0,0,0,0,0,0,0,0,206221,0
"Bonghwa",6319,0,0,242083,0,0,13133,0,0,6,20,0,2,4689,26,11689,0,2136,7786,0,172,0,72,0,0,0,3644,0,0,0,0,0,0,0,0,2870,0,0,0,4732,0,0,299,0,0,0,0,5,0,15865,151,1,0,25415,0,0,174671,5464,753,90,175,0,1983,2,156630,0,0,320
"Boryeong",0,2,54624,0,191413,0,478,0,122141,0,0,0,0,137,1243,0,176,0,0,0,0,0,0,0,0,0,0,0,0,219539,0,0,0,1763,0,0,0,0,0,0,55,0,0,0,0,0,0,227,23979,0,0,21,323724,347904,62,54793,0,120,0,0,0,915,0,0,0,0,65299,0
"Bosung",0,0,0,0,0,688199,44688,4692,1508,1,1119,0,0,43,1514,0,863,0,0,0,1,355,0,0,344476,5807,0,3612,88,0,107725,2741,14,0,178,0,930,37,3591,0,1308,4294,0,2148,105,1415,0,0,10,0,0,790,0,47525,145286,3453,0,7,0,0,0,0,0,0,0,40562,0,0
"Busan",94749,31,0,9091,500,39437,2118535,132972,162285,123,745,434976,3,1870249,393142,6804,5105,41017,26417,0,263898,69437,220657,510,22069,10951,230107,30746,58621,0,3732,2578,240,124,2,63325,8829,578,59642,11,1351283,34162,8795,5100,1,5547,9383,32596,17877,3274,7064,87585,0,2224086,24137,145387,21898,669435,33011,2181,0,0,27340,101978,91153,24,0,44
"Changwon",0,67,0,0,2,3721,132909,1159385,11914,0,3530,18466,0,35046,15579,0,3010,846,0,0,14028,221722,8351,0,11517,4882,0,28565,428160,0,799,1295,0,0,0,0,0,1210,122256,0,179675,8051,0,987,208,3279,70,7176,34,0,0,7609,0,101776,14695,14107,0,0,44,0,0,231,854,5173,0,82,0,0
"Cheonan",0,9318,131376,2,122022,2,0,12216,145343,5522,1073,115,1272,112940,266676,0,863,0,0,0,27824,0,21305,0,33096,0,606,2,0,122914,0,39694,1272,2697,3292,5006,21632,0,2989,1,8155,15374,2,7638,6079,30496,2291,0,118570,0,7,185635,34297,914074,3209,132951,0,0,0,0,0,0,51,16060,4,7179,208363,0
"Choongju",418,0,0,12,0,0,159,0,5176,71631,915,0,125457,4,12,6,0,93,1,0,6,0,5,0,1,0,239,0,0,0,0,0,0,1,0,214426,3,1,0,3600,1,47,0,0,2,81,7,33,2556,6,0,48166,0,8132,0,5578,133,1593,414,61,0,0,41,6,1165,0,1,2314
