"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",500775,0,0,8410,0,0,99395,602,0,135,1706,1,89,100251,25,7953,1387,146443,10096,75,70,0,860,0,195,0,53002,0,0,0,0,0,0,364,0,82324,0,0,0,197,0,0,47,0,0,1746,46,3698,0,6551,56,30,0,345042,1,0,27185,42889,26213,2744,393,172,50618,0,318925,0,0,295
"Anyang",0,0,12276,0,7616,0,2528,56,54483,72,0,289,46,2742,11101,0,0,0,0,0,1983,0,693,0,5898,0,1,0,0,21034,0,4099,1423,0,1393,0,5617,2042,0,0,549,3217,1,2483,1095,2872,2028,712,95394,0,0,9345,11649,1905,2033,9481,0,0,0,0,0,0,0,2487,0,406,29501,0
"Asan",0,13349,161076,0,31575,0,47,1,121168,2,7,3,2,38,645,0,13,0,0,0,3,0,2,74,7,0,0,0,0,52779,0,1910,94,4424,2,14,163,289,1,0,1,0,2,0,1,1409,3,0,26368,0,0,292,30229,156351,2,26919,0,0,0,0,0,1,0,5,0,1,213621,0
"Bonghwa",10320,0,0,292465,0,0,15976,115,0,67,0,0,72,9646,59,11756,0,6073,7401,0,375,0,137,0,0,0,4618,0,0,0,0,34,0,0,0,4876,4,0,0,145,2,0,477,0,0,23,0,61,0,16675,250,5,0,35708,0,1,193879,6211,1138,106,362,0,4302,4,160339,0,0,98
"Boryeong",0,9340,30958,0,419341,45,289,2,87300,0,230,0,0,268,605,0,284,0,0,0,2,0,0,0,160,0,0,0,0,252864,0,400,0,3001,0,0,0,0,0,0,0,0,0,87,0,0,0,45,18369,0,0,146,325155,282783,0,30954,0,0,0,0,0,0,0,0,0,0,63313,0
"Bosung",0,47,0,0,0,1092995,68764,8788,89,1,0,0,0,294,36,0,0,0,0,0,2,590,0,3,399296,13584,0,6762,333,0,90455,154,38,3,3,0,38,192,8100,0,2984,11201,0,2804,820,183,0,0,115,0,0,157,0,1211,339947,133,0,0,0,0,0,0,0,0,0,62505,0,0
"Busan",99594,2285,0,10852,462,52776,2215478,95634,125128,31,2102,415045,2,2135001,393654,29179,5721,51599,63930,0,245932,129236,166608,241,26889,10382,272166,19296,54132,0,3852,2658,0,164,17,66877,6348,652,37602,149,2288820,45748,465,6747,1,4223,6871,22339,15978,3792,298,85369,0,2299895,26279,101829,18180,789087,29871,1712,526,0,38843,73985,74383,406,0,142
"Changwon",600,160,0,1,2,6886,102237,1415572,13335,0,1647,18724,0,67498,18814,95,2156,20,129,0,12173,252615,8081,0,10553,4177,12,19575,387129,0,585,1238,106,61,0,720,2,1803,90369,0,205747,8304,0,1353,210,5573,39,6137,30,0,0,9129,0,144559,14618,13280,0,105,0,179,0,261,1870,4388,0,92,1,0
"Cheonan",5,47300,118171,0,85007,0,112864,13063,231693,4932,0,194,3575,101388,259294,0,4,0,0,0,25037,0,15381,3,31007,0,570,0,39,119137,23,30764,787,135082,3692,2824,19006,9621,2393,13,6472,14707,5,7049,4572,26114,1497,8,64717,0,2,158340,31498,790497,11209,95797,0,0,4,0,0,2,0,12775,2,6978,201586,2
"Choongju",703,79,3,52,3,0,273,728,5897,188417,8,5,230945,57,221,7,2,108,4,1,24,0,6,2,3,0,731,0,0,4,0,10,0,1,0,274857,1,5,0,8301,2,53,2,0,0,1200,20,15,1846,8,0,55919,1,36066,0,6186,341,3668,1024,158,0,0,264,45,2136,21,1,9161
