"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",514269,0,0,7303,0,0,101008,442,0,103,689,2,86,117191,12,7439,278,144810,10864,0,84,0,929,0,0,0,54682,0,0,0,0,0,0,162,0,82048,0,0,1,162,0,0,70,0,0,2600,0,4890,40,4104,64,81,0,327413,0,0,27938,46276,25800,2227,394,78,50010,0,284495,0,0,153
"Anyang",0,0,14298,0,9147,0,2680,112,62759,35,0,304,20,3156,11375,0,0,0,0,0,1901,0,748,0,6460,0,1136,0,0,21978,0,3617,1585,0,1745,0,6401,1899,0,0,562,3509,1,3037,1018,3835,2490,370,128751,0,0,9816,12418,2480,2331,9995,0,1,0,0,0,0,0,2611,0,363,30857,0
"Asan",0,14965,168714,0,33249,0,82,8,121695,2,24,0,2,123,725,0,2,0,0,0,4,0,4,0,4,0,0,0,0,54055,0,1649,144,4247,0,8,136,3,6,0,0,17,0,0,0,8,3,0,29710,0,0,264,29348,159917,4,28798,0,0,0,0,0,2,0,1,0,5,210285,0
"Bonghwa",9619,0,0,297368,0,0,16373,2,0,26,0,0,30,9066,24,11908,0,4622,7012,0,235,0,127,0,0,0,4117,0,0,0,0,0,0,0,0,3733,1,0,0,1057,1,0,302,0,0,0,1,48,0,14847,143,0,0,34591,0,0,194316,6865,999,123,171,0,3249,4,150279,0,0,23
"Boryeong",0,10516,33705,0,390895,0,1284,0,90794,0,553,0,0,403,384,0,455,0,0,0,3,0,91,0,217,0,0,0,0,242908,0,0,0,1743,0,0,0,0,0,0,92,0,45,0,0,1300,0,39,19166,0,0,50,323362,284580,0,34619,0,48,0,0,0,140,12,0,0,0,65492,0
"Bosung",0,20,0,0,0,989310,68589,7327,56,0,0,0,0,178,42,0,0,0,0,0,3,532,0,6,400146,9637,2,4531,206,0,103596,91,26,0,199,0,34,167,6022,0,3107,8916,0,2809,509,14,0,0,101,0,0,231,0,2453,218668,170,0,0,0,0,0,0,0,0,0,47412,0,0
"Busan",101702,2550,0,10202,473,1588,2311330,110113,134624,33,2716,437656,509,1785440,426214,20633,13533,51836,65361,0,260830,160024,197327,187,32994,10428,227896,21160,60497,385,4621,2963,0,81,23,73831,7615,777,42797,85,2531412,51083,153,8318,0,3167,10086,19673,19070,4907,38,100017,0,2528823,29016,116968,23132,796478,34517,2267,237,0,36696,81766,80509,302,0,84
"Changwon",442,109,0,0,0,6208,125889,1603915,14381,0,1777,20621,0,48888,18512,0,1772,220,56,0,12312,278259,9058,0,11130,4654,1441,23611,458181,0,666,636,60,1587,0,0,2,1009,110034,0,220962,9751,271,1597,281,5919,7,7396,29,0,0,9789,2,153171,16799,16471,0,100,81,0,0,138,2087,5335,0,182,0,0
"Cheonan",1,56343,119747,0,84374,0,127388,13572,181404,7417,700,169,4747,109712,285900,0,612,0,0,0,25599,0,17229,0,31094,0,914,4,11,119304,0,34574,630,6333,3713,3093,17324,10460,2558,16,6535,14817,3,6230,4950,25015,1757,1,94573,0,3,162487,31370,899853,11210,124099,0,0,2,0,4,0,0,13228,3,7135,193326,1
"Choongju",727,56,0,34,0,0,317,2,7060,197828,0,0,239933,13,255,7,0,115,4,0,6,0,1,0,0,0,865,0,0,1,0,4,0,0,0,269558,0,0,0,8839,0,21,0,0,0,1308,15,3,3059,10,0,54468,0,22601,0,7418,300,3978,1196,142,0,0,255,22,2025,2,0,9057
