"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",51768,0,487,4375,0,0,51543,184,532,16,0,0,1,142580,1664,8577,0,33937,12094,0,0,0,0,0,0,0,33396,0,0,337,0,0,82,0,0,65319,0,1084,0,1,0,0,0,0,0,0,170,223,0,2854,2,1,0,344457,0,645,23384,54526,31355,4555,0,0,27635,0,139996,31,433,1
"Anyang",0,0,5059,0,3755,0,4069,0,23938,32,0,652,0,6679,15949,0,0,0,0,0,1868,0,1586,0,2006,0,3301,0,0,4130,0,4554,100,0,904,1022,7883,0,0,0,425,4034,0,2422,962,3340,283,0,28488,0,0,9683,3541,75,797,1892,0,0,0,0,0,0,0,2405,0,0,4452,0
"Asan",487,2527,9560,0,51199,0,0,1250,79059,0,169,0,0,14,0,0,0,0,0,280,0,0,0,0,0,0,587,0,0,50912,0,0,0,0,0,0,138,0,0,754,448,440,0,0,0,0,0,0,11558,0,445,0,25640,499821,0,69952,0,0,0,0,0,0,0,0,0,0,54803,0
"Bonghwa",5454,0,0,60176,0,0,8938,738,0,4,0,1,1,13653,3191,9219,0,951,6676,0,1,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,1,0,0,0,0,0,0,3773,0,1,0,19407,0,0,41460,7188,271,104,0,0,2024,0,59459,0,0,0
"Boryeong",0,2772,83989,0,24256,0,0,0,97739,0,0,360,0,0,0,0,120,0,0,0,0,0,235,0,0,0,0,0,0,70727,0,0,0,120,0,604,0,0,0,353,0,0,0,0,0,0,0,0,22434,0,0,0,159037,563452,0,114726,0,0,0,0,0,0,0,0,0,0,57566,0
"Bosung",0,0,0,0,0,182369,11689,1980,1777,0,0,0,0,0,4714,0,0,0,0,0,0,137,0,0,322019,2701,0,3347,114,0,41045,5274,0,0,699,0,2715,0,1153,0,688,1619,0,1596,0,4428,0,0,1921,0,0,1754,0,76479,72492,9535,0,0,0,0,0,0,0,0,0,5725,0,0
"Busan",49312,3725,528,8440,0,11003,2910998,164524,167390,1488,0,471255,99,3193348,1004180,4557,5542,13840,12681,0,224262,92279,387404,0,24016,3793,120722,9427,18549,0,2220,492,0,0,0,63821,6305,585,22950,685,1947886,32135,19860,3604,0,373,7610,13885,53530,2771,16167,106102,0,3457745,9936,448043,17064,413255,25491,2709,8105,1080,12066,90581,77519,556,0,0
"Changwon",184,0,1244,244,0,1791,175997,468139,22147,2695,1150,26726,7390,149209,65128,0,1178,0,570,395,17795,114674,22169,0,8030,1776,0,16048,149712,0,452,267,0,380,0,1590,1021,825,69759,471,91311,7908,831,703,38,1889,4,1080,4551,0,338,12457,0,350272,3671,68470,0,0,0,0,0,0,0,7271,654,0,901,538
"Cheonan",534,15448,60016,0,140330,1171,173082,23540,52551,5978,0,2216,1715,136242,445126,0,0,0,0,137,27622,879,31195,0,41679,204,1767,966,398,129927,110,37996,1410,0,3881,12454,25150,17755,6566,1078,6458,20964,0,6427,8625,30454,5279,1285,37709,0,0,125944,33246,2337646,22764,89875,1005,4043,0,0,0,0,314,16059,3940,12187,130260,0
"Choongju",9,458,0,0,604,0,12201,840,7351,28054,0,575,86025,5271,74501,0,0,4,360,96,29,0,0,0,3830,0,3,0,412,401,41,1307,0,393,482,170881,0,0,0,0,0,998,0,1011,0,0,116,210,1808,0,0,47704,243,33328,40,5638,0,728,1,39,0,0,560,121,3851,964,0,5
"Chuncheon",0,0,169,0,0,0,0,1150,0,30,75346,0,0,0,5271,0,0,0,0,131454,0,0,0,0,576,0,658,0,0,0,0,0,0,0,360,63,0,0,0,0,0,0,0,0,0,257,0,0,0,0,571,0,0,1966376,515,0,0,0,0,0,0,0,936,0,0,277,360,0
"Chungdo",0,691,0,0,360,0,485202,32446,2898,0,0,86429,0,357162,18278,0,0,0,0,0,22790,1916,74196,0,0,0,6,0,767,0,0,0,0,0,0,547,0,577,3236,0,58952,0,2105,0,0,0,312,0,1625,0,1952,2057,0,59720,0,11133,0,0,0,0,619,40,14,2036,422,0,0,0
"Chungju",3,0,0,0,0,0,603,7247,2194,85451,0,0,27032,0,19037,820,576,0,232,0,0,0,0,340,756,0,0,0,0,0,0,0,0,720,0,332432,1656,0,0,1,72,2938,0,0,0,0,0,0,856,0,0,24756,0,35055,0,6940,0,0,0,0,0,480,0,0,5331,555,0,941
"Daegu",118253,6241,0,11529,0,0,3226245,156526,155810,135,0,347269,0,5324,655521,13256,6972,50181,48911,0,737509,14979,1191664,0,1994,0,55406,0,3733,572,0,477,0,0,0,32495,2512,139,13975,0,376776,110,24304,194,0,22,8853,26733,56206,7869,20466,68636,0,2621383,0,402532,35664,20841,10544,1272,6624,140,163520,93283,148667,0,65,3278
"Daejeon",971,13228,3,1035,0,3386,1029633,72545,497359,66159,4739,14443,17685,671133,26396,742,4594,1621,871,3255,215417,3097,215091,3166,90277,709,20569,956,1781,4,447,155748,3044,2844,13195,162906,72458,33975,17413,5655,31328,69342,897,13149,20260,277907,176376,10284,132169,821,967,315884,0,3577393,62719,692824,1636,28498,1841,0,807,848,5082,376683,4161,41221,0,2797
"Donghae",9323,0,0,7433,0,0,4613,0,0,820,0,0,544,13257,1466,2176,0,1612,77878,0,536,0,0,0,0,0,753,0,0,0,0,0,0,0,0,29715,0,0,0,29635,0,0,0,0,0,0,0,0,0,61638,0,0,0,123074,0,0,41703,3247,7658,1645,0,0,2060,0,34252,0,0,11557
"Euijungbu",0,0,0,0,120,0,1344,1137,0,1690,4,0,504,2940,2331,0,2978007,0,0,620,1486,844,0,0,0,0,0,0,0,0,0,0,0,62,713,0,1649,203,0,474,630,0,116,0,819,1283,43,240,480,0,1077,144,0,19944,0,72,481,0,1200,0,0,1604920,1805,215,0,0,0,0
"Euisung",42229,0,0,710,0,0,12327,0,0,460,0,0,0,66855,1621,1404,0,18049,2276,0,0,0,0,0,0,0,17404,0,0,0,0,0,0,0,0,4822,661,0,0,1,0,0,0,0,0,0,221,161,0,424,0,0,0,25276,0,0,2976,13644,1761,292,0,0,33633,0,12105,0,0,3
"Gangneung",11758,0,0,6175,0,0,11896,1713,0,232,0,0,519,41829,1487,77302,0,2060,33106,0,2321,0,495,0,173,0,2506,0,0,0,0,512,0,360,412,14532,464,0,0,23784,0,572,0,266,0,0,0,360,0,45147,0,0,0,102644,0,0,60135,6647,2141,799,0,0,4440,0,57596,0,0,3607
"Gapyeong",0,0,152,0,0,0,1584,1115,137,152,58582,1296,0,0,3255,0,0,0,0,43679,0,0,0,0,720,0,138,0,0,674,0,72,0,0,0,108,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657507,40,0,0,0,0,0,0,0,72,0,0,103,445,0
"Gimcheon",0,1745,0,0,235,0,208571,19934,30855,0,0,19681,0,523287,195395,536,1486,0,2321,0,18466,662,198887,0,0,0,3448,0,353,716,0,0,0,0,0,0,0,9,3490,0,8409,633,48138,0,0,0,5387,896,11263,0,88934,22479,79,379790,0,83711,0,7733,148,0,13531,0,1190,41682,15542,0,0,0
"Gimhae",0,0,0,0,0,229,109559,111054,943,310,0,2355,0,18327,4500,0,984,0,0,0,739,13598,2012,0,373,181,0,996,4198,0,45,0,0,0,0,0,266,108,5448,0,32151,471,0,60,0,0,0,0,260,0,0,714,0,17859,270,3014,0,0,0,0,0,0,0,340,0,0,0,0
"Gumi",0,1609,0,0,0,0,386068,21379,36619,0,0,70213,0,1485214,216483,0,0,0,495,0,201621,1720,148834,0,0,0,5411,0,812,1261,0,0,0,0,0,0,0,0,9757,0,25038,0,5741,0,0,0,4848,3862,13840,0,3534,28830,0,448313,0,95578,0,6717,1132,0,1820,360,2147,36021,5452,0,0,0
"Gunsan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5499,0,0,0,0,0,0,0,0,147371,226,0,0,0,0,0,0,651831,51,0,806,340,4259,25942,0,0,0,921,0,16,36,3794,2,0,6,0,0,0,0,1092,1,1,0,0,440,0,0,0,0,0,0,540,0,0
"Gwangju",0,1656,0,0,0,357249,38274,9130,33955,347,0,0,0,1289,73503,0,0,0,173,0,0,270,0,10,163721,1725,0,1578,126,0,41771,91977,0,0,19599,2843,64756,3,1879,0,469,337468,0,38158,0,55140,0,0,22385,0,0,20359,0,785187,37543,96693,0,0,0,0,0,0,0,0,987,3106,0,0
"Gwangyang",0,0,0,0,0,3240,4150,2026,209,0,0,44,0,276,692,0,0,0,0,0,8,146,12,0,1763,11200,0,8763,285,0,1002,435,130,0,0,0,0,874,6681,0,438,1064,0,72,329,190,0,0,282,0,0,183,0,14560,19791,1696,0,0,0,0,0,0,0,0,0,2105,0,0
