"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Gwangmyung",0,0,0,0,0,795516,135450,256011,0,0,0,141520,629093,508959,0,0,0,0,0,0,0,0,0,4419,7690,2535,58742,0,195123,1,0,130571,0,7447,0,1408,33,0,0,69606,0,16213,0,25748,33121,0,8013,0,25171,66976,0,8440,7598,10247,0,0,0,0,0,0,0,59192,43892,0,0,306830,0,0,0,0,0,0,0,37284,0,0
"Gwangyang",0,0,0,0,209,2064,4866,1,58,0,0,0,411,4,0,0,0,0,0,0,0,0,116,303,0,0,119,0,74,0,142,15,163,0,2284,271,22,0,90,0,0,0,0,0,0,0,3517,0,168,83,0,67,0,0,0,28,1,0,0,0,0,1306,3918,2,0,73,0,0,0,0,0,22,0,0,0,0
"Gyeongju",8453,0,540,0,0,312411,699,32914,0,0,0,10663,252295,113875,1103,0,319,0,6707,0,1253,0,501,94,0,10187,4152,0,0,134663,16,8727,28310,0,21,28,0,0,0,0,0,0,2022,0,0,0,180,0,37,0,0,0,0,424,0,43554,250,136,0,27,0,592178,278,43766,890,219800,1040,527,0,0,40880,0,4968,0,0,0
"Gyeongsan",8865,0,524,0,0,461807,96079,9976,83186,0,0,449,710310,39655,0,0,604,0,4881,0,1010,0,34303,15533,0,0,152668,0,0,1952,176,29493,120762,0,379,885,0,0,0,0,0,0,0,0,0,0,4860,0,101134,0,3594,0,0,484,1408,8667,6821,253,5448,6286,0,74871,1049,25172,841,37087,0,0,1047,0,7432,3576,4197,0,0,0
"Gyeryong",0,10,4,450,241,0,0,20095,0,0,0,305,0,36047,0,0,0,0,0,0,0,0,0,0,2300,1396,0,409,10685,8268,0,0,0,0,0,0,348,98,27,19616,164,2235,0,3227,7007,0,0,0,0,3866,0,748,671,19362,0,0,8071,0,0,9730,145,125038,2871,23278,0,0,0,0,0,0,0,0,0,1970,15,0
"Hadong",0,0,0,0,242,12232,25243,48,15,0,0,8,912,32,7,0,0,0,0,0,0,6,42,2053,0,0,104,0,1161,0,1883,18,353,0,3479,1201,9,0,64,0,0,0,0,471,0,0,20180,0,775,132,25,35,0,0,8,107,27,0,0,20,0,329,12215,76,0,819,0,0,0,0,0,8,0,399,0,0
"Haman",0,0,0,0,75,7834,25212,163,61,0,0,66,2679,796,0,0,0,0,0,0,0,15,108,1283,0,0,195,0,51,1298,291,56,780,0,1288,234,2,0,9,0,0,0,0,0,0,0,9953,0,1116,112,18,5,0,0,22,232,135,0,0,75,0,5257,1692,715,0,66,0,0,0,0,0,31,27,0,0,0
"Hampyeong",0,0,0,0,96,139,140,1782,0,0,0,6,0,4598,0,0,0,0,0,0,12,43,0,11,1087,14,0,0,21901,41,20,0,0,312,10,1,168,0,51,3710,0,903,0,1216,0,0,13,0,6,5668,0,1188,0,1047,0,0,1428,0,0,1098,0,19602,180,7284,0,0,0,0,0,0,0,0,0,0,0,0
"Hongsung",218,75087,0,55365,0,0,154,220549,504,0,78,0,607,602,0,0,0,0,0,0,81,0,0,0,0,0,0,9324,0,0,0,0,0,93,0,0,0,3020,0,30419,0,0,69,0,0,0,0,0,0,0,0,0,0,737,0,0,26225,0,0,0,12236,277612,258,98454,251,0,0,0,0,0,0,0,0,103,33031,0
"Hwasoon",0,0,0,0,13439,359,62,217,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,16,222,0,0,0,1617,0,90,0,0,37,127,20,77,0,298,440,0,175,0,109,0,0,59,0,16,979,0,146,0,117,0,0,210,0,0,132,0,2569,3944,962,0,0,0,0,0,0,0,0,0,0,0,0
"Iksan",102,8888,0,76951,974,1192,0,60019,0,0,0,5991,0,240737,0,0,0,0,0,0,479,0,0,0,48298,17244,0,27915,137697,73513,0,0,0,20088,0,0,3807,30119,396,4799,13300,22152,0,129306,133428,0,0,0,0,50554,0,8637,43816,66899,0,0,27134,0,0,30618,37351,439271,88461,97060,0,0,183,0,0,0,0,92,303,49783,14330,0
"Imsil",0,0,0,0,0,0,0,1450,0,0,0,0,0,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,13552,132,0,0,0,27398,0,0,0,0,0,0,0,1381,768,0,0,1021,0,0,1125,0,14968,6871,5536,0,0,0,0,0,0,0,0,0,4309,0,0
"Jangsung",0,0,0,0,349,0,504,6448,0,229,216,682,0,24056,0,112,0,91,0,0,0,0,0,0,6916,2755,0,0,13447,18291,0,0,0,2262,0,0,1098,0,104,21764,0,1905,410,10710,0,0,0,0,0,10276,0,2277,0,6964,0,0,2872,0,0,3883,0,99450,176,15518,0,0,0,191,0,22,0,0,0,0,0,0
"Jecheon",20445,73,2422,0,0,6989,0,8179,0,86173,251,129591,864,100707,11289,981,14903,460,626,14264,22508,64,111,0,0,850,0,0,1528,0,0,2119,0,0,0,0,0,69,0,0,0,410,13490,0,0,15144,0,41390,0,262,0,0,0,563,0,0,1870,3464,0,45176,0,239686,1085,5243,20466,3981,46793,16856,0,141,690,0,43716,0,176,19421
"Jeongeup",0,0,0,0,346,172,0,17728,14,0,239,1198,595,53107,0,0,10,116,0,0,4,20,150,0,25290,5300,17,0,39198,26134,0,0,0,2579,471,0,1245,0,95,128381,0,10194,0,0,0,0,0,0,10,16312,0,2999,0,8738,0,554,8246,36,0,7702,0,173149,313,36089,701,0,252,9,0,0,42,0,0,0,0,321
"Jeongju",0,0,0,0,0,0,0,22179,0,0,0,1038,0,65659,0,125,334,156,0,0,922,0,404,0,0,2258,0,0,0,32428,0,0,0,6192,0,0,0,0,0,139465,28748,0,0,0,5128,0,0,693,0,0,0,0,121448,25949,0,0,12995,0,0,16870,0,247437,157582,67899,0,0,318,156,0,39,0,91,0,100860,0,0
"Jeungpyung",0,0,33,0,0,0,0,1393,0,17918,0,17939,0,20623,0,0,70,0,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17618,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,15651,0,3786,37,1067,0,0,32,0,0,0,0,0,0,31,0,0
"Jinju",367,0,0,0,683,21585,87751,3488,211,0,0,497,20481,3822,309,0,0,0,0,0,0,314,474,4873,0,97,976,0,229,10023,3314,244,4222,0,17680,10230,16,0,38,0,0,0,0,0,0,0,4217,0,11088,425,377,20,0,0,46,622,249,0,511,172,0,35316,14740,478,0,1257,0,0,73,0,0,370,137,288,0,0
"Jungsun",0,0,2299,0,0,0,0,157,0,0,0,500,146,252,5,0,13554,0,0,0,19963,0,659,0,0,286,0,483,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,44305,0,693,0,0,18363,0,4,0,0,0,30,0,0,0,2979,0,73,0,92327,214,21,16022,0,27308,5440,0,119,0,0,143,0,0,14718
"Milyang",0,0,10,0,55,831308,169526,17282,5220,0,33,2759,257139,40322,0,0,30,0,0,0,460,0,5057,26457,0,628,22569,0,44,24837,218,47,94457,0,1106,1424,5,0,13,0,0,0,0,10,0,0,12991,0,52168,68,543,5,325,4,492,176,3013,18,949,1751,0,197493,3584,12640,93,208,0,0,336,0,0,2131,525,0,0,0
"Mokpo",0,0,0,0,345,844,730,24287,0,0,0,3584,0,74686,0,0,0,0,0,0,484,649,0,66,8619,9783,0,0,200888,65867,73,0,0,3531,323,76,7538,0,832,50568,0,10392,262,17136,0,0,282,4,30,836,0,24462,0,9609,0,0,8548,0,0,6871,0,314307,596,26430,205,149,0,0,0,0,0,0,0,0,0,62
"Munkyeong",0,0,16,0,0,13970,247,0,2475,0,0,0,24998,0,0,0,75,0,0,0,511,0,10216,63,0,0,12172,0,0,0,0,0,3720,0,25,18,0,0,0,0,0,0,0,0,0,0,377,0,609,0,0,0,0,5,0,208,0,4,1664,0,0,0,0,0,0,0,0,0,630,0,0,0,4050,0,0,0
"Naju",0,0,0,0,254,151,205,5185,0,0,2,280,0,11566,0,0,0,0,0,0,18,69,0,21,2250,888,0,0,5113,9069,59,0,0,757,40,6,1171,0,129,9030,0,2708,0,3262,0,0,17,0,4,24135,0,93,0,2053,0,0,2718,0,0,2185,0,67823,509,13613,16,0,0,0,0,0,0,0,0,0,0,0
"Namwon",0,0,0,0,0,0,61,6826,0,0,0,455,16,16018,0,7,0,80,0,0,50,845,0,0,0,1773,0,0,0,7262,0,0,0,566,0,0,0,0,0,46006,1323,0,0,0,115606,0,0,0,325,0,0,0,0,2830,0,0,3162,0,0,3243,0,64544,38335,16507,0,0,0,0,0,0,0,60,0,23646,0,0
"Nonsan",0,49,160,1466,366,0,0,55593,0,0,5112,508,0,343941,0,0,910,0,0,0,0,0,0,0,6764,1270,0,796,29449,7708,0,0,0,18566,0,0,984,397,78,63105,787,4601,400,8497,26810,0,0,0,0,9357,0,1812,3555,4015,0,1160,18384,0,0,26773,379,195477,13674,77555,0,0,221,57,0,0,0,0,0,7690,123,0
"Okchun",0,0,0,0,0,8765,317,16908,1619,0,0,0,12872,69232,0,0,0,0,0,0,30,0,7786,24,0,0,8149,0,0,0,3,0,1533,0,9,19,0,0,0,0,0,0,0,0,0,0,46,0,533,0,0,0,0,0,658,0,6496,0,0,9380,0,50820,5,19020,0,0,0,0,0,0,0,27074,0,504,0,0
"Pohang",185,0,301,0,0,23261,1158,2000,0,0,0,617,47219,3170,0,0,0,0,0,0,680,0,2072,164,0,0,3327,241,0,0,36,45085,6429,0,121,257,0,0,0,222,0,0,0,554,0,0,591,0,105,0,208,0,0,1683,0,89,1222,0,0,292,0,8611,621,5174,224,11084,0,0,0,0,4462,0,1291,0,0,0
"Pyeongtaek",0,39396,0,24666,708,42951,3556,100051,5171,1001,0,1481,56915,277949,1,0,0,0,0,263,0,0,11687,515,6988,0,24045,8469,16226,0,3,241,6666,7974,29,147,1644,25925,188,26907,935,3058,1599,8538,14109,805,375,0,2949,8626,0,2823,3478,19828,6668,1524,7216,0,0,98431,6019,1373976,15264,450641,45,0,418,0,0,0,406,10636,0,8816,22195,0
"Samcheok",708,0,605,0,0,2550,64,6,67,0,0,0,4727,0,0,0,31067,0,125,0,23084,0,139,0,0,0,334,0,0,0,0,159,346,0,0,0,0,0,0,0,0,0,3741,36,0,0,0,2924,57,0,11,0,0,245,0,0,0,188,74,0,0,23880,170,0,3234,547,5338,725,5,0,168,0,1759,0,0,989
"Sangju",0,0,13,0,0,21498,219,0,4019,0,0,0,43423,0,0,0,62,0,0,0,616,0,19611,0,0,0,25145,0,0,0,0,0,5817,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,884,0,1823,0,0,4,0,0,0,16,1019,0,0,235,0,0,0,0,0,0,1130,0,0,0,4174,0,0,0
"Sejong",39,0,117,0,428,26860,2312,317916,3980,28677,285,20481,33820,485657,0,0,64,0,0,8398,60,0,12367,394,5852,0,16389,0,16098,0,1,0,5272,9345,46,87,1149,0,95,29270,841,4111,42957,7041,17491,15868,325,73,2053,7331,0,2090,3029,26133,9702,80,97130,0,0,5758,0,546573,13788,296882,352,0,246,0,0,0,0,13436,0,9105,0,0
"Seocheon",170,11884,0,17946,0,0,77,23356,0,0,0,0,0,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,127,0,0,0,12284,0,35622,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,5512,0,0,0,747,89317,120,30886,231,0,0,0,0,0,0,0,0,97,11019,0
"Seoul",75798,319689,21890,198727,13613,4437259,554188,2765758,35838,7960,0,559625,3263759,3825926,40955,0,19476,0,3681,1158,112442,0,121350,25767,103474,12877,460273,51907,817322,56319,854,582638,71353,123604,103,4574,20559,288428,2373,423980,15876,95891,232624,160295,246831,3706,36775,88024,198479,309802,0,76387,64134,207044,55256,9643,1405638,20407,454,579268,96022,16481,298608,2464988,74088,1091625,548739,418940,0,0,4907,134621,136440,189736,208175,34766
"Suncheon",789,599,0,62,20304,23471,21793,29687,102,683,504,2089,2377,72635,461,80,810,193,258,17,815,278,245,2298,116,2947,826,0,6352,42762,6068,332,646,2208,12696,1501,207,251,4009,96683,6981,119,1086,306,152915,37,14180,214,2736,606,0,446,39253,11424,2,610,13816,170,0,12862,120,295763,86892,58591,261,627,749,163,0,45,0,29,435,137518,620,353
"Suwon",0,120743,1967,86263,3990,401310,14106,751928,13878,1157,0,5167,346418,751235,273,0,0,0,0,457,0,0,50521,2435,31695,0,112079,29256,61294,0,13,43613,23407,23698,89,800,7380,94820,839,93620,5030,15679,5761,37572,68895,1274,988,66,12255,27310,0,13703,16908,79958,18811,5728,438541,0,0,299071,32818,2529899,60646,18857,923,62979,0,0,0,0,3336,44140,461,33926,71541,365
"Taebak",3945,92,100894,132,0,4402,970,391,0,0,0,1018,8981,2421,112,0,23976,49,558,0,34849,11,856,20,0,0,0,0,1030,0,0,666,966,0,0,0,0,251,0,0,0,0,23243,701,0,0,0,12861,101,205,2,16,0,1560,0,224,45,3764,0,352,231,69308,470,1216,560,3249,20628,2409,0,0,1211,0,9509,123,145,7099
"Ulsan",14347,0,1546,0,0,799806,625,147833,0,169,0,27682,457399,261885,3480,0,631,0,5684,0,3349,0,0,156,0,12684,14142,0,0,291946,135,224674,36053,0,809,60,0,0,0,0,0,0,4503,0,0,0,1428,0,187,149,0,0,0,1273,0,13022,0,331,0,0,0,1091799,779,76671,3019,13245,3067,913,0,0,31313,360,11321,0,0,0
"Wonju",15989,0,372,0,0,5694,0,507,0,100,0,293,355,232,9613,0,2677,0,703,20,7259,0,359,0,0,0,0,0,235,0,0,1043,0,0,0,0,0,0,0,251,0,0,49242,252,411,32,0,26945,0,0,0,0,50,221,0,0,418,5257,0,246,0,533360,847,0,20725,2450,887,95580,0,0,912,0,29346,122,0,14918
"Yangpyeong",6201,0,20,0,0,2113,0,31,0,0,0,432,0,0,3374,0,1519,0,268,0,3565,0,441,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,191,23430,9,156,0,0,6287,0,0,0,0,0,57,0,0,0,984,0,0,0,382163,163,0,2938,644,100087,54807,0,0,225,0,10064,0,0,2134
"Yechun",0,0,2,0,0,6952,90,0,771,0,0,0,9219,0,0,0,11,0,0,0,126,0,4448,0,0,0,5654,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,285,0,656,0,0,0,0,0,0,3,1466,0,0,0,0,0,0,0,0,0,173,0,0,0,2103,0,0,0
"Yeoncheon",263,0,0,0,0,0,0,233,130,0,0,0,0,0,0,497534,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,141,0,39,0,0,119,0,0,0,0,0,0,0,504,0,0,0,0,0,0,45,0,0,0,0,0,0,95560,0,0,344,38,0,0
"Yeongchun",6329,0,503,0,0,17665,0,855,0,0,0,0,242122,1886,655,0,312,0,8871,0,877,10,796,0,0,0,3326,0,0,0,0,39090,6335,0,0,0,0,0,0,0,0,0,890,42,0,0,0,0,0,0,0,0,0,327,0,7414,498,100,0,43,0,5183,0,3482,944,33062,1108,301,0,0,0,0,2506,0,0,0
"Yeongdong",0,0,0,0,225,29475,1519,20851,5050,0,0,0,45792,363987,0,0,0,0,0,0,198,0,29544,195,0,403,24017,0,212,0,14,0,3736,0,10,32,0,0,0,92,0,0,0,0,91,0,436,0,2325,0,0,0,60,0,24743,0,9255,0,0,12070,0,128712,41,44207,0,360,0,0,0,0,0,8810,0,0,0,0
"Yeongju",99449,0,19531,0,0,14569,821,354,978,0,0,180,14833,0,6980,0,11098,0,4194,0,8927,0,6874,74,0,1008,5298,0,303,0,0,5436,4145,0,0,27,0,0,0,303,0,0,48372,0,0,0,137,152,456,0,4228,0,0,1616,0,1291,0,1492,4369,0,0,144985,435,767,11555,11214,29397,8278,2439,344,2445,0,10500,0,0,40
