"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",112,226,5187,201,0,12167,215,71,0,0,0,253,14597,44,5735,0,5087,0,29188,0,6386,0,0,0,0,0,0,0,0,0,0,9833,8079,0,0,0,0,218,0,102,0,0,22888,0,0,0,367,0,0,0,0,0,0,4033,0,185,0,722,0,39,170,78999,789,0,3686,15816,16083,5069,0,263,8164,0,102288,0,90,0
"Asan",226,3954,0,42929,0,0,0,55010,0,0,135,0,58,8,0,0,0,0,0,0,159,0,0,0,0,0,0,11706,0,0,0,0,0,3,0,0,0,81278,0,8691,0,0,73,0,0,0,0,0,0,0,0,0,0,52,0,0,37323,0,0,0,12339,332063,599,119488,92,0,0,0,0,0,0,0,0,0,52109,0
"Bonghwa",8862,0,13197,0,0,4151,0,647,14,0,0,678,4627,1274,121,0,5823,0,555,32,4345,0,42,0,0,0,104,0,0,0,0,783,710,4,0,0,0,0,0,0,0,0,3992,0,0,66,0,386,17,0,38,0,0,4113,0,824,0,983,46,234,0,25509,0,1141,110586,2568,372,20,30,0,1175,0,19268,0,0,75
"Boryeong",201,38301,0,3099,0,0,233,142607,0,0,0,0,84,4184,0,0,0,0,0,0,0,0,0,0,0,0,316,16922,0,0,0,0,0,280,0,0,0,53707,0,80018,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,0,23701,0,0,0,17481,195552,62,85349,132,0,0,0,0,0,0,0,0,210,25601,0
"Bosung",0,0,0,0,11561,1284,1320,1029,0,0,0,0,0,1676,0,0,0,0,0,0,0,0,0,98,402,0,0,0,28215,0,249,0,0,203,230,72,105,0,15155,898,0,253,0,296,0,0,571,0,52,281,0,203,0,430,0,0,668,0,0,547,0,14955,23008,4184,0,0,0,0,0,0,0,225,0,0,0,0
"Busan",12783,0,2488,0,1724,935808,57926,443524,62133,0,511,124634,1925026,919150,2778,280,1575,188,6080,0,12310,99,65505,14946,0,65973,318364,0,1422,821466,1933,321367,465624,0,14021,8435,144,0,322,1192,0,0,7477,172,0,0,23304,0,871145,1201,13858,132,0,1851,7648,28605,41773,729,21381,24080,0,4499469,24929,401326,4064,794521,5316,2330,5960,0,17909,28971,13854,4148,0,0
"Changwon",215,0,0,233,1732,62681,68375,27892,1869,242,20,5970,339649,118833,63,0,198,0,178,0,307,178,3834,23005,0,182,7777,0,2534,159814,4734,1571,96141,0,25930,24042,152,154,65,0,0,504,0,0,0,0,90614,0,175197,1029,247,193,61,0,347,1441,5374,64,219,2414,77,572447,21399,11282,817,567,0,0,90,0,0,1404,821,756,0,0
"Cheonan",71,57152,690,142344,945,438552,19136,54122,6199,4171,266,11636,369563,1032028,92,0,77,0,0,913,100,0,23684,1506,12880,27988,60870,25838,59056,262503,3,46315,9167,21056,36,310,1737,211149,186,60785,1452,7065,7355,18747,24682,1110,3312,145,16077,29436,0,5531,6762,57238,17242,2042,111918,3,0,319661,24221,2702334,31867,736673,309,112977,766,42,0,493,783,21347,359,22158,196647,120
"Chilgok",0,0,5,0,0,56378,2090,6876,1450,0,0,0,578086,33018,0,174,21,285,0,0,141,0,39172,499,0,0,87571,0,0,0,52,0,78691,0,30,59,0,504,0,0,0,0,0,14,0,0,374,0,4776,0,2966,0,0,1,1866,0,5718,6,4815,4169,0,36849,156,15544,0,0,0,0,956,130,0,6284,1239,0,0,0
"Choongju",0,0,0,0,0,0,242,4038,0,1951,251,98012,0,76564,0,0,0,0,0,3028,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,82150,0,0,16279,0,0,0,0,0,0,0,0,0,0,787,0,0,31769,0,8076,684,1194,0,169,100,0,0,0,0,0,0,50,0,0
"Chuncheon",0,135,0,0,0,4838,20,266,0,251,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,0,0,0,43,78,0,0,0,360,251,239,0,0,0,0,33,649,0,56,465,0,0,0,0,0,0,213,0,19,504,0,0,0,0,0,0,0,0,0,0,78,134,0
"Chungju",253,0,498,0,0,126688,7298,13578,0,89185,0,24874,74549,132273,191,0,251,0,361,14893,700,0,0,482,377,8073,1739,0,7276,139460,0,8343,556,210,8,42,12,0,0,5691,0,636,117788,1264,1474,16330,598,512,2146,4733,0,592,485,563,0,540,1701,0,0,22206,0,602469,2229,3960,983,33371,293,432,0,0,0,0,306,2526,0,11
"Daegu",14336,55,6037,84,0,1971607,360191,361752,586472,0,0,72159,36381,728182,0,0,5105,27,13327,0,15888,78,418123,52403,0,49476,1498456,0,0,637119,430,252086,697553,0,989,3141,0,607,0,0,0,0,864,595,0,0,23309,146,250752,0,21797,0,16,1277,10580,61790,56890,2030,36713,27919,0,3346519,2950,361636,6902,477884,355,0,7165,0,248626,42106,13594,0,61,0
"Daejeon",44,34,790,6775,1884,933568,124393,1016079,27506,82025,4079,127652,740124,136594,0,0,30,0,0,22527,310,0,139927,7818,32950,53624,245307,2828,123818,529392,18,113754,43390,43149,53,648,4682,634,379,233789,2948,23404,104312,54373,67918,24604,4262,252,39524,74752,0,11653,16998,364920,69817,3123,259121,0,0,498423,3418,3868124,76703,752856,2421,284026,232,0,0,0,1817,367188,0,56154,93,0
"Danyang",5599,0,202,0,0,2758,82,72,0,0,0,27,0,0,0,0,0,0,245,0,0,0,152,19,0,0,0,0,0,0,0,1174,0,0,7,0,0,0,0,0,0,0,13159,0,0,0,290,5,0,0,0,0,0,13,0,0,0,0,0,0,0,39403,461,222,43,3012,9229,3144,0,0,367,0,6762,32,0,9
"Dongduchun",0,0,0,0,0,280,0,0,174,0,0,0,0,0,0,62,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,981,0,125,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,414341,0,0,0,24,0,0
"Donghae",5094,0,2892,0,0,2077,364,124,29,0,0,251,5120,50,0,0,1109,0,1598,0,86220,0,371,88,0,0,263,0,2018,0,0,226,550,0,4,13,0,0,0,0,0,0,14993,10,361,70,135,13329,23,0,159,0,0,2982,30,0,0,28840,118,64,0,18473,810,0,23141,621,2321,1280,55,0,444,198,11525,43,0,4798
"Euijungbu",0,0,0,0,0,188,0,0,285,0,0,0,27,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,460,116,151,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,191,0,49,0,400,0,0,0,0,0,0,131,0,0
"Euisung",28954,0,223,0,0,5802,178,0,0,0,0,361,16114,0,429,0,1526,0,2213,0,1080,0,0,0,0,0,0,0,0,0,0,6908,4048,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,303,0,0,0,195,0,0,0,4563,258,0,517,5725,628,367,0,88,5311,0,4319,0,0,0
"Eumsung",0,0,16,0,0,0,0,1051,0,3579,0,15534,0,20271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16351,0,0,1299,0,0,0,0,0,0,0,0,0,0,335,0,0,8420,0,1222,17,429,0,0,20,0,0,0,0,0,0,24,0,0
"Gangneung",6151,226,2620,0,0,7031,154,284,56,345,0,700,10170,290,412,0,80027,0,923,0,106257,0,350,0,0,0,774,803,2164,0,0,1040,792,0,0,0,22,133,0,411,0,0,18465,4,802,0,0,18603,351,642,470,75,0,1395,0,680,0,22498,545,60,0,51089,475,0,35476,3148,3485,1981,169,0,1148,0,7560,108,257,5116
"Gapyeong",0,0,0,0,0,99,172,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,188,636,836,0,0,0,0,0,6,15,0,0,0,0,0,0,64,20,0,0,314,0,0,0,0,15,380,0,0,0,0,0,0,0,0,0,278,0,11,0,0,0,0,0,10,0,0,5,0,0
"Gimcheon",0,0,21,0,0,61627,4170,22569,33654,0,0,0,421672,136612,152,61,292,60,0,0,561,0,0,446,0,120,241288,0,526,0,98,517,34729,0,33,110,0,0,0,0,0,0,111,150,404,0,796,659,4378,0,9532,0,0,49,7799,2377,10819,21,16432,11796,0,117201,323,51532,856,0,359,441,3980,0,720,30106,7341,0,0,75
"Gimhae",0,0,0,0,123,12792,16605,1512,261,0,0,589,51962,7471,19,0,0,0,0,0,20,0,363,356,0,0,1563,0,59,9842,330,180,13760,0,2006,1447,9,0,16,0,0,0,0,0,0,0,6222,0,29095,109,63,9,0,0,52,192,565,0,0,373,0,27652,2230,2218,0,176,0,0,0,0,0,173,74,137,0,0
"Gimje",0,0,0,0,345,0,0,11853,0,0,0,221,0,33020,0,0,0,0,0,0,0,0,0,0,7610,1099,0,0,36795,7294,0,0,0,1783,0,0,1108,0,88,47737,0,6218,0,25240,0,0,0,0,0,8725,0,2069,0,6878,0,222,6632,0,0,6242,0,100602,277,30831,0,0,0,0,0,0,0,0,0,0,0,0
"Goyang",1008,0,0,0,0,77200,182,28488,0,0,0,10316,61020,65231,0,0,0,0,0,0,0,0,120,0,1480,0,1115,0,24099,3269,0,13412,0,2202,0,0,0,0,0,17985,0,2105,850,4286,3063,0,97,236,1644,9235,0,1988,1594,1816,0,125,0,0,0,0,0,6230,3435,0,0,15751,0,0,0,0,0,403,0,2928,0,792
"Gumi",0,0,6,316,0,300060,12571,63474,85556,0,0,1360,1460626,254914,0,0,211,0,0,0,1232,188,220838,1777,0,1287,81,0,0,58850,147,4218,152152,0,107,261,0,0,0,0,0,0,0,17,0,0,1759,0,19214,0,12536,0,0,12,7846,3865,24245,61,23393,15242,0,464917,839,114824,2,13918,0,0,4750,0,3349,23967,4970,0,0,0
"Gunsan",0,10114,0,16492,0,0,0,24786,0,0,0,0,0,2940,0,0,0,0,0,0,803,636,0,0,0,0,0,44,0,0,0,0,0,298,0,0,0,8777,0,24661,0,0,0,0,0,0,0,483,0,0,0,0,0,908,0,241,8194,0,0,0,1253,50815,0,28584,0,0,0,0,0,0,0,0,0,0,6986,0
"Gwangju",0,0,0,0,31444,1817,2827,52831,0,0,0,6157,0,117585,0,0,0,0,0,0,4228,1947,526,49,39509,25930,0,0,1273,194206,174,0,0,9680,1516,46,23116,0,3082,138116,0,14997,1528,41874,0,0,345,0,100,190743,0,4816,0,28309,0,0,17400,0,0,15473,0,839598,7101,61725,1592,0,235,0,0,0,0,212,303,0,0,0
