"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",41109,1162,0,4246,184,0,48005,36,1139,1206,0,0,1171,119881,503,8059,284,34396,11549,0,0,0,0,0,0,0,27475,0,0,158,0,593,0,0,0,61190,602,68,0,0,0,0,0,0,0,0,0,54,1277,2480,0,0,0,317555,0,1647,20576,47544,30184,4256,0,191,27662,0,119967,0,0,0
"Anyang",1162,0,6778,0,3571,0,4093,0,22447,0,0,801,0,5659,8099,0,0,0,0,0,1733,0,1596,0,1618,0,6839,0,0,4133,0,2739,479,0,687,0,5065,52,0,0,468,3315,0,1767,841,2279,0,0,27261,0,0,7385,3163,76,0,1456,339,0,0,120,0,0,0,2090,511,0,4541,0
"Asan",0,4132,2872,0,48012,0,0,460,51122,0,105,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,44778,0,0,0,0,0,124,0,0,0,0,0,462,0,0,60,0,0,0,12973,0,0,0,22875,466904,880,75086,314,0,0,0,0,0,0,0,491,201,36736,0
"Bonghwa",4775,0,0,52337,0,0,8292,0,0,0,0,0,0,12896,0,6453,0,947,6825,0,2,0,0,0,0,0,1803,0,0,0,0,0,0,1800,0,270,0,0,0,1,0,0,0,0,0,0,0,0,0,3016,0,0,0,17421,0,134,32525,6789,214,97,0,0,1814,0,51640,0,0,0
"Boryeong",226,2879,73688,0,13672,0,0,0,99948,0,169,1218,0,2,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,38382,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22833,0,0,0,139305,517792,0,109536,0,0,0,0,0,0,0,0,0,0,47171,0
"Bosung",0,0,0,0,0,164060,12577,2491,1785,0,0,0,0,0,3679,0,0,0,0,0,0,212,0,0,286721,2588,0,922,103,0,35550,4684,0,0,523,0,2956,0,1422,0,785,2106,0,1566,0,3058,0,0,478,0,0,1181,0,57619,76335,8458,0,0,0,0,0,0,0,0,0,5103,0,0
"Busan",46938,3250,0,8065,0,12429,2911594,170546,174649,1248,0,481381,0,2924610,816753,4758,4529,12167,12821,0,205651,72986,393473,288,21582,4244,117183,9608,17297,0,1694,82,0,0,0,41318,3869,0,25549,1197,1861871,31144,25929,3594,466,167,10283,21365,59261,2453,21117,103558,0,3204738,13883,452388,15073,321757,20603,2424,12026,0,13072,89190,72008,2348,0,254
"Changwon",36,0,460,0,0,2046,190139,419727,21068,0,559,30415,0,148789,50035,0,315,0,723,225,17582,83096,21632,0,6197,1990,0,16181,124626,0,395,183,0,0,373,594,413,0,64666,0,86444,7713,276,720,0,718,389,1080,4789,0,276,9136,0,300700,4207,66409,0,0,0,0,0,0,0,6514,766,0,376,0
"Cheonan",1581,10075,35249,0,139791,1169,182169,21890,43669,6062,21,3488,1418,129438,379233,0,0,0,0,0,30460,969,30934,0,39392,172,4585,279,439,125511,105,38917,1304,0,3438,11989,22938,17668,5606,0,6488,18998,1,6153,8125,25720,5703,641,35362,0,0,114247,31860,2088617,21412,88083,561,7382,0,0,0,0,719,15533,4322,11286,109637,0
"Choongju",2011,0,124,0,0,0,1981,0,7098,20816,0,0,56868,703,65500,555,346,0,0,0,38,0,487,0,2442,0,0,0,0,816,0,701,0,0,388,139870,0,0,0,112,0,670,0,219,0,401,0,0,1901,0,0,52004,0,30009,0,5484,345,4,0,0,0,0,0,0,4681,516,151,0
