"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",56726,0,0,3814,0,0,55614,1484,594,12,0,0,1,145259,0,8589,0,34797,13413,0,0,0,0,0,0,0,36866,0,0,0,0,0,0,0,0,65166,1223,0,612,1,0,0,0,0,0,0,0,398,0,2967,0,0,0,501911,0,0,23468,61530,31065,4663,8,0,24027,0,133578,0,0,2
"Anyang",0,0,5905,0,4124,0,6431,0,31049,79,0,1079,0,10985,19102,0,0,0,0,0,3697,0,2521,0,1905,0,4762,0,0,4170,0,4677,0,0,1210,0,5854,467,0,0,633,3954,0,2402,335,3641,1498,0,29024,0,0,10987,3733,20,0,1743,0,0,0,0,0,0,549,3389,0,0,4788,0
"Asan",0,3174,27118,0,54835,0,0,0,104858,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,53107,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,12224,0,0,0,26657,546401,0,74478,521,0,0,0,0,0,0,0,0,0,59452,0
"Bonghwa",5194,0,0,82676,0,0,8955,337,0,3,0,0,0,12967,0,9123,1375,1121,7449,0,5,0,0,0,0,0,2101,0,0,0,0,0,0,0,0,505,0,0,0,4,0,0,0,0,0,0,0,0,0,4166,1,0,0,20916,0,0,48908,7755,282,72,0,0,1773,0,61712,0,0,0
"Boryeong",0,3760,77094,0,35003,0,0,0,101226,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,75774,0,0,0,0,0,360,0,161,0,0,0,432,0,0,0,0,0,0,23903,0,0,0,179008,617232,0,119732,0,0,0,0,0,256,0,0,0,370,71035,0
"Bosung",0,0,0,0,0,2022520,11773,1865,2102,0,0,0,0,0,3728,0,0,0,0,0,0,148,0,0,340792,2881,0,4354,72,0,46054,5458,0,0,754,846,2885,0,1148,0,688,1294,0,892,0,4916,0,0,2152,0,0,1518,0,77614,66086,9522,0,0,0,0,0,0,0,0,0,5374,0,0
"Busan",53408,5724,501,8932,0,12087,3717213,47689,183103,1168,0,513469,681,3579904,939333,5422,3816,15577,17555,0,252676,100549,425399,0,30392,5218,136510,9064,19681,423,2444,0,0,0,0,71717,7175,377,24372,0,2140498,35731,20830,4392,1096,0,8376,13635,59781,3331,16548,130503,0,3798562,12319,458005,19301,651184,31225,2999,7556,0,13940,104496,85089,0,0,712
"Changwon",1484,0,0,149,0,1845,50537,541512,25004,2655,338,29907,179,146680,59240,411,298,0,0,135,18745,159673,21207,0,7832,2560,0,17893,185050,2,949,1075,0,509,0,1977,1761,0,78896,455,101382,8692,1138,721,93,976,80,1320,4240,10,495,14837,0,420802,4053,70281,139,0,234,0,0,0,0,9335,1045,0,0,318
"Cheonan",594,18183,69726,0,145935,1194,183890,28134,60323,6610,0,2401,1962,152528,477244,1730,0,0,0,0,31570,787,35224,0,40327,250,1299,330,423,130699,106,40763,1666,4015,3944,12633,25141,18469,7826,0,6224,21304,0,6443,7813,31264,5968,380,40349,0,0,149397,36151,2803062,24087,80827,0,5941,0,0,0,30,171,20843,2440,12809,117818,0
"Choongju",10,79,0,0,360,846,15466,1495,7889,32222,15,599,91182,4466,68304,1414,255,2,0,63,0,63,456,656,3838,0,403,0,118,82,230,632,47,918,44,172919,0,438,1070,6,90,2584,0,762,470,0,147,1108,1885,0,0,53342,78,28995,0,5374,0,995,0,120,0,193,617,553,2577,506,0,14
"Chuncheon",0,0,0,0,0,0,0,338,0,904,73802,0,1296,576,720,0,0,0,0,121850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,586,0,0,0,0,319,580,0,0,0,0,0,0,0,0,0,0,0,1996491,0,0,0,0,0,0,0,0,1440,0,700,0,0,0
"Chungdo",0,977,0,0,0,0,520332,36048,3374,0,0,88448,0,354248,16250,0,44,0,0,0,23069,1871,81764,0,0,0,0,0,776,0,0,0,0,0,0,683,844,0,3223,0,64690,0,1991,0,0,0,383,0,2051,0,1974,2762,0,60509,0,10475,0,4,0,0,445,0,22,2402,284,29,0,0
"Chungju",4,0,0,0,0,0,554,899,2632,97353,0,0,35089,242,18399,3369,0,0,360,0,0,0,0,0,24,0,1108,0,0,0,0,0,0,1728,1080,339137,0,0,0,3,144,4449,0,0,0,0,0,0,938,0,0,25865,0,35778,0,6893,0,2,0,0,0,1080,0,0,3514,73,0,7
"Daegu",116910,9510,0,11015,0,0,3576444,159292,159656,0,0,347361,0,5721,641550,15155,6596,51871,53988,0,732353,14573,1339270,540,402,0,57601,1,3763,0,0,196,0,0,0,30129,664,0,14814,0,418265,2,24529,0,0,0,10110,24333,73746,8818,19547,76609,0,2889045,0,426236,38193,29292,12097,1362,5970,0,154238,105844,149964,977,0,0
"Daejeon",0,17566,0,0,0,2814,924979,66042,516285,68761,0,11750,18545,647480,50438,2376,1191,0,591,0,204989,2478,213929,3024,71213,713,15199,538,1030,0,207,145181,2455,0,11618,154724,68739,28400,15942,0,27648,61289,0,11169,16465,316390,255906,537,138575,0,0,368852,0,3339218,54658,662448,0,25805,556,0,0,2304,2703,408508,52,36251,0,0
"Donghae",9056,0,243,7453,0,0,5630,489,398,515,0,0,2986,15563,597,2617,0,1735,78909,0,1953,0,1411,0,0,0,1167,0,0,0,0,0,0,0,0,31090,0,0,0,33346,0,0,330,0,0,543,0,0,0,72681,788,0,0,129601,0,0,47492,4193,8503,1531,0,0,2248,605,37085,0,313,12142
"Euijungbu",0,0,0,1315,240,0,0,370,0,1080,0,0,0,2998,144,0,2730672,419,0,0,357,0,746,517,2,0,896,0,0,0,0,603,0,0,723,29,1505,0,72,0,72,0,0,0,0,307,0,688,0,0,0,216,0,7827,322,0,461,0,0,0,0,1360553,1368,98,89,0,0,0
