"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",167221,0,0,2828,0,0,67900,0,0,20,0,0,20,94790,0,5956,0,54312,8087,0,9,0,9,0,0,0,32571,0,0,0,0,0,0,0,0,59601,0,0,0,175,0,0,5,0,0,0,0,342,0,3487,3,0,0,305674,0,0,24450,48126,27228,1667,33,335,29270,0,146325,0,0,230
"Anyang",0,0,3359,0,2474,0,5477,0,11703,0,0,49,0,7868,13859,0,0,0,0,0,3125,0,2073,0,1946,1073,0,0,0,2663,0,4360,0,0,52,0,3797,34096,0,0,536,1839,0,1254,0,3215,0,0,13143,0,0,7152,1422,938,0,1090,0,0,0,24,0,0,0,1479,0,0,1401,0
"Asan",0,261,78178,0,47616,0,741,0,55160,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38671,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7011,0,0,1,26381,292994,0,28261,0,0,0,0,0,0,0,0,0,0,106672,0
"Bonghwa",3763,0,0,158534,0,0,10744,0,0,28,0,0,3,8448,5,9479,0,1553,7532,0,38,0,10,0,0,0,2720,0,0,0,0,0,0,0,0,1412,0,0,0,4335,0,0,47,0,0,0,0,6,0,11141,33,2,0,22151,0,0,84979,6100,374,125,62,0,1190,0,89414,0,0,417
"Boryeong",0,1639,67701,0,82618,0,0,0,100716,0,0,0,1200,12,1326,0,1080,0,0,0,0,0,1,0,0,0,0,0,0,107884,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20122,0,0,2,183114,451825,0,87034,0,0,0,0,0,0,0,0,0,17,32762,0
"Bosung",0,0,0,0,0,517624,19854,2819,1528,0,0,0,0,123,2955,0,0,0,0,0,0,183,0,0,337732,3385,13,3895,117,0,119244,2968,7,0,413,66,2033,54,2298,0,769,2832,0,1751,251,1094,0,0,1796,0,0,1373,0,84393,89535,7813,0,4,0,0,0,0,0,0,0,30436,0,0
"Busan",78326,2795,15137,9555,0,19665,1570675,64018,137078,196,1320,422365,0,2608418,543370,5792,8416,29004,6945,0,259045,115868,296802,42,23567,6147,139770,17589,35201,0,3349,1017,341,600,0,55801,3429,1113,34904,87,2070201,30359,16246,4135,4,150,8360,22719,32422,3304,12475,87939,0,2530572,16077,263044,19936,517165,28815,3929,2,0,17912,94138,82345,1,0,126
"Changwon",78,6,0,0,0,2889,53632,548471,17486,0,0,21722,0,68869,30357,0,563,0,0,0,14437,155873,17009,0,9300,5002,0,25925,336323,0,587,1023,34,0,0,0,0,799,91804,0,115798,8386,0,985,667,59,661,3480,20,0,0,10804,0,206061,10387,33518,0,0,0,0,0,0,0,7036,0,763,0,0
"Cheonan",2,6743,53928,0,121430,547,137357,17060,59024,4085,0,742,374,134406,279473,0,0,0,0,42,29703,463,26475,0,29978,87,1189,199,176,92263,35,34802,1092,1330,2974,5968,20436,10414,3804,1,5903,14003,0,6195,4668,21224,2317,0,26558,0,0,102832,28549,1266537,14460,51582,0,0,0,0,0,0,0,17606,2,7397,98006,0
"Choongju",204,0,0,2,0,0,26,0,4249,57082,0,0,116751,2,17132,0,2640,39,0,0,0,0,0,0,2,0,87,0,0,0,0,2,0,0,0,176275,0,0,0,1301,0,28,0,0,0,1,0,0,1829,0,0,44602,0,8793,0,5819,24,339,79,18,0,2520,2,0,1075,12,0,766
