"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",206,119,7415,445,33,11900,999,135,0,420,219,0,13775,0,5726,0,3829,0,20892,0,5223,0,0,191,0,0,0,240,85,0,0,9249,8907,0,12,29,0,178,0,0,0,0,21770,0,0,0,265,504,0,0,0,0,0,2,0,676,14,540,0,0,143,68920,0,94,3928,14195,13342,4033,0,0,6499,0,91832,0,126,0
"Asan",115,3247,0,41313,0,203,0,47272,0,0,87,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11423,0,0,0,0,0,1,0,0,0,79338,0,8267,0,0,0,0,0,0,0,96,0,0,0,0,0,39,0,0,29395,0,0,0,12575,335653,0,110806,0,0,77,0,0,0,110,0,0,72,54312,0
"Bonghwa",7822,0,13447,0,0,2777,324,0,6,0,0,68,4369,1656,0,0,4747,17,356,0,3001,0,69,0,0,0,106,0,0,0,0,533,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,81,57,0,0,0,0,0,0,874,34,0,0,23992,0,0,8262,2439,46,300,25,0,509,0,16899,0,0,0
"Boryeong",356,36302,0,2611,237,0,0,124114,0,0,0,0,191,4910,167,0,0,0,0,0,0,121,0,0,0,0,200,14746,0,0,0,0,397,267,192,0,0,50267,0,65381,0,0,365,0,0,0,149,0,0,249,0,0,0,683,0,0,20841,0,0,0,16677,208943,0,83872,303,0,0,0,0,0,11,0,96,3,25252,0
"Bosung",33,0,0,237,12237,1309,591,1182,12,153,0,0,583,1580,21,0,105,0,0,0,883,0,0,115,355,0,0,0,39764,0,442,0,169,157,237,50,127,110,18756,1076,0,212,178,332,0,0,372,0,106,562,0,207,0,719,0,350,782,0,0,401,120,19837,26205,5340,60,13,0,0,0,0,0,0,33,0,1,0
"Busan",12151,203,3241,0,1506,660876,52093,437416,58083,0,0,83852,1835415,910821,2704,0,1837,0,5681,0,11938,0,67091,20017,0,47578,301120,0,406,800869,1181,269197,404126,0,7292,7775,117,99,252,0,0,216,6501,1097,0,0,29457,3186,848457,1121,13222,100,0,432,7649,22680,39399,696,21395,24228,0,4547546,10445,370938,6148,600730,5030,1701,5981,0,15922,31517,12757,113,156,0
"Changwon",628,0,324,0,962,55688,31543,14709,1063,935,333,3068,295324,89320,94,171,302,47,132,23,371,276,3739,20764,0,0,7665,345,830,125582,3053,1572,63931,0,20132,24194,78,0,517,0,0,0,1524,21,0,94,55514,221,170038,814,146,100,3,0,403,1540,6384,0,217,2487,0,509734,12098,12770,588,387,0,0,107,0,0,1792,830,970,0,252
"Cheonan",91,43718,0,122416,910,433852,25269,45920,6179,4128,127,7658,359535,1014511,0,0,163,0,0,876,47,137,24683,1843,12236,17500,58612,19863,57692,228837,7,40941,8463,20635,48,129,1996,192078,155,61958,1545,6989,6181,18811,18303,1053,292,1017,20016,30419,0,6191,6448,54739,16843,2301,85255,12,0,291595,22752,2500333,25098,624612,81,95410,539,56,0,0,974,20838,0,17614,183850,168
"Chilgok",0,0,8,0,0,52502,1935,6816,1348,0,0,0,526180,29905,0,0,34,0,0,0,249,0,31090,345,0,0,73021,0,0,0,20,0,80849,0,21,67,32,6,0,0,0,0,105,7,0,0,256,0,4472,0,2625,0,0,0,1548,0,5854,3,5061,3727,0,38357,106,15308,2,0,0,0,920,0,0,4710,1616,0,0,0
"Choongju",420,0,0,0,153,0,935,4050,0,2274,0,73821,0,76567,0,0,190,0,0,2210,359,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,30,0,0,7,0,222,66481,616,0,11426,0,94,0,354,0,32,38,1,0,0,860,6,0,28730,0,4799,47,1207,24,0,0,0,0,0,0,0,0,423,0,24
