"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",38,498,0,2647,141,0,35072,4543,2218,1542,0,38,2999,50042,344,8151,766,18180,12722,216,0,177,0,0,0,0,21688,284,0,0,0,550,0,360,0,55561,13,363,0,555,1068,0,0,0,0,0,0,0,1651,1624,0,142,0,296201,447,4906,12745,32218,109517,5641,0,0,25500,0,76600,135,0,0
"Anyang",42,1,9527,0,4133,0,4472,147,9231,0,0,720,0,6431,5147,0,0,0,0,0,1846,0,1848,0,274,0,4628,0,0,3747,0,687,223,0,264,41,1108,322,0,0,406,859,0,485,841,574,2,432,19564,0,0,4422,2342,6872,0,398,706,0,0,0,0,0,0,1705,0,962,3034,423
"Asan",11,1426,100,0,46440,0,127,120,20309,0,262,0,0,481,0,4,0,0,702,0,0,0,44,0,0,0,0,0,0,33300,0,0,0,0,140,718,0,0,0,76,21,55,220,243,81,0,0,0,8528,0,0,75,18052,379757,249,87283,0,0,0,0,0,215,0,0,120,0,18788,60
"Bonghwa",31,616,0,7612,0,0,6748,0,0,0,0,0,36,7910,0,4325,0,612,6123,0,31,0,110,0,0,0,1480,0,0,0,0,0,0,0,0,179,0,0,0,980,5,0,12,0,0,0,0,0,0,1613,25,0,0,10475,0,0,13949,4632,165,40,1,0,1623,0,25042,0,0,115
"Boryeong",11,1247,66798,0,3182,0,0,159,120353,557,0,1326,60,0,1339,235,0,0,135,0,0,0,225,0,0,0,147,0,0,18458,0,0,0,648,0,661,0,0,0,0,2,0,222,128,0,0,0,0,25546,169,0,159,57118,507463,0,122592,0,0,108,0,0,0,0,0,1907,0,41144,0
"Bosung",2,0,0,0,0,88396,13660,2656,1539,0,0,0,0,0,2819,0,0,0,709,0,0,1180,0,0,195600,1455,75,2255,287,0,25561,3243,0,0,567,0,2620,0,2909,0,1732,2482,0,2707,0,868,0,0,1382,532,0,823,0,56318,45225,11411,0,696,0,0,0,0,0,0,0,3434,0,0
"Busan",58,1911,127,6808,0,13405,2107038,84435,194913,183,2835,508432,132,2404192,692437,6491,3894,9681,24556,0,159169,44496,380164,290,11819,4427,159946,8915,17880,0,1642,1366,0,450,288,34117,1632,0,23665,1284,1320181,20318,25396,2083,84,4704,11401,42768,71819,1978,22168,105383,0,2770693,13756,517410,14905,217553,13776,2092,12823,0,12059,62950,44451,1227,230,0
"Changwon",76,81,120,0,159,2373,86533,154307,27172,32,0,39030,612,192174,56208,672,1416,1096,331,0,15083,30491,22426,0,5220,2382,1166,16178,77072,255,717,7,160,656,144,2855,457,0,49402,643,59141,5331,0,633,485,1119,831,1677,9447,1115,0,10417,10,281194,4722,74511,279,520,0,0,360,0,0,4979,1875,0,195,0
"Cheonan",26,6876,16757,0,163100,1345,200905,28152,12061,2474,257,8300,1060,139838,385524,786,374,0,1674,0,29455,1364,36849,0,35281,197,8396,270,488,129698,142,39283,1709,0,5143,8083,23228,27441,6135,421,7050,20517,72,5310,8545,39049,6658,3599,30106,61,0,89702,32075,1947532,21608,294352,0,10819,40,0,0,60,2117,15854,5397,12447,77784,226
"Choongju",19,41,0,0,559,0,1050,1137,2809,7568,0,0,83779,292,77337,1549,603,0,2913,0,347,65,0,0,660,0,340,0,10,225,0,141,0,392,19,70684,25,0,265,675,62,252,0,0,0,360,0,348,804,98,0,44575,42,16931,0,2720,14,270,0,0,0,0,0,0,4280,301,52,241
