"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",131371,0,0,2441,0,0,61652,330,337,18,0,0,6,91852,0,6108,0,45323,11643,0,12,0,0,0,0,0,30857,0,0,0,0,0,0,0,0,55490,0,0,0,58,0,0,13,0,0,0,0,126,0,3017,2,0,0,323347,0,408,21453,56492,25882,2242,22,360,26184,0,130621,0,0,45
"Anyang",0,0,2537,0,3398,0,7035,0,17564,0,0,691,0,11409,19643,0,0,0,0,1300,3970,0,2531,0,2150,0,0,0,0,4002,0,5387,0,0,761,0,5994,0,0,0,663,3502,0,2278,0,3648,187,0,13622,0,0,8388,2859,26,0,936,0,0,0,0,0,0,0,3554,0,0,4345,0
"Asan",0,883,53755,0,50107,0,3,0,47608,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38112,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7215,0,0,0,24555,318315,0,29229,0,0,0,0,0,0,0,0,0,0,77408,0
"Bonghwa",3051,0,0,142977,0,0,9691,321,0,16,0,0,2,7581,1,8970,0,1154,7900,0,9,0,5,0,0,0,2311,0,0,0,0,0,0,0,0,976,0,0,0,3418,0,0,16,0,0,0,0,8,0,9158,9,1,0,21960,0,0,69654,6791,312,77,16,0,980,0,73560,0,0,338
"Boryeong",0,2749,59032,0,51412,0,0,0,104057,0,0,0,2616,0,0,0,840,0,0,0,0,0,0,0,120,0,0,0,0,82871,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19566,0,0,0,183846,492449,0,106136,0,0,0,0,0,0,0,0,0,0,51858,0
"Bosung",0,0,0,0,0,442771,16229,2588,1798,0,0,0,0,0,2727,0,0,0,0,0,0,154,0,2,326957,3069,0,4446,74,0,108006,2989,0,0,364,0,2141,8,1721,0,579,2267,0,2325,61,1438,0,0,2064,0,0,1173,0,81945,88142,9022,0,3,0,0,0,0,0,0,0,23771,0,0
"Busan",60518,4311,7488,9470,0,16472,1311740,53846,175036,492,690,437026,0,3157068,708921,6159,6460,21875,10616,0,251892,112515,395957,15,26082,5875,129903,14810,26049,0,3278,780,338,0,1,60487,2161,79,29727,13,2175694,34021,18290,4637,0,155,113570,19090,39574,3461,13566,107075,0,3155907,15086,354229,21359,618624,34985,2713,0,144,15723,104151,84915,0,0,13
"Changwon",330,4,0,321,0,2838,43322,575023,22644,300,0,24860,0,101561,42303,0,360,461,0,0,17947,153860,24686,0,9879,4026,263,24752,285957,0,651,854,17,0,0,430,0,705,86665,0,118649,10104,504,1020,860,130,33,2640,497,0,0,13842,0,264852,8631,49276,67,0,0,0,0,0,0,7765,1568,63,0,0
"Cheonan",337,8084,39061,0,126971,756,173767,22958,56542,4533,0,1369,1028,162093,290812,0,0,0,0,0,31320,514,38310,0,36126,156,1262,273,273,93915,80,41617,1388,500,3241,9280,25063,13826,5216,448,6341,21241,0,6341,6181,24471,3076,0,19024,0,0,95874,32962,1476158,19054,32014,0,0,1545,0,0,0,72,20786,396,10364,78228,320
"Choongju",199,0,0,0,0,0,19,1,5191,31611,0,0,88775,591,26256,0,0,45,0,120,0,0,1,0,864,0,34,0,0,0,0,0,0,0,0,150393,0,360,0,1028,0,840,0,0,0,0,0,0,1944,0,0,62134,0,11877,0,3789,20,222,11,0,0,0,16,0,1370,0,0,493
