"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",272516,0,0,4098,0,0,80805,203,0,17,522,0,880,70795,53,5894,0,85061,11664,0,39,0,31,0,1140,0,38769,0,0,0,0,840,0,119,0,60425,0,30,0,108,0,0,20,0,0,2200,0,514,0,4166,52,20,0,278747,0,0,34233,46501,25070,1549,68,297,39817,0,201705,0,0,176
"Anyang",0,0,1282,0,0,0,0,0,5279,0,0,0,0,0,0,0,0,0,831,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21674,0,0,0,0,4260,0,916,0,0,0,0,0,0,0,0,0,0,3,0
"Asan",0,0,154835,0,43403,0,6199,0,96089,2,0,0,0,2,34,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,57209,0,971,0,506,0,0,0,71,0,0,2,0,0,0,0,10,0,0,27124,0,0,116,24671,199470,0,29942,0,0,0,0,0,0,0,0,0,0,176765,0
"Bonghwa",5907,0,0,201063,0,0,12696,0,0,21,0,0,5,8949,8,11551,0,1783,7938,0,156,0,56,0,0,0,3360,0,0,0,0,0,0,0,0,2015,0,0,0,3825,0,0,231,0,0,0,0,4,0,13234,93,0,0,24148,0,0,138783,5585,650,114,130,0,1658,0,124567,0,0,407
"Boryeong",0,0,54446,0,136310,0,1,0,102419,0,0,0,1781,30,454,0,200,0,0,0,1,0,0,0,20,0,0,0,0,191004,0,0,0,255,0,0,0,0,0,0,40,0,0,0,0,0,0,0,21845,0,0,1,284649,375662,0,61581,0,0,0,0,0,0,0,0,0,0,50638,0
"Bosung",0,0,0,0,0,621164,36930,4159,1937,0,0,0,0,30,1710,0,0,0,0,0,0,228,0,1,338325,6051,0,4726,86,0,132329,3143,7,0,223,0,1187,31,3403,0,1142,3435,0,2098,194,398,0,1,3,0,0,922,0,55258,129262,4579,0,0,0,0,0,0,0,0,0,37845,0,0
"Busan",89393,2,18168,10115,0,34415,1980933,106778,133828,321,940,435787,333,2130041,424160,5822,5104,36349,40432,0,253793,156463,243658,165,22178,9944,185711,28276,50608,0,3706,2375,251,1258,1,39085,7774,1113,53573,15,2351749,33508,14096,5292,7,1576,9449,30562,25078,3130,12011,101714,0,2234024,22497,171557,20371,611371,31580,2830,32,0,23365,111604,82378,4,0,29
"Changwon",720,25,0,0,2,3443,100827,914320,14522,0,799,20013,0,38928,24248,0,3432,294,0,0,13865,209627,10841,0,10759,4454,1,29159,387914,0,763,1333,90,0,1,0,0,1640,103769,0,147287,8027,0,1111,174,4718,20,3284,205,0,0,9739,0,156659,12289,19862,0,21,64,0,0,831,0,6580,0,32,0,0
"Cheonan",0,5753,100810,0,108604,137,121055,13031,126832,3214,62,100,730,114927,257969,0,990,0,0,0,26524,0,21463,0,31802,0,632,0,0,114153,1,38785,1081,1998,3290,4931,20937,10267,3095,3,7841,16403,2,7992,5491,25104,1656,4,97812,0,0,162578,30779,967289,13067,115534,0,0,0,0,60,0,0,15403,0,6761,180029,0
"Choongju",279,0,0,5,0,0,71,0,3434,69319,0,0,115112,27,4387,2,0,39,4,0,4,0,0,0,0,0,82,0,0,0,0,0,0,0,0,209882,12,0,0,2777,0,55,0,1,0,1,4,1,1694,6,0,46491,0,6927,0,4054,42,724,0,0,0,0,13,0,822,0,0,1765
"Chuncheon",120,0,0,0,0,0,23,0,0,0,476727,0,0,25,1,0,22069,0,0,322397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,667,0,0,0,20,0,0,21,60,0,0,237,0,0,0,0,1198053,0,42,0,0,0,0,0,5017,0,81,0,20,0,0
"Chungdo",1,12,0,0,0,2,439801,26380,1141,0,0,132873,0,320602,5120,0,520,2,565,0,6729,4507,30436,0,27,5,1011,2,32,0,0,57,0,0,40,4,73,6,880,0,114265,26,577,2,1,88,532,6,646,0,783,992,0,35009,1,3604,0,12,1,0,8,0,320,1676,54,0,0,0
"Chungju",1445,1,0,1,1740,0,1008,387,1505,124988,75,0,74295,367,1108,0,3,11,122,0,1,0,1028,0,1119,0,3,0,0,141,0,64,3,202,0,237030,38,720,0,1457,240,288,0,1,0,30,2,1,920,3,0,42511,0,34250,1,4280,89,20,0,0,0,0,445,0,294,4,0,1508
"Daegu",66397,0,0,5806,51,0,2011737,37841,104264,1,658,300873,100,516,320744,3666,5683,76654,30153,0,334624,9827,1663107,62,2088,213,102843,159,2051,41,0,1131,0,0,248,21765,1420,1931,4327,0,403561,215,96583,51,0,5363,13070,66656,30430,3766,61127,66123,0,1503271,585,192113,23729,12776,12220,507,46974,2417,360656,105495,95523,0,0,0
