"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Dongduchun",525,0,0,0,0,0,59,0,0,0,0,0,0,0,0,2405,0,391461,15,0,0,0,0,0,4,0,0,238,0,0,0,0,0,0,0,0,0,0,303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,85207,0,0,0,0,0,0
"Donghae",3566,0,3361,0,0,1998,0,331,45,525,0,932,5941,365,57,0,280,0,664,281,36544,0,162,0,11,0,390,0,267,0,0,428,428,0,0,0,0,0,58,0,4,9297,23,0,170,0,719,86,0,109,0,0,26,0,336,0,17682,157,137,0,23398,319,0,19156,1195,1859,910,100,0,647,0,8956,0,0,3939
"Euijungbu",0,0,0,0,0,9,114,0,0,0,0,0,0,0,0,214359,0,419810,0,0,0,0,25,0,551,0,0,0,0,0,0,83,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1535219,0,0,0,0,0,0
"Euisung",7703,0,426,0,0,6002,425,0,0,0,0,0,17709,0,17,16,610,0,1921,0,918,0,0,0,0,0,0,0,0,0,0,4000,5051,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,1859,0,0,648,5761,62,39,0,0,6459,0,2770,0,0,0
"Eumsung",107,0,0,0,0,0,0,493,0,2031,0,4447,0,10446,112,0,281,0,0,31,314,0,345,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,171,0,9,8700,6,0,210,0,57,0,293,0,0,102,16,0,0,164,10,0,5225,0,948,0,263,99,0,0,0,0,0,0,0,307,0,0,34
"Gangneung",5806,42,3583,68,0,8567,936,260,175,1545,0,2492,10697,2053,76,0,37321,0,872,350,42598,0,907,153,150,0,1370,0,1165,0,2065,1805,400,0,20,0,59,11,938,0,59,11193,235,279,441,795,1132,306,0,549,0,0,419,4,264,0,18576,619,906,63,59983,384,643,38820,4274,3222,1653,260,0,1635,50,10442,175,0,2390
"Gapyeong",0,0,0,0,0,0,0,0,0,0,70675,0,0,0,0,0,0,0,0,0,0,6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,663768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gimcheon",0,0,36,0,0,89299,7509,27159,23332,354,0,0,415521,151757,0,0,304,63,0,345,1150,0,58,689,0,0,93273,0,297,0,0,1312,38105,0,138,0,0,0,0,0,0,0,1,0,0,872,0,4858,0,8421,0,0,0,7380,1338,10155,11,10724,13579,0,175003,0,56703,356,2591,0,0,3571,0,466,23361,6130,0,0,0
"Gimhae",147,0,0,0,162,40180,10325,1020,432,0,0,0,29555,2267,73,0,0,0,0,0,156,0,471,698,0,0,1900,0,79,0,154,0,6268,591,2589,24,0,37,0,0,0,0,0,0,0,6268,0,18883,115,0,36,0,0,94,0,507,16,0,632,0,6897,372,3610,0,0,0,0,0,0,0,152,88,0,0,0
"Gimje",0,0,0,0,505,0,0,13720,0,81,0,12,0,30226,0,4,9,551,0,3,163,0,0,0,4427,659,0,0,32646,7156,0,0,0,0,0,1185,0,164,32542,0,7694,10,22301,0,2,0,0,0,10940,0,2817,0,7935,0,0,6459,1,0,3968,0,124123,393,34232,25,0,0,0,0,68,0,0,0,0,0,2
"Goyang",0,0,0,0,0,46957,0,9174,0,0,0,0,55198,37837,0,0,0,0,0,0,0,0,0,0,717,34031,0,0,8970,227,0,0,0,0,0,0,0,0,7723,0,922,0,2490,0,0,0,0,99,5627,0,743,0,721,0,0,0,0,0,0,0,840146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gumi",0,0,30,0,0,283919,12491,47956,31759,0,0,0,1041066,221624,0,0,413,0,0,0,1706,0,82491,1658,0,0,70,0,0,0,0,3400,123118,0,293,0,0,0,0,0,0,0,0,0,0,1594,0,15525,0,7216,0,0,7,5907,2866,17657,75,11244,14639,0,316987,0,137543,297,6980,0,0,4310,0,2848,20676,4561,0,0,0
"Gunsan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,145,0,0,0,0,0,0,20860,0,0,0,0,0,0,0,0,0,0,169588,1067,0,383,0,41829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,193,0,0,0,0,0,0,0,0,0,0
"Gwangju",0,0,0,0,57276,1225,517,35212,0,478,287,236,1,101905,0,0,34,0,0,2,2452,0,297,44,32286,11370,0,0,3502,138679,195,0,0,695,56,33081,0,5051,100270,0,11897,108,26229,0,6,227,14,36,283487,0,5662,0,29247,0,0,12426,23,0,10536,0,958936,6447,64412,614,0,0,0,0,0,0,0,71,2775,0,41
"Gwangmyung",0,0,0,0,0,688383,0,105114,0,0,0,0,659531,393942,0,0,0,0,0,0,0,0,0,0,6926,443,0,0,155685,9,0,0,0,0,0,89,0,0,65667,0,8229,0,20598,0,0,0,0,55620,44767,0,10682,0,9762,0,0,0,0,0,0,0,21470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gwangyang",0,0,0,0,1231,1119,1470,291,0,0,185,306,0,262,0,0,0,0,0,0,2098,0,0,131,0,0,0,0,240,0,364,0,0,1496,313,121,0,460,159,8,0,0,0,294,0,4123,0,91,503,0,125,31,37,0,0,213,0,0,84,0,5980,1927,1171,0,0,0,0,0,0,0,0,0,0,0,0
"Gyeongju",12601,0,1371,0,0,50976,0,3563,166,0,0,0,207413,6283,165,0,448,83,4599,0,1968,0,1877,0,0,0,3053,0,0,0,0,22472,24471,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,8,13,122243,2273,149,0,249,0,37940,0,15718,1961,60147,769,234,0,0,29014,133,5686,0,0,0
"Gyeongsan",7578,0,1058,0,0,397303,66050,7835,84675,0,0,0,453649,24806,36,0,452,0,5544,0,459,0,38310,6736,0,0,128054,0,0,0,0,27673,64676,0,1439,0,0,0,0,0,0,125,54,0,0,6059,0,70630,0,3239,0,0,99,1226,34301,5582,305,4989,6128,0,51448,0,25600,1065,7200,0,0,1013,0,3594,3289,4328,0,0,0
"Hadong",0,0,0,0,475,6471,8878,139,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,635,0,0,0,0,753,0,1193,0,0,2498,762,167,0,100,90,1,0,0,190,99,0,40746,0,155,210,0,238,9,15,0,0,97,0,0,36,0,2256,5273,511,0,0,0,0,253,0,0,0,122,0,0,0
"Haman",0,0,0,0,94,7180,41728,337,95,0,0,0,6250,519,20,0,0,0,0,0,21,0,140,2829,0,0,385,0,77,0,309,0,1767,813,1922,8,0,46,0,0,0,0,0,0,0,21891,0,4694,109,0,7,0,0,38,0,270,0,0,207,0,3594,726,1363,0,0,0,0,0,0,0,58,0,0,0,0
"Hampyeong",0,0,0,0,474,375,131,2308,0,0,0,0,0,4929,0,0,0,0,0,0,0,0,0,24,1212,6,0,0,26974,123,102,0,0,175,8,622,0,1064,3945,0,1493,0,2444,0,0,48,0,10,12165,0,1491,0,1415,0,0,1203,0,0,807,0,31549,1021,9561,0,0,0,0,0,0,0,0,0,257,0,0
"Hongsung",0,59505,0,39777,0,40,61,160713,0,0,81,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,1,16535,0,0,0,20250,235511,0,72324,134,0,264,0,0,0,0,0,0,5,21321,0
"Hwasoon",0,0,0,0,30969,732,455,292,0,0,0,0,0,304,0,0,0,0,0,0,11,0,0,38,160,0,0,0,3962,0,224,0,0,69,35,1017,0,1559,385,0,79,0,126,0,0,88,0,15,6284,0,459,0,201,0,0,148,0,0,106,0,3777,5008,923,0,0,0,0,0,0,0,0,0,1231,0,0
"Iksan",68,0,0,0,1208,0,0,68708,0,273,58,31,0,179634,0,303,34,0,0,133,1352,0,0,0,33010,8396,0,124052,100624,68264,243,0,72,109,0,4216,0,373,2774,15212,19742,260,131072,156609,21,1013,10,0,41957,0,9067,39397,42929,0,0,29521,16,0,22510,0,688563,86392,112609,341,114,0,0,0,0,0,0,398,55857,0,12
"Imsil",0,0,0,0,0,0,0,2138,0,186,0,0,0,2654,0,0,0,260,0,0,0,0,0,0,0,0,0,620,0,0,1,0,0,1,0,0,0,0,15700,145,0,0,0,12720,0,59,0,0,24,0,0,629,624,0,0,1299,0,0,673,0,19308,5646,5849,0,0,0,0,0,0,0,0,11,4305,0,0
"Jangsung",0,0,0,0,461,0,0,5041,0,6,54,182,72,16883,0,2,2,0,0,0,76,0,0,0,7984,948,0,0,10080,8831,0,0,289,0,0,1817,0,46,20211,0,854,16,4757,0,4,0,0,0,12710,0,3418,0,5314,0,0,2107,0,0,2170,0,86535,158,14900,10,0,0,0,0,2,0,0,0,0,0,2
"Jecheon",21387,0,105,0,0,5918,483,5230,0,42485,0,115345,1021,72544,6272,0,8918,0,260,8054,13363,0,0,0,49,0,0,383,186,0,0,580,143,0,0,0,0,0,347,0,25,100,868,0,11062,0,3543,192,0,0,0,0,312,0,0,1008,2991,0,40431,0,98628,0,2116,22966,2214,25478,8310,0,0,399,0,38516,0,0,8332
"Jeongeup",0,137,0,7,490,311,0,16951,0,229,0,25,852,46485,0,0,18,0,0,1,237,0,1,0,22065,3014,0,0,25440,19616,0,0,54,190,0,2400,61,106,123782,0,4532,848,40,0,2,169,0,0,16560,0,3337,0,10148,0,0,7492,0,0,5578,0,203280,417,40482,404,0,0,80,0,0,0,0,0,0,58,0
"Jeongju",0,0,0,0,0,0,0,29564,0,28,175,0,0,36601,0,0,0,0,0,0,576,0,0,0,0,0,0,74071,0,0,311,0,0,124,0,0,0,0,151536,13902,0,0,0,10023,0,948,0,0,90,0,0,50629,16105,0,0,19079,0,0,10863,0,128181,99751,60634,60,0,0,0,106,0,0,0,530,77800,0,0
