"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",0,0,10250,0,0,12130,398,0,0,0,0,101,13873,193,5561,0,5321,10,30257,0,4716,0,0,0,0,0,0,0,0,0,0,10374,7600,0,0,0,0,0,0,0,0,0,23622,0,0,0,474,0,0,0,0,0,0,0,0,0,0,815,0,88,0,81488,0,0,3016,16043,17280,6590,0,0,8011,204,104195,0,0,0
"Asan",0,3237,0,42406,0,119,0,50832,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11374,400,0,0,0,0,0,0,0,0,84885,0,9266,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39255,0,0,0,13648,308301,0,114411,572,0,0,0,0,0,103,0,292,0,49596,0
"Bonghwa",9402,0,17941,0,0,4008,0,459,11,15,0,426,4246,832,68,0,6227,0,494,0,7044,0,70,0,0,338,71,0,0,0,0,713,838,0,0,0,0,0,0,0,0,0,1626,0,0,14,0,2072,10,0,20,0,0,0,0,206,0,1012,15,376,0,31192,0,383,108379,2340,41,0,31,0,1501,0,19165,0,0,76
"Boryeong",0,38691,0,3127,0,0,0,141792,0,0,0,0,0,3894,0,0,0,0,0,0,0,150,0,0,0,0,0,18883,429,0,0,0,0,258,0,0,0,51315,0,88114,0,0,0,0,0,0,173,0,0,192,0,0,0,720,0,0,24715,0,0,0,21126,189739,0,87909,183,0,0,0,0,0,216,0,0,0,25866,0
"Bosung",0,0,0,0,12873,2782,2014,916,0,0,0,0,0,2134,0,0,0,0,0,0,0,0,0,172,348,0,0,0,28187,0,421,280,0,121,309,63,99,0,12696,992,0,216,0,365,91,0,710,0,85,261,0,139,20,371,0,650,641,0,0,805,0,13770,29136,3923,0,0,0,0,0,0,0,0,0,0,0,0
"Busan",13229,119,3618,0,2662,979195,67058,441651,62402,0,272,141337,1964215,929615,3028,0,1810,0,5959,0,10706,14,64306,14391,0,78830,311613,392,1250,798254,2193,313004,474658,0,19202,7835,126,54,253,400,173,0,7397,175,0,0,23905,0,865251,1347,13557,150,0,0,7862,23646,40732,890,20801,23595,0,4588939,26193,436474,4815,836112,4636,2423,7859,0,17795,28381,14111,3576,123,0
"Changwon",398,0,0,0,1386,76386,49648,27825,1611,0,0,7578,331810,122032,0,0,295,0,0,0,334,72,4165,25711,0,1430,8600,390,496,160944,5416,1725,95859,0,26655,25766,56,412,94,0,0,0,503,0,0,0,112778,223,169088,1109,0,80,576,388,446,1187,5547,31,0,2203,0,582931,23138,10949,53,599,77,457,0,0,0,1653,670,1085,0,1
"Cheonan",0,51853,484,141114,814,439674,20603,59035,5808,4649,0,15536,361152,1032865,114,0,0,0,0,739,395,0,23049,1753,12918,30094,62221,25730,58810,273086,0,51985,9016,20791,0,492,1615,212562,148,63256,1483,7084,6286,17920,31467,1252,2770,414,16875,28987,0,6069,6805,56111,16276,1873,113402,0,0,321903,29707,2716922,30175,766075,1171,123925,0,0,0,251,1047,20143,201,21751,189012,3
"Chilgok",0,0,5,0,0,57737,2218,6159,804,90,0,164,594780,35272,7,0,10,0,0,21,180,0,38938,541,0,0,85737,0,0,0,0,0,76332,0,0,61,0,0,0,0,0,0,54,0,0,30,453,0,5115,0,2888,0,0,0,1871,3,5409,4,5128,4179,0,34310,0,15850,501,0,0,0,928,0,0,6588,1207,0,0,0
"Choongju",0,0,67,0,0,0,0,4120,48,1469,0,93826,273,79099,576,0,0,0,0,2872,3,0,254,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81376,0,415,20688,0,508,0,0,0,18,347,0,334,0,906,0,0,32423,0,9271,0,2418,9,0,0,0,0,0,0,475,1231,0,0,3
