"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",112931,0,0,2487,0,0,60630,1028,656,143,0,0,10,107186,875,6399,1507,47282,11184,0,7,0,1,0,0,0,34522,0,0,0,0,0,0,0,0,56403,0,0,0,73,0,0,5,0,0,0,0,333,0,2961,3,0,0,360131,0,0,21875,60309,30109,2366,18,0,24611,0,125930,388,0,37
"Anyang",0,0,3360,0,4004,0,7276,0,23572,495,0,854,0,11748,21202,0,0,0,0,120,4299,0,2738,0,2541,0,120,0,0,4949,0,5848,0,0,907,143,6812,0,0,0,720,4076,0,2544,0,3855,1234,0,20792,0,0,9370,3583,4809,0,1845,0,0,0,0,0,0,0,3646,0,0,5106,0
"Asan",0,1521,34778,0,50559,0,0,0,44792,0,757,0,0,0,25,0,0,0,0,302,0,0,0,43,0,0,577,0,0,44126,0,0,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,119,4859,414,0,0,24635,379108,0,29072,0,0,0,55,0,0,0,0,0,1,60459,0
"Bonghwa",3468,0,0,125483,0,0,10571,1066,83,6,0,0,10,8910,698,8510,0,1079,6732,0,4,0,1,0,0,0,2455,0,0,0,0,0,0,0,0,664,0,0,0,2454,0,0,9,0,0,0,0,2,0,7462,1,0,0,22049,0,0,65227,7474,326,85,6,0,1074,1,71274,0,0,259
"Boryeong",0,3472,63402,0,35626,0,0,0,101765,0,222,0,0,0,0,0,840,0,0,155,0,0,0,0,0,0,0,0,0,64615,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20573,0,0,0,189388,520471,0,114851,0,0,0,0,0,0,0,0,0,0,48577,0
"Bosung",0,0,0,0,0,318199,15180,2502,1950,0,0,0,0,1,2880,0,0,0,0,0,0,150,0,0,327148,3577,0,2313,70,0,82326,3776,0,0,511,0,2337,0,1648,0,482,2077,0,2141,12,1959,0,0,1985,0,0,1043,0,84663,65486,10275,0,3,0,0,0,0,0,0,0,10533,0,0
"Busan",61490,4828,1910,10198,0,14722,1800248,33927,174223,782,1932,439878,0,3375480,766172,5642,6275,20201,15978,30,254122,95544,422370,9,24582,5332,126746,12615,23650,0,2738,884,315,1053,0,63914,2035,53,25803,22,2121947,34046,18343,4345,0,960,7278,17260,47952,3855,13029,113351,0,3315262,14218,390580,23288,677181,37128,2705,1,144,13514,109295,89423,1,0,5
"Changwon",0,2,0,0,0,2403,33860,556023,25251,1008,0,24469,720,120263,48856,1,967,0,569,37,20848,132019,29266,0,8864,3112,1988,22622,229054,0,595,535,10,0,0,549,0,444,76863,0,110229,8757,0,959,1013,601,537,2280,2550,0,0,14439,0,295084,6565,59727,132,4,398,0,140,674,0,8678,0,584,0,430
"Cheonan",656,9409,34568,0,133728,774,174994,24490,49247,4938,744,1347,1215,157917,320611,0,116,625,863,99,30512,465,37865,0,38100,161,3830,241,247,97053,56,42813,1378,278,3234,9655,24885,15259,5366,0,6686,20317,262,6216,6540,26490,4712,0,17627,0,408,104417,34121,1787370,20776,28364,0,790,152,112,0,93,0,19009,2154,10419,66314,3
"Choongju",482,0,0,0,0,0,1623,60,5304,35899,151,0,80048,599,31062,0,0,27,2053,104,0,0,238,0,0,0,81,0,0,0,0,2,0,558,0,157476,0,0,0,887,111,840,0,0,0,84,0,0,1775,676,0,57383,0,16506,0,3616,7,602,10,29,0,0,17,0,3146,0,0,475
