"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",271,124,7022,296,0,13757,697,100,0,0,0,0,7423,0,5240,242,3370,129,9501,0,4607,97,0,105,0,0,0,0,0,0,0,9631,6775,0,0,25,0,115,0,5,0,0,18220,126,457,0,500,0,0,0,0,0,0,14,0,439,0,752,0,0,0,55707,0,134,4301,13203,12188,3327,0,0,6645,0,81227,0,171,0
"Asan",124,3213,0,38417,0,0,120,43921,0,0,0,0,0,81,0,0,52,0,0,0,0,0,0,0,0,0,0,10021,0,0,0,0,0,11,0,0,0,71658,0,6422,0,0,4,0,0,0,0,0,0,0,0,0,0,125,0,0,21218,0,0,0,12318,294008,25,94473,69,0,0,0,0,0,0,0,0,0,51330,0
"Bonghwa",7460,0,12237,0,0,2841,0,0,11,0,0,0,4096,601,0,76,4061,72,336,0,2993,285,87,0,0,0,87,0,0,0,0,674,692,0,0,0,0,0,0,270,0,0,497,0,0,0,0,0,6,0,29,0,0,0,0,0,0,927,38,0,0,25776,0,0,8085,2988,862,1158,14,0,520,0,14230,0,0,0
"Boryeong",296,33367,0,2531,0,0,1,110123,0,0,0,0,0,21327,0,0,0,0,25,0,0,0,0,0,0,112,0,12328,0,0,0,0,0,757,409,0,0,46315,0,52010,0,0,2,0,0,0,164,0,0,638,0,0,0,2702,0,212,19494,0,0,0,16962,199920,255,80736,245,0,296,27,0,0,193,0,30,0,21845,0
"Bosung",0,0,0,0,11487,1341,812,1171,0,0,0,0,2314,1495,0,0,0,0,0,0,0,0,0,93,385,0,0,0,41227,0,784,0,0,78,288,53,220,0,19590,1114,0,224,0,702,0,0,424,0,53,904,0,610,0,420,0,0,792,0,0,419,0,19875,24200,5689,0,0,0,0,0,0,0,0,0,1206,0,0
"Busan",14681,0,3574,0,1583,508200,32434,440857,55226,472,0,17090,1733755,932247,3069,0,1238,0,6525,0,9507,0,69693,27674,219,49531,246613,239,847,833257,1341,153155,377110,0,6361,6777,150,0,307,348,0,216,5536,328,767,0,27615,4868,814181,1234,14303,130,633,576,7146,14698,34088,592,21118,24478,0,4175896,8738,197795,9210,379971,4175,1513,6886,220,13386,29755,15207,0,0,0
"Changwon",697,120,0,1,1301,36040,5042,6165,1278,383,0,240,249953,13193,897,2,465,0,811,149,642,123,5708,12463,0,0,9520,452,270,5599,2367,634,76494,0,15878,19090,55,266,35,0,0,0,593,0,250,40,52532,5,318264,778,79,63,144,0,241,1558,6024,157,0,3551,0,62322,8499,26494,834,152,0,0,116,0,0,1473,1322,0,228,131
"Cheonan",44,40955,0,109876,1034,430340,6388,40107,5847,2960,0,2560,350519,897650,0,0,211,0,0,676,79,49,25061,746,11586,11881,46376,16412,50493,214360,8,9624,7280,16893,39,168,1792,163631,168,54010,1342,5309,5947,16623,16492,792,255,413,27782,28278,0,5505,6204,49656,14476,1991,82085,20,0,268522,21731,2220089,25511,572642,858,20034,529,68,0,17,1654,19782,0,15612,152740,217
"Chilgok",0,0,4,0,0,47778,1817,6413,339,0,0,0,491303,28454,0,0,101,0,0,0,615,0,29005,393,0,0,61197,0,0,0,17,586,74792,0,309,59,0,0,0,19,0,0,0,37,0,0,273,0,4369,0,2991,52,0,0,1273,0,5197,6,4499,3560,0,34505,74,14426,21,847,0,0,974,0,483,4111,955,0,0,0
"Choongju",0,0,0,0,0,472,383,3139,0,1939,0,55447,0,72010,0,0,792,0,0,1915,182,0,0,0,7,0,0,268,0,0,0,0,0,0,0,0,0,0,0,51,0,0,60886,549,4,9461,0,682,0,63,0,0,77,0,0,422,595,5,0,32847,0,5422,80,1309,29,0,0,0,0,0,0,0,0,4,0,16
