"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Chuncheon",0,0,0,0,0,1296,0,0,0,0,21584,0,0,1765,275,0,0,0,0,0,8,73175,0,0,18,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,1008,0,9,0,0,0,0,0,0,0,0,261,788,0,0,0,0,0,72,0,902075,2,0,0,0,385,0,0,0,0,0,0,0,0,0
"Chungju",0,0,0,0,0,17539,326,3539,0,54938,0,2651,5420,58486,0,0,180,0,0,8662,1132,0,0,18,32,748,53,0,541,8031,0,669,0,10,0,0,0,0,0,356,0,95,105163,112,0,4306,0,169,166,925,0,42,186,7,0,230,654,5,0,13965,0,50721,0,1970,166,2241,235,0,0,0,0,0,0,266,0,37
"Daegu",6830,0,4043,0,2314,1797928,239236,358115,494956,0,0,5187,34729,725900,37,0,4444,0,11634,0,13451,0,388914,39848,1626,45896,1212562,0,0,774152,98,167441,561474,0,1329,860,0,0,0,252,0,360,1078,731,0,0,2141,2529,227879,77,20154,0,0,432,9979,136406,49263,2184,33098,27737,0,3663589,2822,240472,8898,157590,0,0,6677,0,192500,40747,12611,0,0,448
"Daejeon",0,91,601,20883,1679,964838,13701,891808,25785,71522,7021,57509,751293,83290,0,144,143,72,0,18766,1374,296,143685,1819,31520,39423,212407,10917,109803,524225,14,23857,30778,43919,29,201,4105,2658,326,203740,2830,18531,90918,52425,41755,16667,170,60,61115,71887,0,9246,11908,286307,47247,4038,217667,16,0,414786,20902,3580667,52088,687593,6050,42639,904,0,0,216,4034,315674,124,36101,224,90
"Danyang",5030,0,1,0,0,3103,1109,0,0,0,275,0,37,0,0,82,423,54,171,0,3,87,0,0,0,1338,10,223,212,0,0,1016,2,0,0,0,10,0,0,0,0,0,7275,0,0,0,0,0,68,0,0,104,416,0,0,90,0,0,0,0,0,25852,0,345,0,2420,5664,1626,0,323,629,0,5478,0,0,0
"Dongduchun",324,0,76,0,0,0,2,0,0,0,0,0,0,144,0,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,215,130,0,0,0,0,435608,0,30,396,0,0,0
"Donghae",3374,52,3906,0,0,1192,562,773,106,806,0,693,4794,300,423,0,662,0,1282,107,64157,0,333,2,0,135,458,279,391,0,0,230,459,0,2,0,0,101,0,0,0,185,9597,164,0,93,49,10942,32,261,267,0,74,0,0,0,0,22934,342,121,0,22660,249,257,19303,695,1764,830,130,0,357,0,9082,169,46,3913
"Euijungbu",183,0,72,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,72,0,0,355,0,509,0,720,0,0,0,0,360,0,0,0,0
"Euisung",13276,0,329,25,0,6223,811,0,0,0,0,0,12393,0,169,0,1312,0,1645,0,705,0,0,0,0,0,0,0,0,0,0,3317,3796,0,0,0,0,0,0,0,0,0,359,0,0,0,65,0,0,0,0,0,0,0,0,45,0,188,0,0,0,3084,0,0,801,5567,373,168,0,0,4558,0,2812,0,0,0
"Eumsung",0,0,0,0,0,0,149,773,0,2207,0,8287,0,17983,0,0,51,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12286,0,0,920,0,47,0,27,0,0,37,0,0,49,225,3,0,6987,0,1234,0,515,23,0,0,0,0,0,0,0,0,78,0,30
"Gangneung",4514,0,2980,0,0,5446,735,360,88,166,0,587,9245,1139,3,0,61447,0,749,77,71000,0,333,77,0,0,699,0,1354,0,0,936,675,0,0,0,23,0,0,0,0,487,13131,65,7934,81,250,16930,173,514,596,25,39,0,0,0,128,18386,619,117,0,54552,0,238,28097,2331,4115,3484,163,0,884,0,9277,20,0,2817
"Gapyeong",97,0,285,0,0,0,123,49,0,0,79457,0,0,224,87,0,0,0,0,0,46,8556,0,0,39,0,0,311,379,0,517,0,0,0,0,0,0,0,0,0,0,81,0,75,517,0,0,0,0,14,0,0,594,0,0,0,0,0,0,31,0,645105,419,0,0,0,0,0,0,0,0,0,566,62,0,0
"Gimcheon",0,0,68,0,0,66239,5646,24288,26209,0,0,0,390099,134257,0,2,295,115,0,0,632,0,2,592,0,0,175507,0,0,5846,46,2972,34612,0,23,70,0,0,0,0,0,0,0,2,0,0,420,0,3980,39,8355,140,0,0,7274,1931,8837,5,14976,10500,0,169213,141,51326,55,5768,0,120,3894,0,1740,28716,6662,24,0,0
"Gimhae",105,0,0,0,87,28753,11747,847,247,0,0,17,39324,1738,0,0,0,0,0,0,33,0,659,455,0,0,1829,22,49,206,234,80,10092,0,1288,1788,6,0,13,0,0,0,0,0,0,0,6612,0,30993,140,14,13,42,0,32,137,353,0,0,535,0,5574,923,3309,70,62,0,0,0,0,0,137,89,0,0,0
"Gimje",0,0,0,0,385,219,0,10641,0,0,18,11,1626,30363,73,51,0,113,0,0,0,39,0,0,5745,764,0,0,30598,5895,0,299,0,1918,0,0,1018,0,98,38497,0,6412,154,21740,0,0,0,108,53,8012,0,2038,0,7147,0,0,5658,0,0,4542,0,105650,297,32234,0,0,0,0,0,0,0,0,423,170,0,152
"Goyang",0,0,0,112,0,64970,0,16242,0,0,0,933,52251,47147,1338,0,135,0,0,0,0,0,0,0,848,1,216,0,14013,1155,0,1195,0,569,0,0,3,0,0,10620,0,957,834,4038,0,0,0,135,950,7332,0,1173,0,3262,0,0,0,322,0,0,0,1709,82,0,4,1441,0,0,0,0,0,146,90,0,0,0
"Gumi",0,0,14,0,0,226063,10580,46319,61771,0,0,87,1183033,198034,10,0,387,0,0,0,961,0,163766,1745,0,281,71,0,0,26059,80,5291,137441,0,45,158,0,750,0,12,0,0,0,0,0,0,432,1378,14184,55,8583,234,0,144,5942,2366,17611,73,18632,10802,0,325529,438,113707,101,10036,0,0,4231,0,6246,22789,4113,0,0,2
"Gunsan",0,9062,0,11454,0,239,452,16167,0,275,0,0,0,9792,223,0,279,0,0,0,0,311,0,22,0,0,0,28,0,0,0,0,0,1466,237,69,0,7114,0,18211,0,0,786,0,0,0,358,129,588,0,0,0,0,3676,0,0,3982,21,0,0,1339,47253,0,24006,582,0,693,4,0,0,0,0,0,0,6746,320
"Gwangju",0,0,0,0,42970,1381,132,43251,0,0,379,445,0,104969,212,0,0,0,0,0,3175,0,0,41,32194,15067,0,0,1296,175931,230,0,0,8330,911,41,22679,0,3760,114038,0,13699,967,29348,0,0,1410,0,320,201669,0,4532,120,25369,0,0,14509,0,0,10996,0,906665,5937,63231,529,0,0,0,0,0,0,568,0,1078,0,0
"Gwangmyung",0,0,0,0,0,830501,4906,213770,0,0,0,7783,759231,509007,0,0,0,0,0,0,0,0,1633,54,6501,1013,11723,0,182822,0,0,14404,0,4339,0,0,109,0,0,85757,0,11582,0,26659,0,0,0,0,84737,62883,0,6370,0,7179,0,0,0,0,0,0,0,31187,0,0,0,34000,0,0,0,0,0,0,0,0,0,0
"Gwangyang",0,0,0,0,535,1290,2138,3,11,0,0,0,94,4,0,0,0,0,0,0,479,0,31,231,0,0,53,0,164,0,302,5,120,0,1448,289,67,0,164,0,0,0,0,0,0,0,4593,0,136,247,0,95,0,0,0,3,1,0,0,1,0,12,2874,1140,0,12,0,0,0,0,0,10,0,0,0,0
"Gyeongju",9466,0,883,0,0,142488,338,7108,34,0,0,1000,165930,22928,987,0,222,0,3358,0,1058,0,2698,48,299,568,4944,0,0,16728,9,5471,16055,0,19,12,0,0,0,85,0,0,1818,0,0,0,58,0,14,0,0,132,298,0,442,41077,1039,110,0,257,0,137284,203,22899,1570,106327,1385,399,0,0,26927,166,5501,0,0,0
"Gyeongsan",6107,0,761,0,0,366582,78902,7526,78460,0,0,0,577617,28081,2,0,440,0,4313,0,844,0,34380,10617,0,0,141791,0,0,0,171,17241,97058,0,549,388,0,0,0,0,0,0,0,33,0,0,2100,24,87700,2,3422,0,0,0,1293,16720,5588,183,5544,4393,0,44504,644,25398,860,13727,0,0,1149,0,2650,3176,3275,0,0,0
"Gyeryong",0,8,0,803,124,0,0,17130,0,0,0,22,0,38146,0,0,0,0,0,0,0,0,0,0,2007,710,0,1552,9152,5911,0,0,0,0,0,0,313,345,13,15188,149,1583,0,2800,4470,0,0,0,0,2822,0,561,626,14700,0,9,6927,0,0,7018,1284,101852,2508,20888,0,0,0,0,0,0,0,0,6,1687,64,0
"Hadong",0,0,0,409,272,5781,15509,30,10,0,0,0,2093,18,0,0,0,0,0,0,0,0,21,1114,0,0,34,237,687,0,1382,11,489,0,3663,1039,121,1,284,0,0,0,0,0,0,0,48068,0,570,575,7,202,0,0,6,45,27,0,0,7,135,143,6845,51,0,13,0,0,0,0,0,12,0,0,0,0
"Haman",25,0,0,0,97,6223,21368,225,59,0,0,0,1262,186,0,0,0,0,0,0,23,0,87,1704,0,0,163,69,60,0,311,18,403,0,1256,1741,14,0,26,0,0,0,0,0,0,0,16329,0,1172,154,37,9,0,0,45,105,133,0,0,108,0,1942,1007,813,7,35,0,0,0,0,0,27,97,0,0,0
"Hampyeong",0,0,0,0,192,158,63,1951,0,0,0,0,0,3951,10,0,0,0,0,0,31,0,0,13,923,1,0,0,20722,117,34,0,0,292,110,8,1051,0,233,3177,0,1189,153,1180,0,0,17,0,3,6352,0,1635,0,771,0,0,1185,0,0,726,0,23383,299,7760,279,0,0,0,0,0,0,14,0,0,0,0
"Hongsung",115,66383,0,49502,0,0,266,176166,0,0,0,0,0,2928,0,0,101,0,0,0,0,0,0,0,0,0,750,7051,0,0,0,0,0,298,1,0,0,1753,0,21574,0,0,0,0,0,0,34,0,0,0,0,0,0,1710,0,125,22051,0,0,0,10486,246928,220,85020,184,0,0,0,0,0,0,0,0,0,31320,0
"Hwasoon",0,0,0,0,17099,394,33,202,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,13,105,0,0,0,2842,0,123,0,0,17,268,25,261,0,324,334,0,187,0,233,0,0,338,0,34,1970,0,419,0,149,0,0,130,0,0,100,0,3239,4410,1057,0,0,0,0,0,0,0,0,0,1035,0,0
"Iksan",5,6645,270,50138,1140,0,0,52225,19,51,0,375,252,199729,0,0,0,0,0,0,62,0,0,0,38200,11596,12,19934,112804,87653,0,85,0,15846,0,0,3313,21093,323,3478,13308,19064,339,117356,119606,0,0,9,0,44858,0,8213,43760,56117,0,40,22833,0,0,21845,29787,546585,95653,92745,0,0,0,0,0,0,0,0,648,55874,10372,0
"Imsil",0,0,0,0,0,0,0,1427,0,0,0,0,0,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,12255,228,0,0,0,23158,0,0,0,0,0,0,0,1003,551,0,0,818,0,0,867,0,17640,7922,5239,0,0,0,161,0,0,0,0,0,5594,0,0
"Jangsung",0,0,0,0,295,0,0,4363,0,0,1017,129,0,20075,0,72,0,432,0,70,734,72,0,0,6823,1727,0,0,11157,13668,0,0,0,1639,0,0,1301,0,235,17752,0,1199,0,6651,0,364,0,0,0,8081,0,2517,255,5860,0,0,2510,0,0,3698,0,101325,191,14575,10,0,0,0,0,576,0,159,0,208,0,0
"Jecheon",17224,4,522,2,0,6071,643,7241,0,61571,0,108760,1078,87644,7386,0,9568,0,401,10511,16328,0,0,0,635,834,0,378,1390,0,0,1875,0,0,0,0,153,0,0,288,0,51,126,957,300,12594,0,35542,0,361,0,0,0,120,0,883,1680,3162,0,36620,0,118713,742,4147,16184,5568,37819,11903,0,775,739,0,39123,856,2,14353
"Jeongeup",126,0,0,0,726,328,0,16003,37,549,9,122,731,50937,228,0,164,0,0,0,141,75,2,0,21629,3626,0,0,28549,25735,0,0,33,2539,0,0,1213,0,202,115030,0,6254,729,3,0,0,0,517,0,15942,0,2864,0,8865,0,153,7224,20,0,5767,0,215764,224,36662,86,0,0,0,0,0,64,182,330,491,0,34
"Jeongju",457,0,0,0,0,860,250,15184,0,4,517,0,0,38357,0,0,0,0,0,0,7930,0,0,0,0,0,0,0,0,0,0,0,0,3296,0,0,0,0,0,114053,27384,0,300,0,3899,0,0,0,0,0,0,0,77494,18119,0,256,10437,0,0,11381,0,119709,113062,57225,0,520,0,0,0,0,0,0,0,74968,0,0
"Jeungpyung",0,0,0,0,0,0,40,1028,0,10055,0,3688,0,16128,0,0,52,0,0,1062,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13770,0,0,0,0,17,0,39,0,0,19,0,0,95,593,1,0,12986,0,3452,0,821,92,0,0,0,0,0,0,0,0,82,0,5
"Jinju",500,0,0,164,765,25694,51705,206,480,0,0,0,2256,95,212,0,0,0,65,0,255,0,207,5559,0,0,316,358,1368,0,4405,87,1772,0,47737,15606,39,34,332,0,0,0,50,0,0,0,21324,0,3482,882,287,43,0,0,15,317,213,0,16,68,171,944,12475,418,234,614,0,0,69,0,0,54,686,0,0,0
"Jungsun",0,0,0,0,0,4868,5,533,0,666,0,177,2529,62,0,29,10859,176,0,49,16796,0,0,0,108,135,1378,129,170,0,0,281,24,0,0,0,0,0,0,9,0,0,39574,542,0,17,0,16096,0,16,0,0,0,43,0,0,0,2162,0,164,0,83164,5,0,14234,7,26868,4883,0,0,1,0,1,112,0,16059
"Milyang",0,0,4,0,85,767175,306418,31541,5047,0,0,146,228047,59305,68,0,24,0,0,0,416,0,4803,30812,53,1284,16810,588,143,81853,143,22,82514,0,674,1360,5,0,30,0,0,0,0,0,0,0,4981,0,59903,74,569,2,23,0,366,43,2940,4,866,2284,0,406658,768,12565,82,85,0,0,222,21,0,2125,629,0,0,0
"Mokpo",0,0,0,638,859,1014,542,25757,0,55,14,474,77,71147,0,0,263,0,0,27,720,0,39,119,7790,6864,53,0,204000,59738,173,0,2,2212,545,124,7311,0,1960,44428,0,8162,305,15985,0,39,710,16,43,744,126,22746,0,8247,0,0,7907,75,287,5849,0,372927,1802,27495,341,0,0,0,125,0,0,174,228,0,0,27
"Munkyeong",0,0,6,0,0,14710,79,0,1265,0,0,0,23121,0,0,0,188,0,0,0,652,0,9684,14,0,0,8852,0,0,0,0,0,3665,0,7,37,0,0,0,0,0,0,0,0,0,0,287,0,566,126,0,0,0,0,0,97,86,4,2403,0,0,0,0,0,33,0,0,0,756,0,0,0,3746,0,0,0
"Naju",0,0,0,0,540,118,59,5155,52,0,0,22,0,9612,104,0,0,0,0,0,29,0,140,4,2195,1056,234,0,3219,8512,44,132,0,428,212,8,1311,0,536,8543,0,2605,0,3397,0,0,36,0,1,22621,0,127,0,2065,0,110,2287,0,0,1456,0,77068,582,13776,42,0,0,0,0,0,14,0,0,0,0,0
"Namwon",0,0,0,0,0,633,144,6410,0,77,778,186,0,11643,416,0,74,0,0,37,39,77,0,42,0,0,0,0,120,0,0,298,0,363,0,0,0,0,0,45710,945,255,0,0,67713,19,0,0,23,0,0,0,0,2549,0,0,3413,302,0,2521,0,56201,29208,21253,37,0,0,0,0,0,0,0,0,22345,0,0
"Nonsan",14,215,0,3299,389,488,0,48741,0,0,6188,5,480,264634,0,0,0,0,0,0,0,288,0,0,6872,2223,144,3662,27085,7356,0,0,192,12973,0,0,882,1536,114,51494,624,3940,120,8236,18743,0,0,43,0,9134,0,2023,2872,3191,0,81,16170,0,0,25736,2181,221652,11340,71570,0,0,0,0,0,0,0,0,389,6369,475,61
"Okchun",0,0,0,0,0,8098,269,15313,1200,0,0,0,11655,49868,0,0,0,0,0,0,0,0,6946,33,0,0,6108,0,0,0,0,437,1361,0,3,36,0,0,0,0,0,0,0,0,0,0,16,0,459,0,0,0,0,0,582,72,5460,0,0,8239,0,44831,7,17207,0,0,7,0,0,0,0,15502,7,15,0,0
"Pohang",439,0,0,212,0,11345,1430,1911,0,422,0,230,132038,3380,90,0,0,0,45,49,0,0,1759,82,0,0,2123,0,254,0,3,44799,15254,9,37,91,0,125,0,40,0,36,883,153,256,95,281,281,45,162,97,118,0,81,72,40,1219,0,166,50,159,13277,220,8371,730,6515,2176,0,84,1440,11657,2,220,0,54,0
"Pyeongtaek",14,21042,0,19945,762,35415,5064,66604,4446,669,0,560,48943,229451,0,0,0,0,0,270,0,0,9503,393,5456,0,18114,4505,13387,0,1,739,5277,6642,23,112,1288,21939,135,22151,763,2310,1463,7305,11397,553,193,0,2577,7990,86,2385,3475,16763,5157,1455,4538,0,195,76209,5366,1051109,13284,383286,0,1727,0,0,144,0,562,8401,0,7771,19110,0
"Samcheok",918,0,907,0,0,1591,119,18,27,12,0,6,3190,32,0,0,24042,0,106,0,19365,0,75,0,0,322,178,21,55,0,0,92,251,0,0,0,0,0,0,10,0,0,3117,69,0,1,0,2144,188,77,15,0,302,0,0,0,0,534,31,2,0,13523,0,0,2571,441,3233,298,9,0,110,0,1643,7,0,576
"Sangju",0,0,4,0,0,20884,0,0,1898,0,0,0,39902,0,0,0,293,0,0,0,664,0,18037,0,0,0,18870,0,0,0,0,0,6024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,287,2198,0,0,0,0,166,195,5,1668,0,0,0,0,0,23,0,0,0,1211,0,0,0,3648,0,0,0
"Sejong",0,0,0,0,508,27580,4359,259522,3833,25816,144,13356,34606,416357,0,0,56,72,0,6645,155,31,12194,612,4754,0,13735,0,12567,0,5,27,5019,6792,16,95,954,0,111,23456,784,4157,35951,6191,12176,12975,126,163,2435,6993,0,1671,2605,24840,9155,50,68059,4,0,2823,0,488848,11614,225286,235,145,68,0,0,0,11,10994,0,8112,0,15
"Seocheon",0,10660,0,16482,0,0,0,20986,0,0,0,0,0,20577,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,0,0,0,0,0,1223,135,0,0,10529,0,28649,0,0,0,0,0,0,171,0,0,0,0,0,0,2123,0,159,5141,0,0,0,469,94933,116,31846,168,0,0,0,0,0,159,0,0,0,8469,0
"Seoul",51226,275578,27619,202923,17602,4120160,62011,2258327,33954,4507,925359,47236,3559229,3497189,26293,0,24385,0,2597,1183,116208,741448,165056,5817,108135,4615,310022,48848,878302,25793,42,136117,46238,106824,198,1714,25237,259293,2638,514887,17738,89303,125568,204762,124111,3657,1210,78162,388064,361968,0,82856,56841,216370,49148,14024,1101994,10948,0,516655,100610,12902,228789,1909081,68078,181632,301722,164734,0,72,9610,124730,95178,115295,196659,24886
"Suncheon",0,25,0,255,22424,7111,6956,25016,51,80,2,0,1577,50491,0,138,418,355,0,0,1071,38,118,731,173,82,281,0,5765,0,3023,195,449,1606,6533,861,334,220,4533,105200,6061,133,418,176,107413,0,10476,5,642,2476,0,634,29368,9844,361,231,12414,7,0,9992,116,216187,61419,71608,987,433,425,0,0,165,70,22,0,103853,76,29
"Suwon",94,96057,0,80570,5087,189682,26667,551919,12767,1603,0,2486,231262,697110,345,215,257,0,0,540,0,0,50650,3135,32527,0,112339,24408,64963,0,17,21433,23807,21925,51,654,7751,84829,882,89429,5586,15135,2622,38490,59635,916,539,0,11800,27865,0,14091,21792,74743,17329,8478,306514,0,0,233453,32548,2028466,73603,10706,0,31415,2392,0,0,0,7023,37839,0,45711,63554,0
"Taebak",4199,69,6760,245,0,8784,716,356,487,25,8,159,9581,6077,0,87,19207,301,796,18,28796,46,110,70,0,4,183,582,1174,0,266,1479,845,0,0,7,279,184,0,0,0,10,16562,86,0,85,234,13345,76,341,63,42,37,0,0,578,158,2475,39,229,168,76208,1291,200,767,6008,20764,4010,25,130,2267,0,6164,219,139,6927
"Ulsan",13380,0,3034,0,0,390064,181,23226,88,0,0,1471,158225,39751,2557,0,635,0,5728,0,2268,0,5700,76,0,1319,9780,0,0,30058,18,115374,13954,0,394,33,0,0,0,0,0,0,5445,0,520,0,656,7,54,0,0,0,0,0,24,7495,2465,386,0,634,0,181849,123,30418,5840,10325,2849,743,0,0,19898,890,10090,0,0,0
"Wonju",11506,0,768,0,0,4458,0,216,0,0,385,235,0,904,5508,0,2003,720,295,0,6814,0,0,0,0,0,0,693,0,0,0,1327,0,0,0,0,0,296,0,0,0,0,40267,0,0,0,576,26390,0,0,0,0,0,0,7,2136,0,3081,0,68,0,293127,425,1584,20001,2171,1823,72689,0,304,1398,23,19665,0,0,11687
"Yangpyeong",3496,0,1191,0,0,1521,0,45,0,0,0,0,0,0,1620,0,849,0,165,0,4066,0,0,0,0,0,0,4,0,0,0,428,0,0,0,0,0,27,0,0,161,0,12016,0,0,0,0,4115,0,0,0,0,0,0,0,0,0,301,0,0,0,149076,0,0,2750,587,66936,54696,0,0,166,120,4989,0,0,1360
"Yechun",0,0,2,0,0,7465,116,0,604,0,0,0,7848,0,0,0,103,0,0,0,184,0,4020,0,0,0,4345,0,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,125,669,0,0,0,0,84,144,1,1087,0,0,0,0,0,4,0,0,0,70,0,0,0,1735,0,0,0
"Yeoncheon",63,0,0,0,0,220,0,17,0,0,0,0,0,216,260,557991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,775,0,0,0,0,0,21,0,0,0,0,0,0,1440,0,0,0,0,0,200,167,0,130,0,304,0,0,80084,0,0,21,0,0,55
"Yeongchun",6679,0,546,193,0,12575,0,1721,23,0,0,0,189582,3841,522,0,293,0,4758,0,837,0,1612,0,0,0,5401,0,0,0,0,26179,2856,0,0,0,0,0,0,0,0,0,613,64,0,0,0,1,0,0,0,14,0,0,0,12462,645,76,0,69,159,9559,70,6977,2205,19707,1381,160,0,128,0,69,2660,0,0,0
"Yeongdong",0,0,0,0,0,29559,1570,19946,3489,0,0,0,42670,307141,0,28,0,245,0,0,0,0,27307,166,0,146,22695,0,568,0,21,108,3523,0,13,25,14,0,0,0,0,159,0,182,0,0,77,0,1900,174,0,0,0,0,14366,2,8247,0,0,9889,0,117633,400,38261,0,848,23,0,0,0,32,7886,46,450,0,0
"Yeongju",80649,0,14782,30,0,14893,1459,0,670,0,0,0,13795,124,5605,396,8855,0,2762,0,10162,566,6712,89,423,90,4256,0,0,0,0,5435,3826,6,0,97,0,0,0,648,0,0,42159,330,0,0,283,1,510,228,3533,0,0,389,7,220,0,1545,3633,0,0,99596,0,0,7342,9283,19464,5233,2115,21,2799,46,7774,0,0,0
