"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Gumi",0,0,48,0,0,297872,13750,46526,34858,0,0,0,971423,210736,0,532,0,0,0,1804,0,76172,1648,0,0,182,0,0,0,0,3692,125198,0,0,341,0,0,0,0,0,0,0,3,0,0,2073,0,16678,0,7323,0,0,0,5293,3354,16594,130,10927,16496,0,356878,0,142452,182,6869,0,0,4864,0,2786,19990,5196,0,0,0
"Gunsan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,225,0,0,0,0,0,24424,0,0,0,0,0,0,0,0,0,0,0,158627,1280,0,0,0,41918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0
"Gwangju",0,0,0,0,65704,2072,593,35223,0,49,826,26,0,101546,0,2079,1366,0,13,2312,0,0,74,30794,8888,0,0,5879,112038,375,0,0,8598,570,71,33107,0,6644,97320,0,12076,110,25096,0,9,1808,13,86,278490,0,5606,0,29878,0,0,13271,17,0,11263,0,921352,7898,72638,2601,0,0,0,0,0,0,0,0,2600,266,26
"Gwangmyung",0,0,0,0,0,585254,0,75271,0,0,0,0,538644,306333,0,0,0,0,0,0,0,0,0,5611,296,0,0,126325,15,0,0,0,1589,0,0,0,0,0,53698,0,5516,0,16119,0,0,0,0,42161,37681,0,8538,0,8497,0,0,0,0,0,0,0,17633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gwangyang",0,0,0,0,1463,1185,1440,250,0,0,0,0,0,311,0,185,0,0,0,250,0,0,154,0,0,0,0,449,0,317,0,0,0,2278,287,128,0,451,142,13,0,0,0,251,0,3969,0,138,754,0,211,76,30,0,0,196,0,0,121,0,6197,1788,1214,0,0,0,0,0,0,0,0,0,0,0,0
"Gyeongju",15022,0,1078,0,0,56905,0,4084,183,0,0,0,208767,7011,198,1586,0,5202,0,1636,0,1913,0,0,0,4047,0,0,0,0,27836,24725,0,0,0,0,0,0,0,0,0,916,0,0,0,472,0,0,0,0,0,0,0,50,133253,2269,191,210,200,0,42763,0,16901,2516,63193,934,228,0,0,29631,283,7404,0,0,0
"Gyeongsan",7811,0,999,0,0,451904,65682,8592,84225,0,0,0,442371,28628,54,701,0,5963,0,590,0,41368,6695,501,0,130887,0,0,0,0,27900,59153,0,0,1317,0,0,0,46,0,0,240,128,0,0,6071,0,70403,0,3625,0,0,0,1347,36231,5422,304,5798,7130,0,60666,53,28013,1409,8712,0,0,1213,0,2923,3543,4650,0,0,0
"Gyeryong",0,0,0,0,193,0,0,12650,0,0,0,0,0,15143,0,0,0,0,0,0,0,0,0,1733,214,0,0,7660,610,0,0,0,7,0,0,305,0,29,9582,140,1496,0,1967,3132,0,0,0,0,2538,0,580,628,3389,0,0,4554,0,0,5047,0,87447,2497,16473,0,0,0,0,0,0,0,1018,0,1761,0,0
"Hadong",0,0,0,0,621,4426,11167,144,0,0,0,0,0,64,0,0,0,0,0,0,0,0,698,0,0,0,0,598,0,1619,0,0,0,2036,686,22,0,136,74,0,0,0,215,84,0,42804,0,230,190,0,24,15,0,0,0,61,0,0,29,0,2648,6514,568,0,0,0,0,0,0,0,0,0,0,0,0
"Haman",2,0,0,0,126,7730,46962,333,109,0,0,0,6979,553,0,38,0,0,0,0,0,161,2753,0,0,381,0,123,0,310,0,1513,0,734,2058,0,0,37,0,0,0,0,0,0,0,21009,0,3211,152,0,12,0,0,23,0,176,0,0,185,0,4214,632,1404,0,0,0,0,0,0,0,96,0,0,0,0
"Hampyeong",0,0,0,0,457,598,139,2344,0,243,0,0,0,5131,0,0,0,0,0,0,0,0,44,1370,0,0,0,26767,0,98,0,0,481,36,6,1074,0,1061,4271,0,1678,0,2021,0,0,94,0,12,12534,0,2158,0,1657,0,0,1165,0,0,827,0,31757,1255,9516,0,0,0,0,0,0,0,0,0,241,0,0
"Hongsung",21,59847,0,34937,0,0,0,161030,0,0,195,0,0,0,70,52,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18444,0,0,0,23722,247037,0,77631,70,0,238,13,0,0,0,0,0,0,20372,0
"Hwasoon",0,0,0,0,33771,975,159,319,0,0,0,0,0,375,0,0,0,0,0,0,0,0,38,129,0,0,0,4445,0,270,0,0,0,75,31,1015,0,1346,480,0,83,0,125,0,0,377,0,37,6073,0,547,0,268,0,0,139,0,0,152,0,3929,4444,1121,0,0,0,0,0,0,0,0,0,1433,0,0
"Iksan",0,0,271,0,1500,0,0,67825,0,75,78,49,182,172107,0,668,70,0,7,856,353,0,0,36964,6997,0,121852,98279,57205,183,432,46,9860,71,0,4631,0,335,3029,15428,20705,583,126742,136325,6,836,8,0,40828,0,9712,42008,42868,0,0,29331,16,0,25309,0,682767,83533,118683,178,0,0,0,0,0,664,0,0,53568,0,37
"Imsil",0,0,0,0,0,0,0,1742,0,0,0,0,0,2879,0,64,48,0,0,0,0,0,0,0,0,0,723,0,0,7,0,0,71,6,0,0,0,0,15574,216,0,0,0,12611,0,5,0,0,0,0,0,583,683,0,0,1183,0,0,692,0,20627,4901,6237,0,0,0,0,0,0,0,0,0,3670,0,0
"Jangsung",0,0,0,0,538,0,0,4776,0,21,6342,0,0,17372,0,44,17,0,0,43,144,0,0,7433,581,0,0,11438,5809,0,0,0,1837,0,0,1635,0,48,20944,0,1067,21,3903,0,10,0,0,0,12768,0,3486,0,6919,0,0,2330,0,0,2657,0,88919,167,16494,20,0,0,0,0,288,0,0,0,0,185,0
"Jecheon",23912,0,122,0,0,6827,0,5318,0,42461,0,122205,1508,73460,6709,10092,0,309,8577,14027,0,0,0,43,0,0,0,217,0,0,991,209,0,0,0,0,0,0,661,0,26,75,884,620,12277,0,4255,0,0,0,0,20,144,0,0,1144,3487,0,44723,0,110829,0,2272,25661,2853,24224,8665,0,0,484,0,39662,0,0,9485
"Jeongeup",0,0,0,0,494,1357,0,17748,0,394,6,21,1876,45333,136,61,106,0,195,132,0,15,0,20329,2347,0,0,25249,16250,0,0,629,1573,210,0,1940,0,127,123345,0,4201,868,70,0,0,280,0,20,17750,0,3355,0,10502,0,0,7704,2,0,5559,0,211411,933,43245,68,0,474,14,0,269,0,0,0,0,0,0
"Jeongju",0,0,262,0,0,0,0,33853,0,0,0,433,0,40027,0,130,0,0,0,0,0,0,0,0,0,0,62319,0,0,298,0,0,2124,91,0,0,0,0,144049,12232,0,620,0,11134,0,800,0,0,0,0,0,53205,15000,0,0,19554,0,0,13135,0,144983,100430,64940,0,0,0,0,0,0,0,0,0,75393,0,0
"Jeungpyung",116,0,0,0,0,0,0,954,0,7117,0,1263,0,8281,176,260,0,0,364,395,0,0,0,19,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,13118,0,0,0,0,10,0,0,0,0,0,12,0,0,231,12,0,11672,0,3012,0,811,140,0,0,0,0,0,51,0,272,0,0,39
"Jinju",0,0,0,0,1720,17903,48910,2160,496,0,0,0,10193,1065,0,683,0,0,0,0,0,1403,5211,0,0,1693,0,2697,0,4831,471,6566,0,42082,20206,95,0,356,762,23,0,0,280,893,0,14571,0,11400,1156,18,298,104,154,52,0,2421,0,16,2417,0,6650,9119,3404,0,436,0,0,0,0,0,152,0,0,0,0
"Jungsun",0,0,42,0,0,0,0,105,0,31,0,69,0,80,0,806,0,0,0,1119,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,15,0,0,5264,0,0,12,0,35395,0,0,0,0,0,0,0,0,0,162,0,11,0,19240,0,0,1915,0,5052,433,0,0,0,0,38,0,0,682
"Milyang",0,0,9,0,241,980296,112936,22160,7762,0,49,0,272648,49379,0,1105,62,0,0,474,0,6637,9966,0,0,21244,0,109,46312,138,0,71038,0,292,2516,18,0,24,0,0,0,0,20,0,0,10686,0,30747,131,1012,11,0,0,540,0,3719,20,1184,4348,0,326889,442,19457,47,0,0,0,406,0,0,2482,850,0,0,0
"Mokpo",0,0,0,0,2162,3901,1311,20931,0,0,0,0,0,69655,0,517,74,0,0,0,0,0,161,10636,4472,0,0,286794,35408,513,0,0,3069,169,89,10767,0,5756,41815,0,12706,0,17285,0,0,1065,0,68,2308,0,21888,0,13435,0,0,7719,0,0,7231,0,379627,5241,38677,0,0,0,0,0,36,0,0,0,1883,0,0
"Munkyeong",0,0,0,0,0,18655,0,0,1671,0,0,0,28717,0,0,58,0,0,0,570,0,10286,0,0,0,7901,0,0,0,0,0,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,915,0,0,0,0,0,0,401,0,9,858,0,0,0,0,0,56,0,0,0,353,0,0,0,3836,0,0,0
"Naju",0,0,0,0,1462,498,134,4967,0,0,0,0,0,9936,0,0,0,0,0,0,0,0,26,3443,592,0,0,4201,8828,124,0,0,1030,28,6,2657,0,415,9683,0,3412,0,3689,0,0,305,0,13,22738,0,89,0,3570,0,0,2385,0,0,1407,0,83638,1278,16295,0,0,0,0,0,0,0,0,0,534,0,0
"Namwon",0,0,0,0,0,0,0,7029,0,0,0,0,0,11378,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,431,0,0,0,0,0,46753,674,0,20,0,48561,0,50,0,0,0,0,0,4,3039,0,0,4170,0,0,2692,0,80505,22920,24617,0,0,0,0,0,0,0,0,0,22978,0,0
"Nonsan",0,0,0,0,752,0,38,50844,0,93,5409,14,288,189812,0,49,18523,0,0,99,2520,0,0,8976,704,0,0,30272,8212,80,0,432,3509,25,0,1407,0,211,40679,959,8009,43,11096,18034,5,143,0,0,12772,0,3071,4084,3160,0,0,14664,0,0,29805,0,258064,15388,75132,60,0,84,0,0,0,0,0,0,9416,0,7
"Okchun",0,0,0,0,0,9095,363,14901,1018,0,0,0,11306,44729,0,0,0,0,0,0,0,7986,46,0,0,6556,0,0,0,0,20,1431,0,0,51,0,0,0,0,0,0,0,0,0,0,23,0,478,0,0,0,0,0,519,0,3865,0,0,7063,0,40946,0,14808,0,6,0,0,0,0,0,5161,0,0,0,0
"Pohang",0,0,0,0,0,3031,0,4013,17,0,0,0,246366,5015,0,70,0,0,0,0,0,1742,0,0,0,2465,0,0,0,0,141525,35303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,362372,2262,0,0,16,0,30372,0,16202,0,1437,0,0,0,0,14404,15,0,0,0,0
