"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",149808,0,0,3197,0,0,64189,0,1236,67,0,0,13,93545,0,5908,0,51316,9499,0,18,0,3,0,0,0,31855,0,0,0,0,0,0,0,0,57935,0,0,0,94,0,0,9,0,0,0,0,159,0,3206,4,0,0,308050,0,0,22268,51254,26109,1856,25,0,28625,0,130293,0,0,91
"Anyang",0,0,1951,0,3242,0,6090,0,14106,0,0,503,0,9758,16599,0,0,0,0,0,3318,0,2124,0,1828,0,0,0,0,3297,0,4842,0,0,612,0,4896,2,0,0,500,2556,0,1876,0,2948,4,0,14192,0,0,7079,2066,17,0,924,0,0,0,0,0,0,0,2807,0,0,3266,0
"Asan",0,803,65964,0,47495,0,449,0,51443,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37384,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7638,0,0,7,24192,295031,0,27737,0,0,0,0,0,0,0,0,0,0,95802,0
"Bonghwa",3481,0,0,148895,0,0,10068,0,0,20,0,0,3,7787,3,8742,0,1400,6833,0,12,0,9,0,0,0,2352,0,0,0,0,0,0,0,0,1183,0,0,0,3919,0,1,44,0,0,0,0,1,0,10631,4,60,0,22638,0,0,72582,6130,381,126,12,0,1031,0,80309,0,0,410
"Boryeong",0,2344,53915,0,60996,0,0,1,104729,0,0,0,600,72,5,0,840,0,0,0,0,0,0,0,0,0,0,0,0,95150,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19496,0,0,0,169592,469267,0,90974,0,0,0,0,0,0,0,0,0,0,49529,0
"Bosung",0,0,0,0,0,465192,16466,2515,1887,0,0,0,0,10,2743,0,0,0,0,0,0,179,1,0,324951,3166,0,3904,112,0,108114,2874,2,0,368,0,1886,27,2280,0,690,2506,0,1911,119,1185,0,0,1700,0,0,1212,0,78664,88947,8002,0,3,0,0,0,0,0,0,0,26961,0,0
"Busan",73604,3397,11441,9072,18,18236,1555076,61107,158409,407,0,416880,0,2867963,624633,7434,3720,24989,7295,1080,268831,108634,347121,27,25759,6006,135549,15745,29228,0,3434,979,242,0,0,60985,2867,575,32090,38,2042517,32358,19216,4705,0,115,7860,19941,33876,3424,13895,98365,0,2851921,16362,302427,19686,603162,28513,5817,0,0,17619,99216,81578,50,0,2555
"Changwon",0,13,0,0,0,3003,51395,554528,20261,0,360,22741,0,82689,35252,0,240,0,72,0,16032,148468,21263,0,9921,4758,5,24700,301850,0,611,1364,57,0,0,5330,0,823,86057,0,112358,9828,0,933,526,153,71,2400,20,0,0,12100,0,239057,10211,39668,0,0,0,0,0,0,0,7122,0,119,0,0
"Cheonan",0,8774,46503,0,114908,696,157209,20259,62254,5018,0,1286,908,154640,294788,0,0,0,0,0,33399,567,32889,0,33699,170,1155,275,159,96292,55,40226,1476,837,3349,8350,24905,12661,5016,521,7032,18104,0,6320,5594,23304,2625,0,22872,0,0,96804,29490,1421493,17636,45247,0,0,0,0,0,0,1,19362,1,9043,97674,778
"Choongju",243,0,0,0,0,0,306,0,5278,52046,0,0,109334,6,20338,0,0,48,0,0,0,0,0,0,432,0,38,0,0,0,0,0,0,0,0,175112,0,0,1,1260,0,0,0,0,0,0,0,0,1717,1,0,50850,0,10663,0,5577,14,359,16,2,0,0,24,0,1396,0,0,845
