"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",3136,0,0,1665,0,0,20908,507,1598,871,0,0,2413,20273,0,4845,0,10777,6749,0,0,0,0,0,0,0,17442,0,30,0,0,0,0,0,0,28160,0,0,0,1360,0,0,0,0,0,0,0,0,853,1043,0,0,0,127115,0,2272,8102,24481,16340,3650,0,0,17352,0,44901,0,0,0
"Anyang",0,0,6196,0,3851,0,6013,0,16885,0,0,626,0,6143,6791,0,0,0,0,0,1354,0,1979,0,576,0,510,0,0,4180,0,1388,50,0,740,0,1536,195,0,0,392,1884,0,813,0,1564,0,2016,16174,0,0,6436,1916,3964,0,155,0,0,0,216,0,0,0,976,0,0,2692,0
"Asan",0,3823,1204,0,35709,0,315,482,14845,0,0,0,0,0,563,0,0,0,6,0,0,0,0,0,0,0,0,0,0,32642,0,0,0,0,0,0,376,0,0,0,0,0,50,0,0,0,0,0,9131,0,0,801,14491,342984,0,76296,0,0,0,0,0,0,0,0,0,0,12584,0
"Bonghwa",1994,0,0,2600,0,0,3638,0,0,0,0,0,0,3714,0,2386,0,264,3740,0,73,0,120,0,0,0,741,0,0,0,0,0,0,0,0,110,0,0,0,778,7,0,12,0,0,0,0,0,0,689,51,0,0,4126,0,0,7934,2827,51,18,0,0,1248,0,12139,0,0,81
"Boryeong",0,2832,41182,0,8182,0,0,0,112033,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15303,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22482,0,0,1417,31091,378828,0,106551,0,0,0,0,0,0,0,0,0,0,26553,0
"Bosung",0,0,0,0,0,78484,8697,1958,1623,0,0,20,0,501,3723,458,0,0,0,0,0,204,0,0,70462,1405,0,824,175,0,48407,2760,0,0,513,0,1786,0,1649,0,656,3048,0,1569,0,1203,0,0,1390,0,0,1131,0,50316,43397,11256,0,0,0,0,0,0,0,0,0,2909,0,0
"Busan",21654,3462,315,4119,0,9271,845331,51640,188938,0,1334,454270,0,2182668,606699,3307,1803,7402,16327,0,122324,40005,378522,0,6211,2381,162543,7563,14158,18,1254,90,0,0,288,16192,0,0,19916,0,982061,16748,25756,1398,0,0,10606,41454,75626,1221,22711,95882,0,2616955,8365,570349,17282,269193,9398,2114,12288,0,11978,46441,29202,0,104,0
"Changwon",352,300,482,0,0,2500,53978,115386,22711,0,519,43325,617,120142,42979,511,554,0,0,0,12156,17974,24145,0,3115,2157,0,14760,59046,15,569,121,0,0,0,877,0,0,60298,490,42225,4865,0,290,0,0,682,326,14306,0,0,8842,0,259847,4789,75891,0,0,0,0,0,0,0,4247,0,0,138,0
"Cheonan",2185,14061,14324,0,140389,1590,191200,23229,7875,2239,37,11623,986,144945,374961,18,74,0,77,0,25342,1497,43602,0,33960,257,8877,204,427,103929,244,45467,1559,0,4828,7085,23952,33604,1876,12,7176,20565,37,4660,7290,44250,7758,11737,40224,0,37,78421,30280,2158627,22417,407306,0,13098,0,0,5,0,2379,14079,4411,13724,62387,0
"Choongju",868,0,0,0,0,0,0,0,2333,7724,0,0,55421,0,77752,401,0,0,1944,0,0,0,0,0,156,0,0,0,0,0,0,286,0,0,17,53326,38,65,0,1292,0,0,0,0,0,171,0,0,1020,48,0,43361,0,14796,0,2026,18,0,6,0,0,0,0,0,2799,0,0,142
