"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",17998,0,0,3730,0,0,41810,1519,2048,2038,0,0,2975,56142,1003,8823,185,30480,12635,0,0,48,0,0,0,0,23951,0,0,0,0,501,0,0,0,63100,42,0,1198,0,410,0,0,0,0,0,0,0,1782,1977,0,0,0,309682,0,4122,16841,37934,30864,6862,0,519,28137,0,102492,902,0,0
"Anyang",0,0,13347,0,4368,0,4236,0,13581,0,0,766,0,5716,6159,0,0,0,0,120,2278,0,2217,0,909,0,10470,0,0,5680,0,1825,0,0,486,370,3622,84,0,0,372,2262,0,1183,260,1549,66,0,28177,0,0,5805,3042,1932,0,1311,0,0,0,240,0,0,0,1572,0,530,5622,592
"Asan",0,5666,2004,0,52437,0,0,75,59960,31,0,0,0,772,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,36295,0,0,0,0,85,0,35,0,0,0,82,445,0,0,49,0,0,0,13339,0,0,0,22408,428366,301,90544,376,0,0,0,0,0,0,0,329,0,25903,0
"Bonghwa",3487,0,0,24665,0,0,8549,0,134,0,0,0,0,8683,0,5713,0,554,7458,0,0,0,0,0,0,0,1447,0,0,0,0,0,0,0,0,213,525,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,0,0,11670,0,0,24504,5534,193,48,1,0,1854,0,37822,0,0,0
"Boryeong",0,3512,75219,0,3548,0,0,368,112408,94,0,1872,0,380,0,0,272,0,135,0,142,0,2,0,0,0,0,0,0,29277,0,0,0,1440,0,27,0,0,0,190,26,0,0,0,46,0,0,0,26138,0,0,0,79999,555715,0,118914,0,0,0,0,0,0,0,0,0,0,54255,0
"Bosung",0,0,0,0,0,143141,14145,3558,1656,0,0,0,0,0,3507,0,0,0,0,0,0,259,0,416,225749,1848,0,931,180,369,27430,3362,0,0,685,0,3342,20,1340,0,1152,1770,0,1371,0,1677,237,0,0,0,0,952,0,55571,66934,7045,0,0,0,0,0,0,0,0,0,0,0,0
"Busan",42186,3115,0,7731,36,14269,3665272,151222,215035,596,480,526827,72,2745103,815925,5564,1656,11074,19174,0,190563,68913,409745,0,17810,3716,148562,11508,17900,0,1462,0,0,0,0,33958,3451,0,27224,856,1618188,27031,31146,2804,0,805,12575,34816,59621,1949,24121,144365,0,3098611,11574,507414,16199,305341,16047,2621,14714,0,13517,71433,55720,257,0,0
"Changwon",1599,0,75,0,368,2845,155960,236236,27055,699,206,42034,1004,146723,59272,1,1008,0,712,279,15331,52813,22815,0,6413,2481,0,15118,119276,364,2371,101,0,0,0,6379,963,467,68397,0,68065,7198,0,1479,0,273,1140,1440,6044,0,0,10778,0,305854,4690,66841,21,0,288,0,682,0,0,5313,1284,0,497,0
"Cheonan",2904,8250,23910,134,152112,1403,221439,28706,26014,3082,0,6602,1242,143050,424369,0,0,0,12,0,32380,1115,36823,0,34770,265,9438,300,408,136495,91,41737,1602,0,5236,11384,24428,22613,7170,537,7581,22210,0,6190,8618,32491,7169,0,47338,0,0,102437,33913,2010356,23101,236392,125,13563,0,0,0,0,1509,17829,6634,14443,96779,0
"Choongju",3292,370,31,0,94,0,2057,1628,3685,12420,0,0,56168,789,70554,2625,874,0,1341,0,0,130,0,0,1313,0,0,0,0,287,0,0,0,23,0,91040,700,0,0,634,27,1112,0,139,0,0,0,1226,716,220,0,44716,0,25156,0,3121,108,0,0,0,0,95,0,0,6123,0,219,131
"Chuncheon",0,0,0,0,0,0,216,620,72,0,32592,0,0,72,72,0,0,0,0,52474,0,0,72,0,0,0,0,0,0,0,0,288,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309815,0,0,0,0,0,360,0,0,1008,0,0,0,0,0
"Chungdo",0,520,0,0,1872,0,534455,47697,7225,437,0,32691,0,272574,32499,0,1565,0,0,0,41227,2664,123649,0,0,0,0,0,499,0,0,0,0,0,0,206,0,0,2904,0,59930,0,4941,0,0,0,803,0,3597,0,5142,6298,0,102290,483,24186,0,0,0,0,1948,0,4,3790,2312,0,0,0
"Chungju",3818,0,0,0,0,0,0,1096,1880,51226,0,0,22390,1,20909,3721,0,0,5299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,720,0,235459,1441,0,0,1408,0,897,0,2,0,0,0,0,694,145,0,22416,0,25217,423,5091,367,0,0,0,0,0,0,0,9892,462,0,984
"Daegu",55287,3761,771,8172,398,0,2771777,142434,142921,1,0,262270,0,3872,521223,11718,2396,30776,33473,0,489199,13876,1108824,0,0,0,53293,820,3735,81,0,390,44,0,0,23480,0,516,14052,163,296772,2,66217,0,260,1868,10210,95222,79508,4631,65998,62273,0,2397924,773,404668,22331,18044,7834,1428,21513,0,99467,64727,86376,823,267,2
"Daejeon",1019,4419,0,0,0,2302,833575,67668,429996,60815,216,34600,18178,525269,11016,2067,1217,0,9766,0,185686,3565,177738,0,67661,554,24484,437,1249,0,209,126351,2468,0,17196,119170,53351,31226,13375,2423,26605,52636,0,8433,17585,160007,117541,14023,148333,303,0,216745,0,3007969,50642,574979,889,25001,1352,0,0,0,6856,282320,2014,34896,0,578
"Donghae",8572,0,0,5639,0,0,5455,0,0,2822,0,0,4993,12028,2980,299,0,1379,100121,0,461,0,616,0,0,0,921,0,0,0,0,0,0,0,0,26391,636,0,0,20044,0,0,154,0,0,0,0,0,0,44238,0,690,0,121848,0,0,22988,2886,7011,1898,0,0,1798,0,27736,593,0,9641
"Euijungbu",206,0,0,0,272,294,1800,0,0,0,0,0,0,0,137,0,2880792,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,874,257,0,0,0,0,0,369,0,863,260,0,0,0,0,216,0,193,11997,0,0,0,0,2280,360,0,1523207,1080,0,0,0,9,0
"Euisung",42981,0,0,511,0,0,9556,0,0,1,0,0,0,40404,0,1271,0,10222,1971,0,0,0,0,0,0,0,11059,0,0,0,0,0,0,0,0,3247,401,0,683,0,123,0,0,0,0,0,0,0,0,338,0,0,0,15200,0,0,1697,8298,1122,207,0,0,19070,0,7881,1438,0,0
"Gangneung",11964,0,17,6692,57,0,15204,712,12,1838,0,0,5393,30861,8872,84998,0,1850,82615,0,1629,0,0,0,3783,0,3152,0,0,213,0,391,0,1220,68,18419,67,0,0,24886,0,0,1089,0,396,0,0,432,105,30389,298,1022,0,180861,0,383,39914,6734,3442,1333,0,0,4046,67,47343,0,191,4200
"Gapyeong",0,0,0,0,0,0,1874,1063,0,0,61669,1133,0,0,72,0,0,0,0,27176,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,500596,0,0,0,0,771,3000,0,528,0,0,0,0,0,0
"Gimcheon",0,1361,0,0,0,0,177330,15870,33124,0,0,36681,0,441980,187384,461,0,0,1629,0,2101,734,103264,0,0,0,2734,0,218,0,0,0,0,0,0,0,847,0,2572,814,8654,643,24317,70,33,0,3852,4173,14292,338,23414,23205,0,363790,0,84750,0,1050,0,0,8521,0,1330,45287,16290,558,0,0
"Gimhae",48,0,0,0,0,249,97260,52785,1322,0,0,2710,0,18230,4162,0,0,0,0,0,868,5466,2100,0,323,180,3,1178,2508,0,25,0,0,0,0,130,72,0,5627,0,15621,506,0,46,0,0,54,86,378,0,0,792,0,18247,232,4295,0,0,0,0,0,0,0,191,20,0,0,0
"Gumi",0,1647,0,0,144,0,414073,26692,38459,0,0,135677,0,1232571,180143,616,731,0,0,0,112595,2112,99328,532,741,0,7452,0,685,345,0,207,289,0,0,0,1641,0,7104,0,38986,458,17723,244,324,0,5431,6235,20369,0,8811,29844,354,556137,413,128194,361,11426,0,0,9857,0,6017,32687,29113,637,386,0
"Gunsan",0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,20675,0,0,0,0,0,0,0,202343,0,0,0,260,0,54896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,331,0,0,0,0,0,0,0
