"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",191785,0,0,3818,0,0,69999,151,0,23,1656,0,5,83841,84,5773,792,55364,8566,0,14,0,12,0,10,0,35236,0,0,0,0,0,0,0,0,62994,0,0,0,288,20,0,4,0,0,0,0,289,0,3967,1,0,0,294930,0,0,27230,49245,26087,1344,48,277,33573,0,160895,0,0,213
"Anyang",0,0,2419,0,2040,0,3811,0,8301,0,0,7,0,4846,8303,0,0,0,0,20,1691,0,973,0,1100,0,0,0,0,1865,0,2435,0,0,10,0,1896,0,0,0,354,984,0,646,0,1323,0,720,12030,0,0,3656,1163,2194,0,1197,0,0,0,0,0,0,0,729,0,0,806,0
"Asan",0,187,107424,0,41789,0,25833,0,62263,0,0,0,0,0,38,0,1201,0,0,1,0,0,0,79,0,0,0,0,0,39327,0,242,0,102,0,0,0,0,0,0,0,18,0,0,0,1,0,0,10291,0,0,156,27246,275492,42,29934,0,0,0,0,0,0,0,0,0,0,93733,0
"Bonghwa",4181,0,0,151155,0,0,11812,0,0,25,0,0,0,8824,13,9897,0,1643,8308,0,41,0,28,0,0,0,2739,0,0,0,0,0,0,0,0,1236,0,0,0,3713,0,0,93,0,0,0,0,5,0,9550,38,1,0,22660,0,0,97134,6220,489,111,102,0,1249,0,96292,0,0,435
"Boryeong",0,964,57252,0,107240,0,59,0,95792,0,0,0,0,344,61,0,1800,0,0,0,0,0,0,0,74,0,0,0,0,123211,0,0,0,137,0,0,0,0,0,20,0,0,0,0,0,0,0,25,18620,0,0,4,189106,392913,0,74852,0,0,0,0,67,0,0,0,0,0,31000,0
"Bosung",0,0,0,0,0,549936,23189,3064,1370,0,0,0,0,2,2377,0,0,0,0,0,0,248,0,0,329893,4448,0,8274,186,0,122124,2219,7,0,334,0,1565,15,2655,0,908,2661,0,1843,27,892,0,12,1104,0,0,1262,0,66817,99777,6032,0,6,0,0,0,0,0,0,0,35199,0,0
"Busan",83022,1966,36211,9688,58,21507,1657501,72114,124156,423,3687,418196,0,2405485,472264,6323,11356,31131,8314,0,252398,118730,266587,40,19362,6846,145426,19527,39927,20,3351,1309,227,360,1,58563,4441,167,39095,77,2095427,29335,14635,4114,3,264,7803,24376,27922,3185,11942,97095,0,2287676,15717,225987,20853,515011,28695,2973,0,0,18656,96441,83408,2,0,190
"Changwon",204,7,0,0,0,3026,67241,599036,16546,0,2016,22088,8,70628,29312,0,2383,0,0,0,14215,181158,16469,0,10030,4651,0,29867,355403,10,714,188,4,0,0,0,0,127,97938,0,130181,9113,0,856,1884,179,51,3264,40,0,10,10435,0,192572,11191,29506,0,0,0,0,0,0,1,6475,0,83,0,0
"Cheonan",0,5585,53997,0,112540,612,124010,15660,58292,3547,1,754,530,122831,264886,0,1200,0,0,0,28480,465,25114,0,28380,85,322,164,134,82549,58,33039,1101,1563,2890,5902,21761,10138,3527,80,6047,15193,0,6315,4557,20789,1787,0,49207,0,1,116409,29824,1242183,13210,81808,0,0,0,0,0,0,0,17238,0,6986,98683,0
"Choongju",178,0,0,2,0,0,61,2,3764,59407,0,0,112213,16,15435,5,0,30,21,0,0,0,2,0,4,0,70,0,0,0,0,2,0,0,0,187730,6,0,0,1590,15,76,0,2,0,0,0,0,1649,0,0,42680,0,7739,0,5071,35,455,110,22,0,0,6,0,863,0,0,875
