"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",145,67,6570,118,0,13117,560,0,0,0,0,0,6554,0,5198,0,3532,0,5763,0,6053,0,0,0,0,0,0,0,0,0,33,8062,5748,0,0,0,0,306,0,0,0,0,18662,0,0,0,468,0,352,0,0,0,0,51,0,107,0,1501,0,0,109,49198,0,0,4713,12576,14743,3512,0,0,6684,0,56725,0,59,0
"Asan",0,2166,0,49813,0,0,43,105839,0,0,66,0,0,61,82,0,0,0,0,0,0,59,0,0,0,0,0,11304,0,0,0,0,0,3,0,0,0,62326,0,6467,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,20847,0,0,0,17382,243029,59,100979,55,0,0,0,0,0,156,0,157,0,34162,0
"Bonghwa",7011,0,10325,0,0,3050,350,0,14,0,0,0,4553,240,0,0,3965,0,498,0,4071,0,77,0,0,0,102,0,0,0,388,1034,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27,0,0,0,0,0,0,874,52,0,0,15679,0,0,7148,2648,0,0,8,0,621,0,13483,0,0,0
"Boryeong",118,36027,0,1826,341,132,63,112258,0,0,0,0,0,18425,0,0,312,0,0,0,233,196,0,0,0,0,0,13844,0,0,0,0,0,562,446,0,0,31555,0,42614,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,0,18310,0,0,0,19242,200090,75,80116,257,0,0,0,0,0,0,0,0,125,25396,0
"Bosung",0,0,0,0,9952,2032,1154,1455,0,165,0,156,0,1545,0,0,0,0,0,111,0,0,0,94,544,0,0,0,40973,0,711,0,0,90,339,64,404,365,20742,1353,0,252,0,344,0,0,637,0,408,1359,0,961,0,562,0,0,901,0,0,467,0,22590,22489,6188,0,0,0,0,0,0,0,0,0,1305,0,0
"Busan",12560,0,3665,132,1876,426102,34765,395565,57383,72,0,78,1812893,972499,3617,28,1838,232,5170,113,10572,0,80990,23650,0,47250,264330,0,490,785821,989,118809,392551,0,6381,7666,225,0,478,30,0,216,5866,605,290,169,25673,0,842131,1817,14349,217,0,504,7553,13165,39021,844,20374,30073,180,4082179,5227,204172,10052,337989,3890,1713,7018,76,11542,31048,14324,0,0,0
"Changwon",560,45,350,63,1298,37726,10258,6794,1600,699,0,0,222870,9227,336,0,567,0,0,0,1170,0,6277,10287,0,0,9915,0,1229,0,1968,0,74030,0,20542,24104,134,123,102,0,0,0,617,0,334,0,66182,0,331017,1290,95,76,0,512,303,0,5577,54,9,3510,0,50630,5626,28752,780,0,671,27,128,0,0,1208,1616,0,298,0
"Cheonan",0,101632,0,108078,1155,389922,7359,36421,5954,2079,0,1389,322105,871291,551,0,181,0,0,457,86,0,26094,852,12890,7651,45886,15275,43194,159703,15,5004,9069,15871,65,141,2380,158678,184,57590,1589,4904,6362,16835,18200,549,432,197,25716,27511,0,4687,5636,48921,13027,2496,56892,40,0,235069,25899,1978849,23706,387118,179,9669,540,50,0,0,2227,20517,13,15255,139668,169
"Chilgok",0,0,1,0,0,53660,2460,6390,522,0,0,0,425526,27337,44,0,33,0,0,0,663,0,23610,536,200,0,47995,0,0,0,4,492,70833,0,30,103,0,0,0,0,0,0,504,0,170,0,284,0,5398,0,3516,0,0,0,1077,0,5169,4,3484,3605,0,38714,46,14786,19,1147,348,0,673,0,407,3978,756,0,0,0
"Choongju",0,0,0,0,165,72,699,3029,0,2814,0,58689,0,63551,0,416,567,0,0,1565,1030,0,0,0,1,0,0,412,4,0,354,0,0,0,0,0,0,0,0,13,0,0,44914,7,0,8123,0,0,0,0,0,0,0,4,0,0,460,7,0,34044,0,8701,153,989,77,0,0,0,0,0,0,0,0,0,0,31
"Chuncheon",0,66,0,0,0,0,0,0,0,0,19101,0,0,1894,0,0,0,0,0,0,0,75146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,936,0,225,320,0,0,0,0,0,0,0,0,8,454,0,0,0,0,0,0,1229233,46,0,0,0,0,0,0,0,0,0,0,0,26,0
"Chungju",0,0,0,0,156,78,0,1947,0,58615,0,671,0,48611,0,0,899,0,0,8153,892,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,112841,2,0,2303,0,0,0,0,0,0,0,4,0,0,309,30,0,14309,0,10996,0,2019,753,0,0,0,0,0,0,0,0,0,0,78
"Daegu",6326,0,4034,0,800,1873423,237658,326578,437625,0,0,0,26860,723195,0,57,4868,153,9947,0,12721,0,403101,38182,0,42991,1114303,0,0,751188,63,157075,478332,0,203,1313,0,0,0,0,0,288,438,30,0,0,2220,0,237271,0,17532,0,0,792,9895,185027,53737,2335,30772,30993,0,3631416,708,244378,9630,117243,0,0,3974,66,145859,41916,6607,0,0,720
"Daejeon",0,73,0,19072,1730,994573,11427,855964,24341,60475,4270,48617,744311,56366,1084,72,430,0,0,14987,1031,0,146184,1919,31790,32241,208048,11007,103524,491158,12,11972,30946,31014,373,257,5545,2470,362,194261,3017,15393,83535,49984,40975,11920,292,0,63875,78602,0,9861,11683,241042,37388,3848,213522,41,0,381854,25897,3457503,48827,702965,4962,15556,0,0,0,216,4585,286590,0,38421,263,104
"Danyang",4651,82,0,0,0,3713,336,551,44,0,0,0,0,1084,5,0,411,0,123,0,0,0,227,0,0,0,116,0,0,0,0,886,0,0,0,0,0,279,0,0,0,0,5208,504,0,0,0,0,7,0,10,0,0,0,0,0,0,0,31,0,0,24139,75,318,0,2352,6529,1149,0,0,422,0,3730,119,120,0
"Dongduchun",0,0,0,0,0,28,0,0,0,416,0,0,57,72,0,83,0,0,0,0,0,0,0,0,69,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,15,256,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,49,0,0,0,0,582563,144,0,27,0,0,0
"Donghae",3475,0,3830,312,0,1946,364,228,27,575,0,940,5120,200,411,0,1757,0,710,167,47180,0,121,0,4,0,361,0,56,0,0,235,443,0,0,0,0,0,0,25,0,4,10076,2,0,23,0,651,42,0,130,0,0,1,0,432,0,19437,123,80,239,18780,398,496,20347,1073,1552,857,43,0,493,0,8967,0,0,3872
"Euijungbu",0,0,0,0,0,232,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,256,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,227,0,0,0,0,0,0,0,49,107,0,0
"Euisung",6678,0,483,0,0,5300,0,0,0,0,0,0,10776,0,148,0,677,0,1101,0,1455,0,0,0,0,0,0,0,0,0,445,2791,4117,0,0,0,0,0,0,0,0,0,307,0,0,0,464,0,8,0,0,0,0,353,0,0,0,226,0,0,0,2733,0,0,845,5240,330,103,0,0,4219,0,2356,0,0,0
"Eumsung",0,0,0,0,111,113,0,590,0,2306,0,7664,0,14873,0,0,160,0,0,0,221,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,0,0,10306,0,0,832,0,0,0,0,0,0,0,1,0,0,181,2,0,6423,0,1006,0,444,76,0,0,0,0,0,0,0,0,0,0,1
"Gangneung",5862,0,3621,233,0,7731,1519,117,196,992,0,829,9676,1666,0,0,42041,0,1392,192,53931,0,480,132,30,680,775,0,625,0,47,1160,572,1,75,46,0,0,0,730,0,320,13928,18,0,436,475,1464,154,0,352,0,0,477,0,383,0,16712,382,211,147,57479,75,1572,33754,3689,3046,3447,132,0,934,0,10766,0,0,2656
"Gapyeong",0,59,0,196,0,0,0,0,0,0,81695,0,0,0,0,0,0,0,0,0,0,9244,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,273,0,0,52,0,0,148,0,0,0,0,0,0,0,0,0,127,6,69,0,0,0,0,288,696914,83,0,52,0,0,0,0,0,0,0,0,0,172,0
"Gimcheon",0,0,64,0,0,77781,6800,25314,21657,0,0,0,407105,140611,227,0,80,0,0,0,584,0,3,639,191,0,124958,0,0,6625,20,3533,37608,0,25,94,0,0,0,0,0,0,289,0,181,0,475,0,4595,0,9482,0,0,0,7785,1847,9583,4,9832,11814,0,185734,117,53713,65,7210,0,0,3222,0,2082,25480,6163,0,0,0
"Gimhae",0,0,0,0,463,25322,9755,1007,311,0,0,0,39502,1739,0,0,32,0,0,0,8,0,648,409,0,0,1902,0,66,0,203,0,8114,0,4212,1601,13,0,16,0,0,0,25,0,42,0,6897,0,27784,205,0,13,0,0,52,0,362,0,0,467,0,5341,609,3562,0,0,0,0,0,0,0,100,3,0,0,0
"Gimje",0,0,0,0,553,0,0,12419,0,0,0,0,0,30229,0,69,2,79,0,0,395,0,0,0,4919,512,0,0,33036,5450,0,0,0,2177,0,0,1165,0,146,28593,0,6701,1,23423,0,0,0,0,0,10040,0,2361,0,8146,0,432,6301,0,0,4509,0,114597,296,33386,11,0,0,0,0,98,0,0,0,151,0,2
"Goyang",0,0,0,0,0,57360,0,10815,0,0,0,0,51090,39066,0,0,0,0,0,0,680,0,0,0,796,59159,0,0,10035,416,0,370,0,326,0,0,44,0,0,7116,0,1274,0,2777,0,0,0,0,1076,6253,0,803,0,3896,0,0,0,0,0,0,0,860698,0,0,0,0,1756,0,0,0,0,0,0,0,0,0
"Gumi",0,0,30,0,0,241636,11345,46562,49607,0,0,0,1090376,198550,116,0,265,0,0,0,1055,0,117126,1901,0,0,36,0,0,25502,28,5252,131820,0,58,130,0,0,0,0,0,72,45,0,8,0,486,0,14667,0,7777,0,0,0,6371,2410,16849,61,12453,11527,0,340553,283,123485,135,12718,0,0,3924,0,5493,21812,3907,0,0,0
"Gunsan",0,8161,0,12513,0,0,0,16980,0,412,0,0,0,8885,0,429,0,0,0,0,0,13,0,0,0,0,0,72,0,0,0,0,0,887,0,0,0,8002,0,17801,0,0,1252,0,0,0,0,0,0,0,0,0,0,2555,0,0,4046,0,0,0,1390,47646,393,21510,0,0,0,0,159,0,0,0,286,0,6071,0
"Gwangju",0,0,0,0,42460,558,1082,37178,0,5,0,1,0,98050,0,0,16,0,0,8,792,0,0,40,32969,11117,0,0,1426,159252,111,0,0,8479,207,42,25598,28,3228,101334,0,13145,25,25520,0,1,518,0,32,258623,0,3972,0,26848,0,0,13567,3,0,10882,0,900805,4221,63944,794,0,0,0,0,0,0,832,0,677,0,11
