"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",220258,0,0,4828,0,0,75360,960,0,26,3720,0,7,64235,113,6242,1200,72593,10906,0,28,0,12,0,0,0,36924,0,0,0,0,0,0,0,0,58832,0,0,480,187,31,0,13,0,0,2640,0,479,0,3883,7,0,0,281363,0,0,30823,49772,24517,1390,74,0,40389,0,174063,0,0,218
"Anyang",0,0,0,0,0,0,0,0,5551,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14803,0,0,0,0,3705,0,1089,1592,0,0,0,0,0,0,0,0,0,0,0
"Asan",0,0,118037,0,44178,0,34012,12,74593,0,840,0,1,0,18,0,1,0,0,0,0,0,0,79,2,0,0,0,0,41471,0,166,0,167,0,6,0,0,0,0,0,0,0,0,0,2,0,0,12462,0,0,21,23144,238994,0,27618,0,0,0,0,0,158,0,0,0,0,109042,0
"Bonghwa",5852,0,0,178948,0,0,12390,0,0,34,0,1,11,9048,7,10954,0,2019,6879,0,141,0,56,0,0,0,3007,0,0,0,0,0,0,0,0,1586,0,0,0,2861,0,0,248,0,0,0,0,5,0,10735,60,0,0,23467,0,0,115058,6030,505,111,185,0,1652,0,113466,0,0,250
"Boryeong",0,0,61091,0,107783,0,426,0,95083,0,0,0,2400,154,277,0,1200,0,0,76,8,0,1,0,0,0,0,0,0,140134,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17511,0,0,1202,204347,389895,0,69180,0,0,0,0,0,0,0,0,0,0,36073,0
"Bosung",0,1,0,0,0,598124,30427,3731,2513,0,0,0,0,4,2747,0,0,0,0,0,0,216,0,8,324467,5083,0,5753,113,0,127447,3105,40,0,217,0,1365,20,3340,0,1198,3202,0,1882,1864,531,0,0,0,0,0,1079,0,62007,125757,5430,0,7,0,0,0,0,0,0,0,37591,0,0
"Busan",79748,0,40720,9301,240,28491,1894911,90541,113307,137,3456,421714,117,2314556,429767,5233,11121,30999,17921,0,253648,143189,266432,127,22331,8442,164122,23279,44981,0,3592,1684,345,360,1,60655,5572,269,44977,34,2284314,31343,14759,4706,2,7054,13881,27269,26859,2937,11855,83114,0,2229352,19477,201472,18765,554499,31121,3119,10,0,20371,110271,79027,0,0,102
"Changwon",1200,5,0,2,0,3373,85634,675709,15561,0,1859,21967,4,43640,26423,0,1992,132,0,0,16217,196002,15004,0,10873,4513,1,27797,368385,0,704,1312,51,242,0,0,0,791,97829,0,133006,8853,2,1069,525,6390,42,2882,37,0,0,9664,0,161837,11842,24330,0,2,0,0,0,272,315,6471,0,26,0,0
"Cheonan",0,6100,65589,0,106183,301,119636,14580,75457,3144,1560,191,681,120507,265577,0,1,0,0,0,27794,102,23670,2,30865,17,0,52,43,87456,15,37510,1089,1671,3250,5489,20789,9396,3152,0,6632,15611,0,7085,4329,21552,1074,20,60106,0,0,127639,27457,1073743,13128,93271,0,0,0,0,0,1,0,15564,0,7025,113200,0
"Choongju",254,0,0,2,0,0,65,3,3320,61387,0,0,108545,3,11823,1,2280,27,11,0,0,0,1,0,3,0,102,0,0,0,0,1,0,0,0,189272,868,0,0,1676,1,57,0,0,0,0,3,2,1673,2,0,41559,0,6034,2,4221,47,697,184,18,1,1800,11,1,728,1,0,978
"Chuncheon",4,1,0,0,0,360,362,125,0,0,401737,0,0,7,39,0,20059,0,0,259878,0,0,2,0,600,0,2,1,0,0,0,240,0,0,0,0,481,0,0,33,0,427,0,0,0,0,0,0,3600,0,0,600,0,1322181,0,0,0,2,0,0,0,3894,960,0,1,720,0,0
"Chungdo",1,6,0,0,0,0,435971,25581,1032,0,576,109748,0,316379,5283,0,0,6,540,0,7121,3863,44504,4,8,4,449,3,60,0,0,29,0,0,8,2,30,4,841,0,104782,15,661,0,0,1205,405,1,476,0,765,957,0,34711,0,3993,0,8,0,0,3,0,72,1464,17,0,0,0
"Chungju",447,0,0,3,2232,0,633,11,1387,123258,720,0,65253,1224,2223,1,3720,13,52,0,0,0,1,0,805,0,16,0,0,0,0,87,0,0,0,246636,72,20,0,594,0,480,0,0,0,6,0,0,928,0,0,35489,0,32404,0,3864,21,16,181,53,0,0,241,0,219,0,0,838
"Daegu",55426,0,0,5142,142,0,2228874,39961,113293,0,1274,286557,0,689,349732,3614,8417,65765,7710,0,372958,8871,1641080,6,2076,159,84570,152,1793,0,0,2267,0,0,170,20874,1109,212,4427,0,404746,207,93749,71,10,4736,11878,56643,36120,4232,63388,73331,0,1566542,396,225917,23196,12610,32364,417,41338,5034,355421,105757,84700,0,0,1
"Daejeon",29,0,3,0,72,856,425021,27248,289965,12756,544,3645,4316,374440,220867,0,3936,0,0,0,153697,814,132204,7806,64338,50,4680,458,124,2240,48,167319,1824,52,9035,42770,64554,16919,6568,0,21825,44535,73,10094,12733,390907,378319,85,72080,0,0,430145,148,1886033,30460,343126,0,0,120,0,2,2412,1048,246173,131,17235,24,0
"Donghae",5249,0,0,10727,0,0,6470,0,0,0,0,0,0,4936,0,63847,0,1550,153473,0,7,0,6,0,0,0,662,0,0,0,0,480,0,0,0,16717,0,0,0,56525,0,2,11,0,0,0,0,1,0,419803,233,0,0,46675,0,0,161331,2983,11305,292,26,0,2259,0,40295,0,0,14869
"Euijungbu",0,90,0,0,0,0,1560,0,0,2520,22620,0,0,1228,0,0,889189,0,0,30153,0,0,0,0,0,0,648,0,0,0,0,0,0,1920,0,6482,0,907,0,8,0,0,0,840,0,0,0,240,1680,2,0,0,10,514332,0,0,0,0,1330,5162,0,603426,216,0,0,0,600,1
"Euisung",80273,0,0,1164,0,0,27982,132,0,9,1008,0,7,70615,0,1607,0,104661,2727,0,0,0,0,0,0,0,28365,0,0,0,0,0,0,0,0,8415,0,0,0,31,0,1,3,0,0,0,0,893,0,1088,3,0,0,37998,0,0,8082,19942,3157,382,1,0,77366,0,17370,0,0,205
"Gangneung",7858,0,0,7093,0,0,17013,0,0,0,0,530,0,7171,0,167641,0,2375,208054,0,2036,0,692,0,0,0,1262,0,0,0,0,0,0,0,0,5007,0,0,0,24730,0,0,458,0,0,1656,0,0,0,110513,938,0,0,20300,0,0,114176,6268,7146,186,2,0,4425,0,46690,0,0,3382
"Gapyeong",0,6,0,0,76,0,658,216,0,0,239344,144,0,0,0,0,30090,0,0,261528,0,0,0,0,144,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611957,0,0,0,0,1,0,0,2589,0,0,0,0,0,0
