"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",8373,0,169,3576,0,0,36725,1848,3033,1992,0,0,0,61677,450,7916,0,21413,15027,0,0,0,0,0,0,0,23894,0,0,0,0,329,0,280,0,60085,0,0,0,187,568,0,0,0,0,0,326,40,1328,4491,0,0,0,309290,0,5005,16184,33378,28491,5864,0,0,26964,0,91483,18,26,82
"Anyang",0,0,11141,0,4248,0,3988,0,8629,74,0,748,0,5378,5493,0,0,0,442,0,1678,0,1759,0,676,0,5966,0,0,5084,0,1611,0,0,491,163,2884,483,0,0,320,2014,0,958,370,1417,0,0,24313,0,0,4939,2628,8677,287,722,0,0,0,120,0,0,0,1569,0,0,3755,0
"Asan",169,4102,2050,0,44267,0,0,336,53055,25,19,241,0,498,2,710,0,0,25,0,42,0,0,0,95,0,0,0,0,32570,0,0,0,0,937,0,0,322,0,213,0,0,0,42,673,0,0,0,8665,596,0,0,17915,397371,280,96402,531,0,0,0,0,0,0,0,0,0,21664,0
"Bonghwa",3619,0,0,28497,0,0,7536,111,0,0,245,0,0,8422,2,5020,0,645,6354,0,0,48,0,0,0,0,1600,0,0,0,0,0,0,0,0,163,0,0,0,39,0,0,0,0,0,0,0,0,0,2002,0,0,0,11165,0,0,23874,4934,139,34,0,0,1829,0,45053,0,0,2
"Boryeong",0,3285,60611,0,3287,0,36,77,116978,142,142,2017,0,364,806,70,34,0,853,141,384,0,655,0,0,0,0,0,0,24667,0,0,0,941,0,0,0,0,0,0,0,0,0,0,12,0,327,0,24297,141,0,58,80821,511724,27,116848,0,0,898,385,0,160,0,0,0,0,42855,0
"Bosung",0,0,0,0,0,106650,12010,3017,1641,0,0,75,0,556,3384,0,0,0,10,0,0,359,0,0,220563,1512,0,1622,193,0,24953,3148,0,0,608,0,2455,0,1203,0,1996,1894,0,1408,0,1253,0,0,638,0,0,851,0,55456,61691,8487,0,0,0,0,0,0,0,0,0,3576,0,0
"Busan",37548,2810,0,7199,36,11858,2425504,105933,193604,323,1503,509379,34,2422683,703667,4768,1675,10929,21530,0,166950,53394,367839,0,12976,3055,162911,11035,18152,1,1339,1,0,0,360,33144,0,0,23548,0,1397615,22716,21069,2226,238,754,11532,42287,65713,2333,21936,103759,1,2805334,13293,488564,16257,230487,14275,1972,11380,0,13225,64032,45851,0,0,0
"Changwon",1596,0,336,111,75,2582,111698,179853,24784,374,1169,10617,580,125961,56490,0,2009,0,666,235,14184,38085,21142,0,4088,2338,484,16555,100471,161,293,0,0,0,355,1391,0,0,55592,928,61480,5554,863,629,0,362,681,1360,6268,546,377,10079,0,280753,4706,67406,651,2,0,0,0,0,0,4956,1369,105,108,296
"Cheonan",3760,5386,25561,0,143873,1398,198669,25154,30481,3108,358,7789,1163,138952,395406,606,209,0,1707,0,30254,1207,35308,0,30947,249,8731,507,481,136613,98,37861,1454,0,5255,9706,21473,23693,6530,168,6825,19008,0,5211,8783,34605,6472,89,31496,1456,0,92260,33192,1826566,20970,257331,178,11527,0,0,0,0,1560,16216,5528,12800,90298,0
"Choongju",3056,72,24,0,445,0,1080,384,3403,12629,0,0,68633,21,78100,1767,0,0,2147,0,0,0,0,0,603,0,238,0,0,353,46,87,0,316,0,91073,554,0,0,560,335,160,0,314,147,0,0,0,632,335,0,45531,40,20227,0,2817,11,0,0,0,0,0,0,0,5487,0,23,132
