"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",487293,0,0,6292,0,0,101135,0,0,79,264,0,8,145448,10,6374,1016,132632,21282,0,101,0,926,0,82,0,48480,0,0,0,0,0,0,23,0,80723,0,122,0,178,1,20,73,0,0,2700,0,3022,0,4150,32,34,0,308443,0,0,29946,44135,27248,1741,262,0,52932,0,303569,0,0,129
"Anyang",0,0,9287,0,6727,0,2229,99,44324,46,0,229,20,2113,7975,0,25,0,0,0,1237,0,516,0,4919,1,0,0,0,14790,0,2685,1098,0,1146,0,4548,1478,55,0,532,2692,0,2091,833,3793,2038,339,99947,0,0,7138,8003,2915,1770,5897,0,0,0,0,0,0,0,1904,0,313,20637,0
"Asan",0,7927,146145,0,40296,0,189,3,127606,0,3,0,1,32,1111,0,2,0,0,0,16,0,1,0,0,0,0,0,0,59182,0,2433,106,1076,0,2,490,1480,2,4,2,2,0,0,0,3,6,1,30864,0,0,590,33497,183226,1,28368,0,0,0,0,0,0,0,4,0,5,220721,0
"Bonghwa",8957,0,0,272496,0,0,15780,0,0,29,0,0,17,6920,31,10941,0,3812,6852,0,169,0,91,0,0,0,3807,0,0,0,0,0,0,0,0,3730,0,0,0,2296,1,0,258,0,0,0,0,34,0,15800,93,0,0,35029,0,0,187929,6643,949,244,137,0,2918,2,161802,0,0,19
"Boryeong",0,6995,39750,0,297717,0,284,0,117281,0,146,59,1,305,1256,0,1328,0,0,303,0,0,78,0,229,0,425,0,0,253921,0,0,0,727,0,0,40,0,0,0,41,0,64,80,0,1090,0,38,20837,0,0,32,337927,298655,0,38948,0,44,1,0,0,278,0,0,0,0,67115,0
"Bosung",0,12,0,0,0,900244,69680,7194,43,0,716,0,0,164,18,0,0,0,0,0,0,503,0,7,408769,9316,16,4132,113,0,111963,111,33,0,104,0,25,186,4552,0,2859,7230,0,2761,1014,1,0,0,34,0,0,28,0,2572,200676,169,0,1,0,0,0,0,0,0,0,45075,0,0
"Busan",102182,2347,134,10290,336,59615,2373547,145628,124292,32,3789,465175,0,1853125,416526,16656,6647,51900,51381,0,268306,171030,201330,490,32970,12393,247849,30711,67965,0,4837,3935,55,59,26,80505,8874,1481,59203,183,2584788,50583,479,8941,35,4703,9555,26844,19082,4242,58,104432,0,2453503,33574,124497,24527,848810,37945,2532,436,0,44361,85859,84653,49,0,77
"Changwon",0,98,0,0,3,6123,165217,1431669,14691,0,1271,23172,0,44902,18273,0,555,0,70,0,14453,273692,10475,2,12321,5232,1060,28994,543288,0,684,970,60,0,0,1,0,1161,144486,0,229903,9816,286,1643,125,6418,24,7220,19,0,351,10688,0,137917,17960,15607,0,127,20,0,0,279,2612,5223,0,158,0,0
"Cheonan",2,43782,116820,0,105314,4,115781,14056,136838,8185,0,162,4286,112606,317522,0,1,0,0,0,27847,6,19106,2,31939,0,368,0,29,137110,0,38277,945,3758,3406,3955,19330,12646,2888,0,7091,14551,8,7145,4966,29846,2547,3,110171,0,1,172526,35884,964924,12090,141069,3,0,2,0,0,0,0,15750,0,6825,217669,1
"Choongju",866,20,0,44,0,0,452,3,7184,160464,51,2,199082,20,136,14,0,160,10,0,2,0,0,0,0,0,742,0,0,0,0,1,0,0,0,255809,1,0,0,8296,40,0,0,0,0,24,11,9,3621,14,0,51947,0,16190,0,6560,417,3727,956,124,0,0,129,18,2080,0,0,7448
