"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",119,0,6246,0,0,12701,883,1497,0,428,0,1258,6861,360,5959,0,3954,0,5241,75,6419,56,381,0,0,0,0,0,0,0,61,8854,6002,0,271,0,0,0,0,0,0,0,19727,0,0,84,0,1695,0,0,0,0,0,0,0,0,510,666,0,0,0,60406,0,1059,4745,13511,13956,3221,0,0,6579,0,51961,285,0,0
"Asan",0,1293,0,45093,0,0,5,88280,16,0,20,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51197,0,0,0,0,0,36,0,0,0,0,0,0,0,40,0,0,0,0,16562,0,0,0,20084,243839,0,91665,249,0,0,0,0,0,41,0,0,0,22237,0
"Bonghwa",6533,0,11406,0,0,3623,543,35,6,0,0,0,4759,0,0,0,3428,0,350,0,4739,0,80,0,0,0,138,0,0,0,0,1393,1060,0,0,0,0,0,0,0,0,0,78,0,0,0,0,384,8,0,15,0,0,363,0,0,0,832,77,0,0,21806,0,0,6030,3000,3,0,29,0,573,0,17383,0,0,28
"Boryeong",0,36052,0,1980,0,0,0,118716,0,0,222,0,0,0,0,32,0,111,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17035,0,0,0,25893,221827,0,82404,5,0,0,0,0,126,0,0,0,0,26891,0
"Bosung",0,0,0,0,7241,441,430,1669,0,0,0,0,0,1853,0,0,0,0,0,0,0,0,0,0,545,0,0,0,37169,0,0,0,0,134,0,19,339,0,21787,1319,0,268,0,478,0,0,90,0,0,1398,0,889,0,577,0,0,1010,0,0,689,0,25327,21491,6831,0,0,326,0,0,0,0,0,0,586,0,0
"Busan",12897,0,4336,0,441,343552,36539,375780,57846,356,0,182,1868917,970661,1281,0,1702,0,5468,163,10863,0,81928,27649,0,39379,266826,0,0,769358,975,100614,377337,671,4579,7488,0,0,0,0,18,128,4128,952,457,78,18655,1516,848765,0,15059,0,0,0,7358,13990,40515,873,20531,34064,0,4150801,9513,226119,9101,246314,3525,1362,7299,0,8514,31947,14438,0,0,0
"Changwon",883,5,543,0,430,40483,11209,8638,1586,0,507,0,222007,13218,214,0,273,113,622,0,349,6,6003,8339,202,0,11378,242,1203,0,1524,0,69230,448,13907,35022,30,182,259,135,0,0,596,129,0,0,53754,18,284519,307,0,0,0,0,411,784,6569,195,0,3603,0,62728,5482,35662,0,46,0,0,0,0,0,2456,1504,0,99,286
"Cheonan",1684,74584,43,117495,1428,382284,6604,23736,5419,1890,0,1832,315968,853065,861,0,197,0,0,409,138,67,26418,781,12474,6144,46256,34,41322,130393,185,4812,7969,13973,92,227,2379,152718,202,65055,1648,5196,4470,16668,20756,458,703,466,19281,21385,0,4713,5910,52464,15298,2976,43067,30,0,216012,33194,1945877,22861,312468,323,8565,841,43,0,0,1608,22252,3363,14751,119766,115
"Chilgok",0,16,15,0,0,56608,2023,6082,358,0,0,0,371990,25410,0,0,29,0,0,0,502,0,23645,529,0,0,31660,122,0,0,0,201,77470,0,3,126,0,0,0,0,0,0,0,0,0,0,408,122,5641,0,3139,54,0,0,944,0,4791,12,5374,3163,0,40806,225,14998,155,426,100,0,884,0,163,3374,996,174,265,0
"Choongju",458,0,0,0,0,356,0,2422,0,2147,0,56528,0,60737,340,0,880,0,0,1877,699,0,0,0,2,0,0,0,177,0,0,0,0,0,0,0,36,0,437,106,0,10,37055,5,0,6519,0,209,0,129,0,287,91,214,0,0,386,10,0,33058,0,10637,273,1149,276,432,0,0,0,0,0,0,1346,547,0,126
