"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",0,0,8834,0,0,11666,0,0,0,0,0,0,11990,0,4363,0,4398,0,26669,0,2836,0,0,0,0,0,0,0,0,0,0,8411,6584,0,0,0,0,0,0,0,0,154,0,19791,0,34,0,386,0,0,0,0,0,0,0,0,0,0,778,0,0,0,68165,0,0,2135,14367,15325,5798,0,0,6513,0,94388,0,0,0
"Asan",0,0,0,38779,0,124,0,41585,0,0,0,0,0,9,0,0,269,0,0,0,0,0,0,0,0,0,0,10799,0,0,0,0,0,2,0,0,0,74453,0,7425,0,0,0,121,0,0,0,0,0,0,0,0,0,0,52,0,0,27331,0,0,0,12753,250262,0,84838,135,0,0,0,0,0,0,0,0,0,44984,0
"Bonghwa",8456,0,8298,0,0,2723,0,762,15,90,0,963,3828,471,40,0,4451,0,518,0,5784,0,42,0,0,1599,66,0,0,0,0,698,761,0,0,0,0,0,0,0,0,946,0,386,0,0,0,0,0,10,0,43,0,0,0,0,17,0,1192,15,231,0,16013,0,2320,79324,2101,0,1,34,0,1295,0,14422,0,0,0
"Boryeong",0,38900,0,0,0,0,0,135274,0,0,0,0,0,3026,0,0,0,0,0,0,0,226,3,0,0,0,0,18717,0,0,0,0,0,245,0,0,0,46062,0,84044,0,0,0,257,0,0,400,0,0,0,0,0,0,0,662,0,0,24383,0,0,0,19831,179674,0,82419,0,0,0,0,0,0,0,0,0,0,22201,0
"Bosung",0,0,0,0,0,3261,1126,1123,0,0,0,0,0,1297,0,0,0,0,0,0,90,0,0,183,228,0,0,0,22282,0,226,0,0,66,291,67,65,0,20694,792,0,0,138,0,187,0,0,700,0,446,234,0,196,0,253,0,488,627,0,0,539,0,10532,23057,3498,0,0,0,0,0,0,0,0,0,0,0,0
"Busan",12477,124,3189,0,2996,893388,46445,440703,63692,549,374,189788,1991608,905692,2929,0,1106,0,5287,0,7865,0,60109,11201,0,95943,305789,393,774,779100,1827,268655,457359,6,12583,5582,116,120,303,288,146,0,0,5816,0,0,0,17574,343,797494,943,12395,197,364,87,8383,110376,43893,553,18363,22723,0,5035400,22002,461029,4125,929968,5207,2425,7090,0,17130,26303,12918,0,103,0
"Changwon",0,0,0,0,1308,50274,17702,26598,2556,0,0,12051,329510,125617,0,0,524,0,0,0,181,0,4484,17501,0,4071,11940,0,723,151349,4560,1270,77393,0,17444,25758,59,0,98,0,0,0,0,159,0,432,0,89975,0,116989,768,0,135,24,0,216,4878,4557,107,0,1950,0,781904,19625,11441,222,1165,0,0,0,0,0,1130,150,0,0,0
"Cheonan",0,41340,1067,135404,1055,441992,19926,0,5600,4386,923,43112,363908,885906,328,0,0,0,0,1077,504,8,20969,1639,9068,48149,66625,24459,109156,278851,0,33860,7570,18550,0,134,1475,191904,155,81919,1486,380,4183,6638,21014,35337,944,2226,0,15733,34447,0,10465,7735,51720,14809,65829,102383,0,0,292550,25664,2921331,38059,743602,837,154948,0,0,0,0,4,19577,442,31114,152716,0
"Chilgok",0,0,5,0,0,59485,2348,5941,0,84,0,299,604213,30991,14,64,42,123,0,55,206,0,29763,580,0,0,77017,0,0,0,0,0,66809,0,0,102,0,0,0,0,0,0,0,113,0,0,43,486,0,5244,0,2009,0,0,0,1739,0,5505,10,3979,3957,0,36318,0,16966,19,0,0,0,645,82,0,5827,905,0,0,0
"Choongju",0,0,118,0,0,549,0,4511,99,0,592,110155,469,71212,1106,0,0,0,0,2312,1091,0,405,0,0,0,457,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,64742,0,0,18417,0,0,0,0,0,0,0,0,401,0,1010,0,0,23482,226,5261,268,1693,139,0,0,0,0,0,0,526,1572,0,0,0
"Chuncheon",0,0,0,0,0,4697,0,108,0,294,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,373,0,595,0,35,109,388,0,0,0,47,312,0,326,317,0,0,0,473,0,0,212,0,12,840,0,0,0,0,0,0,0,0,48,0,9,0,0
"Chungju",0,0,1112,0,0,187825,17655,48680,273,140751,22,0,141805,156878,3635,0,588,0,0,18049,724,0,658,1938,0,36333,10421,0,86605,217985,0,11725,1837,873,0,0,0,0,0,68952,0,0,0,111008,10898,22996,20351,1392,184,4589,30680,0,14258,3043,1937,978,48292,2183,0,0,28442,996,1514790,19692,8004,1279,55373,55,0,0,0,0,765,4509,21066,0,0
"Daegu",12352,0,5748,0,0,1941428,337111,355233,602111,496,0,141491,0,718938,276,20,4438,83,11580,394,11779,0,381625,54007,0,89603,1461305,0,0,590983,0,246908,713720,0,280,3360,0,0,0,0,201,0,0,390,0,0,527,29397,103,225317,338,17871,0,0,0,10491,304772,53712,1725,32094,25782,584,3878180,0,378106,4786,517098,672,14,7793,0,253237,40085,14474,0,0,0
"Daejeon",0,14,471,5001,1548,929001,128696,880935,25789,72675,732,157668,715582,145312,2969,0,325,0,0,23634,102,0,116174,9703,27879,70219,262926,3605,56270,462963,0,80785,42169,23081,0,475,3543,464,363,234197,3416,0,15098,82311,38546,58839,21962,5839,423,35239,33106,0,10054,13472,314569,73314,177382,256446,0,0,393543,3222,4147369,56856,787079,2233,300761,547,0,0,0,15,347070,4023,43478,44,0
"Danyang",4225,0,64,0,0,2435,0,255,14,1159,0,3548,238,2743,0,0,0,0,229,315,0,0,44,0,0,0,76,0,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,12275,0,0,237,0,0,0,0,0,0,0,0,93,0,0,0,0,538,0,38977,0,2857,81,2621,8536,3952,0,0,262,587,5027,0,0,0
"Dongduchun",0,0,0,0,0,0,0,0,64,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,132,24,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,209820,0,219,0,0,0,0
"Donghae",4468,0,4107,0,0,1089,684,280,50,0,0,447,5187,314,0,0,0,0,981,0,40956,0,388,12,0,0,320,0,122,0,0,322,654,0,0,20,0,0,0,624,0,0,8,17353,17,477,98,337,10084,85,0,420,0,150,0,0,0,0,22374,185,186,0,16559,0,0,18142,612,2211,1369,82,0,413,0,8330,0,0,4523
"Euijungbu",0,0,0,0,0,0,0,0,123,0,0,0,83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,313,540,303,0,0,0,0,325,0,0,344,810,824,0,0,0,0,0,0,0,57,0,0,212,0,0,0,0,325,0,150,0,0,0,0
"Euisung",26360,0,631,0,0,5160,0,0,0,0,0,0,11239,0,359,0,883,0,0,0,698,0,0,0,0,0,0,0,0,0,0,4891,2578,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,3960,0,0,300,4986,491,426,0,0,3954,0,3207,0,0,0
"Eumsung",0,0,0,0,0,0,0,1358,57,2668,0,19080,306,22020,236,0,11,0,0,0,176,0,71,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13905,0,0,1470,0,0,0,0,0,0,0,0,229,0,410,0,0,7298,0,1020,34,407,0,0,0,0,0,0,0,112,488,0,0,0
