"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Eumsung",0,0,0,0,0,0,0,879,67,2395,0,16371,349,24638,329,0,53,0,0,0,0,0,70,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,13663,0,0,1803,0,0,0,0,0,0,0,0,179,0,292,0,0,8545,0,912,34,398,0,0,0,0,0,0,0,92,694,26,0,0
"Gangneung",3351,114,9757,0,0,9847,182,489,238,889,0,2102,14093,3226,0,130,45060,110,1025,47,6,0,511,0,0,0,1317,0,786,0,0,834,950,0,0,0,7,89,0,1017,0,425,166,18055,168,1305,42,33,11012,482,430,417,27,0,0,0,0,1165,9605,509,130,0,93386,1382,959,16917,1575,6321,3505,135,67,652,31,5354,403,128,2865
"Gapyeong",0,143,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,594,0,0,89,0,0,0,0,0,75,0,637,0,0,7,0,215,102,0,0,0,0,293,0,0,419,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,13,124,0
"Gimcheon",0,0,59,0,0,62757,1599,21461,35813,497,0,803,406429,127312,52,0,147,0,0,68,386,0,0,425,0,0,205366,0,0,0,33,152,30045,0,141,130,0,0,0,0,0,0,0,284,285,0,148,692,232,5067,0,8686,0,0,0,7393,538,10980,16,17161,11973,0,107383,93,52654,813,0,563,0,3837,0,202,27040,5571,0,0,0
"Gimhae",0,0,0,0,233,13060,4640,1564,551,0,0,1201,53894,8796,0,0,0,0,0,0,0,0,405,381,0,0,1723,0,87,6362,294,91,14271,0,1519,2280,11,0,10,0,0,0,0,7,0,3,0,4792,0,19471,94,0,23,9,0,113,142,484,0,0,441,0,32536,2254,2487,0,205,0,0,0,0,0,278,30,0,0,0
"Gimje",0,0,0,0,299,0,27,10499,0,0,0,54,0,30401,0,0,0,0,0,0,0,0,0,0,5199,402,0,0,36650,1511,0,0,0,2102,0,0,899,0,110,48677,0,0,5177,120,23222,0,0,398,149,0,7089,0,3157,0,7020,0,0,6498,0,0,6037,0,78081,95,32269,0,0,0,0,0,0,0,0,0,0,0,128
"Goyang",461,0,791,0,0,89005,1490,36207,0,490,0,23043,75680,62130,0,0,0,0,0,0,0,0,0,0,338,0,2705,404,34759,5577,0,9516,0,268,0,0,0,720,0,18568,0,0,535,448,5862,8523,0,22,0,686,11847,0,4568,2765,1475,586,7287,0,0,0,0,0,21499,7318,0,0,20755,0,0,0,0,0,404,0,6448,0,0
"Gumi",0,0,123,0,0,311700,2655,62287,81617,448,792,6477,1484498,251116,85,0,517,0,0,174,813,0,219514,2064,0,4739,191,0,0,76979,32,4352,143580,0,0,277,0,0,0,219,0,0,0,853,0,0,253,1628,0,21730,0,12914,0,0,0,7983,4284,21546,116,26009,15234,0,508932,56,103650,513,20522,0,0,4941,0,805,24251,4685,0,0,0
"Gunsan",24,11543,0,20173,0,471,418,26089,0,0,0,0,0,4307,0,0,0,0,0,0,0,744,0,0,0,404,0,51,0,0,0,0,0,431,0,0,0,9569,0,32234,0,0,0,248,0,0,0,0,0,0,0,0,0,0,906,0,0,8460,0,0,0,2012,61700,0,35958,405,0,0,0,0,0,0,0,185,0,9028,0
"Gwangju",0,0,0,0,26795,775,937,88230,0,0,841,55917,0,77001,0,0,1326,0,0,0,61,161,0,78,34772,35687,0,0,1862,272721,99,0,0,9042,185,48,20700,0,1419,170717,0,0,12275,519,40919,0,0,171,1165,46,179813,0,6118,0,25811,0,0,16452,0,0,14793,0,1223420,5245,57185,879,0,0,0,0,0,0,0,0,0,0,0
"Gwangmyung",0,0,0,0,0,788304,51356,277456,0,0,0,219617,595060,476422,0,0,0,0,0,0,0,0,0,12472,1487,5101,74770,0,273767,13,0,108536,1670,7444,0,269,0,0,0,102678,0,0,4013,0,33517,60498,0,14682,0,22374,76265,0,28857,12264,8916,0,74295,0,0,0,0,0,108642,60290,0,0,289812,0,0,0,0,0,0,0,58914,0,0
"Gwangyang",0,0,0,0,353,2090,2537,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,173,0,110,160,0,0,1116,245,30,0,75,0,0,0,0,0,0,0,0,2241,0,237,50,0,66,0,0,0,34,63,0,0,0,0,625,5162,100,0,81,0,0,0,0,0,0,0,0,0,0
"Gyeongju",9240,0,668,0,0,309544,560,40654,0,0,2,12353,271394,91912,1056,0,269,0,5215,0,688,87,129,172,0,10698,4748,0,0,103130,181,14003,35946,0,32,59,0,0,0,0,0,0,0,1795,0,385,0,280,0,101,0,0,0,0,0,0,21917,79,113,0,0,0,465661,695,38641,523,254729,1191,574,0,0,40902,0,5476,63,0,0
"Gyeongsan",7538,0,818,0,0,469974,30280,8349,71710,0,0,1416,717918,50441,24,0,758,0,2990,0,669,0,30094,13046,0,0,142210,0,0,904,0,33126,113111,0,0,1629,0,0,0,0,0,0,0,390,0,0,0,6193,0,84286,0,3329,0,0,0,1516,3813,6354,333,5717,5342,0,71328,0,24222,1052,42133,0,0,1274,0,7733,3547,4080,390,0,0
"Gyeryong",0,2,0,258,76,0,0,18744,0,0,0,612,0,30563,0,0,0,0,0,0,0,0,0,0,1650,644,0,334,8193,7465,0,0,0,0,0,0,316,92,38,18512,162,0,2137,0,2589,5873,0,0,0,38,2662,0,672,550,15037,0,0,8011,0,0,7879,126,133815,1998,25492,5,0,0,0,0,0,0,0,0,1515,25,16
"Hadong",0,0,0,0,410,15104,11368,0,27,0,0,11,598,369,0,0,0,0,0,0,0,0,174,1601,0,0,32,0,389,0,1668,30,0,0,2177,848,14,0,20,0,0,0,0,34,0,0,0,10694,0,1138,117,0,61,0,8,0,67,0,0,0,1,0,0,9833,0,0,791,0,0,0,0,0,0,0,0,0,0
"Haman",0,0,0,0,74,6645,12062,256,96,0,0,13,3123,536,0,0,0,0,0,0,0,0,113,2408,0,0,263,0,74,347,249,20,864,0,824,235,8,0,34,0,0,0,0,11,0,296,0,8014,0,1652,74,0,7,0,0,40,82,121,0,0,183,0,1621,1234,578,0,193,0,0,0,0,0,46,32,0,0,0
