"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",281,0,7707,0,0,13524,628,0,0,0,0,0,16922,0,5372,0,4380,0,26387,0,5005,0,0,0,114,0,0,0,0,0,0,9274,9500,0,0,0,0,0,0,0,0,0,21988,0,243,0,0,0,0,0,0,0,0,0,0,648,0,652,0,0,0,70886,0,0,3843,14651,14083,4676,0,0,7005,0,98119,446,0,0
"Asan",0,3706,0,42029,0,0,191,52416,0,0,0,0,140,14,0,0,0,0,0,0,177,107,0,0,0,0,0,11354,0,0,0,0,0,0,0,0,0,76892,0,8554,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,32547,0,0,0,12175,332427,85,112596,116,0,88,0,0,0,0,0,0,75,48364,0
"Bonghwa",7603,0,13922,0,0,2685,276,0,14,420,0,149,4732,94,0,0,5679,0,419,14,3810,0,67,0,0,0,124,0,0,0,0,601,821,0,0,0,23,0,0,0,0,0,0,0,0,42,0,0,30,0,20,0,0,0,0,835,0,1089,42,83,0,20646,82,0,5408,2326,0,0,13,0,649,0,17325,131,0,0
"Boryeong",0,38211,0,2978,0,170,0,133311,0,0,0,0,304,4605,0,0,0,0,0,0,0,0,100,0,0,0,0,15718,432,0,0,0,0,306,0,0,0,47513,0,74085,0,0,0,0,0,0,0,0,154,270,0,0,0,824,0,0,21757,0,0,0,17053,201411,0,83873,235,0,0,0,0,0,167,0,126,240,26326,0
"Bosung",0,0,0,0,13379,1102,1080,1076,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,73,302,0,0,0,34521,0,207,0,0,120,201,55,109,0,18336,1009,0,232,0,248,0,0,351,0,42,309,0,212,0,458,0,0,781,0,0,392,0,16184,25439,4739,0,0,0,0,0,0,0,0,0,0,0,0
"Busan",14136,0,3158,170,1011,744589,49801,432162,58239,450,269,91356,1885994,921230,2613,0,1371,0,5837,9,10394,110,65449,16870,0,51952,305899,0,316,795994,982,291672,429070,2,6720,8984,160,87,243,355,0,216,6471,0,190,19,22988,0,829991,1001,14153,102,0,1142,8119,28298,39536,681,20975,23941,126,4502191,13221,380639,8275,688755,4201,1659,5743,328,16350,30402,13442,4863,0,0
"Changwon",628,191,276,0,1512,51081,29798,19679,1516,422,217,2328,344064,104972,26,111,0,72,262,0,311,377,3405,20696,0,211,7708,0,716,143942,2612,1426,98021,0,16846,22543,93,216,52,0,0,24,777,0,0,0,51394,115,195098,819,121,158,0,0,365,2245,5305,0,152,2153,0,543683,13921,10716,0,410,480,10,128,65,0,1633,752,1094,232,61
"Cheonan",0,53270,0,136033,979,427497,33841,48953,6215,4121,226,9237,359779,1004026,0,0,129,0,0,1036,308,41,24238,2430,12764,13629,58523,23680,61714,231529,6,44387,8649,20366,507,127,1806,203911,194,61936,1362,7546,6597,18983,22427,1058,383,599,18535,30780,0,6595,6314,57236,16949,1584,97676,9,0,291415,24278,2582053,28648,663470,856,104333,360,257,0,578,872,21348,0,31038,175414,249
"Chilgok",0,0,9,0,0,52632,1967,6690,1277,0,0,0,527075,31850,0,0,27,0,0,0,636,0,33780,376,0,0,72819,0,0,0,24,0,69924,0,18,65,0,0,0,0,0,0,0,0,0,0,267,0,4317,0,2956,0,0,0,1779,0,5597,9,5448,3839,0,37400,99,15659,3,0,0,0,980,0,0,5329,1058,0,0,0
"Choongju",0,0,420,0,0,450,422,3894,0,2472,0,80357,0,78973,0,0,149,0,0,3068,354,0,0,0,0,116,0,0,3,0,0,0,0,0,0,0,361,0,0,0,0,36,70892,0,0,13944,0,30,718,92,0,0,0,0,0,340,701,6,0,30373,0,7100,568,1697,12,0,2,0,0,368,0,0,0,222,0,23
